t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
9176,charging,13.1930,8.5835,0.2045,1.7554,14.7598,0.0000,43.5138,0.2000
5,precharge,13.2651,8.5847,0.2000,1.7172,0.0000,0.0000,43.9904,-0.2000
390,precharge,13.1661,8.5904,-0.1894,-1.6269,0.0000,0.0000,43.3363,-0.2000
645,precharge,13.0815,8.5913,-0.2018,-1.7338,0.0000,0.0000,42.7814,-0.2000
980,precharge,12.9721,8.5906,-0.2032,-1.7452,0.0000,0.0000,42.0691,-0.2000
1306,precharge,12.8723,8.5913,-0.1996,-1.7152,0.0000,0.0000,41.4238,-0.2000
2022,precharge,12.6434,8.5910,-0.2024,-1.7391,0.0000,0.0000,39.9638,-0.2000
2392,precharge,12.5204,8.5899,-0.2014,-1.7297,0.0000,0.0000,39.1901,-0.2000
2702,precharge,12.4211,8.5912,-0.2042,-1.7544,0.0000,0.0000,38.5710,-0.2000
3540,precharge,12.1449,8.5893,-0.2065,-1.7733,0.0000,0.0000,36.8748,-0.2000
4454,precharge,11.8377,8.5903,-0.2004,-1.7212,0.0000,0.0000,35.0329,-0.2000
4702,precharge,11.7539,8.5924,-0.2024,-1.7391,0.0000,0.0000,34.5387,-0.2000
5026,precharge,11.6391,8.5905,-0.2039,-1.7514,0.0000,0.0000,33.8674,-0.2000
5368,precharge,11.5175,8.5903,-0.2026,-1.7400,0.0000,0.0000,33.1634,-0.2000
6093,precharge,11.2618,8.5896,-0.2035,-1.7480,0.0000,0.0000,31.7072,-0.2000
6605,precharge,11.0756,8.5906,-0.2044,-1.7561,0.0000,0.0000,30.6671,-0.2000
7026,precharge,10.9145,8.5897,-0.2050,-1.7609,0.0000,0.0000,29.7817,-0.2000
7313,precharge,10.8088,8.5902,-0.2036,-1.7488,0.0000,0.0000,29.2077,-0.2000
7620,precharge,10.6912,8.5901,-0.2047,-1.7587,0.0000,0.0000,28.5757,-0.2000
