t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
4580,charging,12.4937,10.0800,0.2996,3.0204,9.9547,0.0000,39.0229,0.3000
495,precharge,12.3388,10.0948,-0.3001,-3.0292,0.0000,0.0000,38.0615,-0.3000
812,precharge,12.1462,10.0929,-0.3004,-3.0321,0.0000,0.0000,36.8823,-0.3000
1226,precharge,11.8960,10.0935,-0.3011,-3.0389,0.0000,0.0000,35.3788,-0.3000
1846,precharge,11.5132,10.0938,-0.3027,-3.0556,0.0000,0.0000,33.1384,-0.3000
2094,precharge,11.3645,10.0949,-0.3032,-3.0609,0.0000,0.0000,32.2881,-0.3000
2372,precharge,11.1790,10.0970,-0.3062,-3.0914,0.0000,0.0000,31.2427,-0.3000
2648,precharge,10.9887,10.0950,-0.3043,-3.0719,0.0000,0.0000,30.1877,-0.3000
2893,precharge,10.8217,10.0956,-0.3438,-3.4712,0.0000,0.0000,29.2772,-0.3000
3273,precharge,10.5575,10.0943,-0.2999,-3.0277,0.0000,0.0000,27.8650,-0.3000
3604,settle1,10.5111,10.0851,-0.0523,-0.5274,0.0000,0.0000,27.6209,0.0000
4585,charging,10.9444,10.0797,0.2987,3.0104,1.5873,0.0000,29.9450,0.3000
5324,charging,11.4077,10.0798,0.2990,3.0140,3.8201,0.0000,32.5339,0.3000
5858,charging,11.7202,10.0819,0.2995,3.0195,5.4288,0.0000,34.3410,0.3000
6379,charging,12.0114,10.0813,0.2968,2.9924,7.0046,0.0000,36.0687,0.3000
6819,charging,12.2448,10.0791,0.2984,3.0077,8.3287,0.0000,37.4835,0.3000
7074,charging,12.3763,10.0803,0.3034,3.0584,9.1020,0.0000,38.2931,0.3000
7667,charging,12.6742,10.0785,0.3005,3.0289,10.8924,0.0000,40.1587,0.3000
8138,charging,12.9007,10.0790,0.3011,3.0353,12.3132,0.0000,41.6072,0.3000
