t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1251,precharge,10.7681,10.0893,-0.1047,-1.0567,0.0000,0.0000,28.9882,-0.1000
502,precharge,10.5767,10.0887,-0.0993,-1.0015,0.0000,0.0000,27.9667,-0.1000
942,precharge,10.5156,10.0875,-0.0903,-0.9113,0.0000,0.0000,27.6442,-0.1000
1220,settle1,10.4934,10.0884,-0.0355,-0.3585,0.0000,0.0000,27.5278,0.0000
1501,settle1,10.4910,10.0880,-0.0146,-0.1474,0.0000,0.0000,27.5151,0.0000
2026,charging,10.5566,10.0852,0.0951,0.9589,0.2666,0.0000,27.8603,0.1000
2351,charging,10.6332,10.0826,0.1005,1.0137,0.5891,0.0000,28.2662,0.1000
2796,charging,10.7388,10.0867,0.1012,1.0210,1.0348,0.0000,28.8304,0.1000
3084,charging,10.7998,10.0846,0.1007,1.0154,1.3230,0.0000,29.1589,0.1000
3383,charging,10.8665,10.0843,0.0993,1.0011,1.6262,0.0000,29.5202,0.1000
3828,charging,10.9619,10.0859,0.1011,1.0201,2.0716,0.0000,30.0410,0.1000
4133,charging,11.0238,10.0842,0.0987,0.9955,2.3758,0.0000,30.3812,0.1000
4576,charging,11.1233,10.0848,0.0994,1.0029,2.8225,0.0000,30.9319,0.1000
4847,charging,11.1763,10.0859,0.0979,0.9877,3.0969,0.0000,31.2275,0.1000
5233,charging,11.2553,10.0840,0.0979,0.9875,3.4800,0.0000,31.6707,0.1000
5465,charging,11.3040,10.0875,0.0991,0.9995,3.7056,0.0000,31.9451,0.1000
5871,charging,11.3851,10.0846,0.0994,1.0020,4.1224,0.0000,32.4050,0.1000
6102,charging,11.4317,10.0852,0.0984,0.9919,4.3556,0.0000,32.6711,0.1000
6428,charging,11.4938,10.0845,0.0989,0.9971,4.6828,0.0000,33.0271,0.1000
6864,charging,11.5760,10.0841,0.0991,0.9993,5.1215,0.0000,33.5007,0.1000
7647,charging,11.7241,10.0842,0.0972,0.9805,5.9082,0.0000,34.3636,0.1000
8418,charging,11.8654,10.0858,0.0993,1.0019,6.6831,0.0000,35.1966,0.1000
8807,charging,11.9356,10.0845,0.0980,0.9886,7.0746,0.0000,35.6146,0.1000
9068,charging,11.9818,10.0860,0.0990,0.9983,7.3366,0.0000,35.8911,0.1000
9395,charging,12.0397,10.0858,0.0973,0.9812,7.6663,0.0000,36.2384,0.1000
9684,charging,12.0922,10.0871,0.1007,1.0163,7.9544,0.0000,36.5555,0.1000
10213,charging,12.1843,10.0870,0.0993,1.0017,8.4805,0.0000,37.1141,0.1000
10538,charging,12.2379,10.0841,0.0989,0.9977,8.8152,0.0000,37.4417,0.1000
10841,charging,12.2883,10.0866,0.0980,0.9886,9.1209,0.0000,37.7505,0.1000
11178,charging,12.3474,10.0856,0.0999,1.0074,9.4590,0.0000,38.1145,0.1000
11464,charging,12.3929,10.0877,0.1009,1.0183,9.7469,0.0000,38.3960,0.1000
12242,charging,12.5205,10.0878,0.0997,1.0055,10.5305,0.0000,39.1906,0.1000
12528,charging,12.5661,10.0882,0.0984,0.9926,10.8094,0.0000,39.4765,0.1000
