t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2290,charging,10.8609,8.0787,0.2037,1.6460,1.5486,0.0000,29.4898,0.2000
12,precharge,10.9591,8.0810,0.2008,1.6230,0.0000,0.0000,30.0257,-0.2000
465,precharge,10.8239,8.0867,-0.2001,-1.6180,0.0000,0.0000,29.2891,-0.2000
745,precharge,10.7148,8.0860,-0.2037,-1.6474,0.0000,0.0000,28.7018,-0.2000
1063,precharge,10.5899,8.0872,-0.2083,-1.6845,0.0000,0.0000,28.0365,-0.2000
1514,settle1,10.4991,8.0828,-0.0862,-0.6966,0.0000,0.0000,27.5580,0.0000
1778,settle1,10.4930,8.0812,-0.0205,-0.1657,0.0000,0.0000,27.5259,0.0000
2289,charging,10.5873,8.0794,0.1983,1.6025,0.3071,0.0000,28.0227,0.2000
2623,charging,10.7136,8.0776,0.2013,1.6256,0.8574,0.0000,28.6952,0.2000
2899,charging,10.8170,8.0796,0.2059,1.6636,1.3164,0.0000,29.2519,0.2000
3530,charging,11.0379,8.0806,0.2045,1.6524,2.3617,0.0000,30.4586,0.2000
3853,charging,11.1496,8.0796,0.2024,1.6351,2.8996,0.0000,31.0784,0.2000
4850,charging,11.4741,8.0797,0.2037,1.6455,4.5459,0.0000,32.9135,0.2000
5360,charging,11.6257,8.0795,0.2073,1.6747,5.3842,0.0000,33.7892,0.2000
6373,charging,11.9276,8.0789,0.2042,1.6498,7.0461,0.0000,35.5669,0.2000
7323,charging,12.2026,8.0801,0.2018,1.6303,8.6116,0.0000,37.2257,0.2000
8401,charging,12.4937,8.0809,0.2021,1.6329,10.3789,0.0000,39.0229,0.2000
9430,charging,12.7576,8.0800,0.2037,1.6460,12.0633,0.0000,40.6892,0.2000
10485,charging,13.0186,8.0796,0.2047,1.6538,13.7877,0.0000,42.3713,0.2000
11292,charging,13.2086,8.0792,0.2002,1.6172,15.1054,0.0000,43.6169,0.2000
12310,charging,13.4396,8.0794,0.2030,1.6402,16.7685,0.0000,45.1558,0.2000
13303,charging,13.6562,8.0816,0.2031,1.6411,18.3862,0.0000,46.6226,0.2000
14367,charging,13.8766,8.0799,0.2005,1.6199,20.1189,0.0000,48.1401,0.2000
22262,charging,15.2271,8.0795,0.2007,1.6212,32.9307,0.0000,57.9664,0.2000
22997,charging,15.3353,8.0817,0.2024,1.6357,34.1238,0.0000,58.7929,0.2000
23291,charging,15.3785,8.0822,0.2019,1.6321,34.5974,0.0000,59.1248,0.2000
23644,charging,15.4269,8.0825,0.2002,1.6179,35.1715,0.0000,59.4971,0.2000
24029,charging,15.4762,8.0794,0.1966,1.5884,35.7959,0.0000,59.8782,0.2000
24561,charging,15.5504,8.0812,0.2012,1.6260,36.6574,0.0000,60.4538,0.2000
24833,charging,15.5841,8.0812,0.1996,1.6132,37.0990,0.0000,60.7164,0.2000
25071,charging,15.6158,8.0819,0.2021,1.6330,37.4835,0.0000,60.9631,0.2000
25373,charging,15.6527,8.0817,0.1999,1.6159,37.9735,0.0000,61.2519,0.2000
25759,settle2,15.7011,8.0809,0.1974,1.5956,38.5639,0.0000,61.6312,0.0000
26081,settle2,15.6908,8.0857,0.0052,0.0419,38.5639,0.0000,61.5504,0.0000
27116,discharging,15.5048,8.0879,-0.1978,-1.6000,38.5639,1.1560,60.0998,-0.2000
27848,discharging,15.3568,8.0880,-0.2043,-1.6527,38.5639,2.3416,58.9582,-0.2000
28166,discharging,15.2981,8.0879,-0.2007,-1.6236,38.5639,2.8566,58.5080,-0.2000
28497,discharging,15.2255,8.0895,-0.1980,-1.6016,38.5639,3.3982,57.9541,-0.2000
28840,discharging,15.1556,8.0875,-0.2002,-1.6190,38.5639,3.9526,57.4233,-0.2000
29428,discharging,15.0353,8.0890,-0.2021,-1.6346,38.5639,4.9092,56.5152,-0.2000
29928,discharging,14.9321,8.0883,-0.2020,-1.6340,38.5639,5.7224,55.7419,-0.2000
30225,discharging,14.8757,8.0879,-0.2010,-1.6257,38.5639,6.1999,55.3217,-0.2000
30586,discharging,14.7986,8.0883,-0.2002,-1.6189,38.5639,6.7877,54.7498,-0.2000
30870,discharging,14.7417,8.0879,-0.2015,-1.6294,38.5639,7.2495,54.3298,-0.2000
31451,discharging,14.6571,8.0874,-0.2022,-1.6352,38.5639,8.1829,53.7078,-0.2000
31741,discharging,14.5984,8.0894,-0.2000,-1.6176,38.5639,8.6531,53.2782,-0.2000
32079,discharging,14.5223,8.0880,-0.2007,-1.6233,38.5639,9.2006,52.7246,-0.2000
32446,discharging,14.4458,8.0882,-0.2013,-1.6285,38.5639,9.7986,52.1706,-0.2000
32892,discharging,14.3482,8.0885,-0.1986,-1.6062,38.5639,10.5248,51.4676,-0.2000
33267,discharging,14.2630,8.0871,-0.2011,-1.6260,38.5639,11.1330,50.8584,-0.2000
33652,discharging,14.1742,8.0854,-0.1994,-1.6119,38.5639,11.7620,50.2270,-0.2000
33954,discharging,14.1045,8.0870,-0.1990,-1.6096,38.5639,12.2538,49.7344,-0.2000
34551,discharging,13.9651,8.0869,-0.2033,-1.6442,38.5639,13.2249,48.7559,-0.2000
35053,discharging,13.8509,8.0888,-0.1999,-1.6167,38.5639,14.0440,47.9620,-0.2000
36086,discharging,13.6018,8.0865,-0.1995,-1.6136,38.5639,15.7290,46.2523,-0.2000
37128,discharging,13.3443,8.0871,-0.2027,-1.6391,38.5639,17.4287,44.5176,-0.2000
37400,discharging,13.2814,8.0887,-0.1992,-1.6116,38.5639,17.8728,44.0988,-0.2000
37937,discharging,13.1344,8.0865,-0.2028,-1.6398,38.5639,18.7523,43.1281,-0.2000
38263,discharging,13.0531,8.0854,-0.1988,-1.6073,38.5639,19.2825,42.5957,-0.2000
38656,discharging,12.9504,8.0865,-0.2036,-1.6461,38.5639,19.9274,41.9281,-0.2000
38941,discharging,12.8744,8.0868,-0.2025,-1.6377,38.5639,20.3912,41.4373,-0.2000
39271,discharging,12.7880,8.0873,-0.2034,-1.6450,38.5639,20.9338,40.8829,-0.2000
39880,discharging,12.6183,8.0867,-0.2020,-1.6333,38.5639,21.9301,39.8051,-0.2000
40210,discharging,12.5305,8.0877,-0.2070,-1.6744,38.5639,22.4718,39.2534,-0.2000
40595,discharging,12.4200,8.0851,-0.2036,-1.6463,38.5639,23.1037,38.5641,-0.2000
40892,discharging,12.3376,8.0851,-0.2010,-1.6253,38.5639,23.5902,38.0540,-0.2000
41200,discharging,12.2521,8.0863,-0.2017,-1.6312,38.5639,24.0956,37.5283,-0.2000
41543,discharging,12.1479,8.0862,-0.2058,-1.6642,38.5639,24.6580,36.8930,-0.2000
42038,discharging,12.0023,8.0853,-0.2011,-1.6256,38.5639,25.4729,36.0140,-0.2000
42370,discharging,11.9048,8.0859,-0.2053,-1.6598,38.5639,26.0196,35.4311,-0.2000
42754,discharging,11.7881,8.0856,-0.2027,-1.6392,38.5639,26.6517,34.7400,-0.2000
43220,discharging,11.6518,8.0857,-0.2031,-1.6423,38.5639,27.4135,33.9414,-0.2000
43573,discharging,11.5377,8.0870,-0.2043,-1.6522,38.5639,27.9951,33.2795,-0.2000
43859,discharging,11.4492,8.0852,-0.2050,-1.6573,38.5639,28.4667,32.7711,-0.2000
