t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1225,precharge,10.5691,10.0897,-0.0996,-1.0054,0.0000,0.0000,27.9263,-0.1000
283,settle1,10.5199,10.0869,-0.0202,-0.2037,0.0000,0.0000,27.6669,0.0000
549,charging,10.5206,10.0870,-0.0072,-0.0725,-0.0045,0.0000,27.6707,0.1000
783,charging,10.5564,10.0872,0.0823,0.8305,0.0761,0.0000,27.8596,0.1000
1158,charging,10.6474,10.0846,0.0996,1.0042,0.4401,0.0000,28.3420,0.1000
1825,charging,10.8037,10.0848,0.1001,1.0097,1.1076,0.0000,29.1799,0.1000
2063,charging,10.8536,10.0848,0.0999,1.0078,1.3457,0.0000,29.4502,0.1000
2393,charging,10.9276,10.0848,0.0980,0.9880,1.6793,0.0000,29.8530,0.1000
2809,charging,11.0161,10.0848,0.1000,1.0084,2.0951,0.0000,30.3389,0.1000
3184,charging,11.0980,10.0852,0.0991,0.9994,2.4739,0.0000,30.7914,0.1000
3826,charging,11.2307,10.0855,0.0979,0.9876,3.1185,0.0000,31.5320,0.1000
4105,charging,11.2891,10.0864,0.0992,1.0008,3.3985,0.0000,31.8609,0.1000
4887,charging,11.4413,10.0864,0.0981,0.9898,4.1837,0.0000,32.7257,0.1000
5262,charging,11.5154,10.0837,0.0996,1.0040,4.5584,0.0000,33.1509,0.1000
5883,charging,11.6338,10.0854,0.0974,0.9826,5.1827,0.0000,33.8364,0.1000
6267,charging,11.7059,10.0851,0.0985,0.9934,5.5715,0.0000,34.2570,0.1000
6531,charging,11.7539,10.0864,0.0992,1.0002,5.8357,0.0000,34.5387,0.1000
6859,charging,11.8168,10.0864,0.0993,1.0019,6.1661,0.0000,34.9094,0.1000
7197,charging,11.8783,10.0862,0.1021,1.0301,6.5055,0.0000,35.2735,0.1000
7658,charging,11.9607,10.0869,0.0992,1.0006,6.9685,0.0000,35.7646,0.1000
7945,charging,12.0128,10.0862,0.1004,1.0128,7.2572,0.0000,36.0771,0.1000
8232,charging,12.0612,10.0862,0.0996,1.0049,7.5433,0.0000,36.3682,0.1000
9546,charging,12.2903,10.0845,0.0996,1.0042,8.8672,0.0000,37.7630,0.1000
10476,charging,12.4410,10.0854,0.1002,1.0105,9.8014,0.0000,38.6946,0.1000
11548,charging,12.6188,10.0842,0.1006,1.0148,10.8810,0.0000,39.8084,0.1000
12026,charging,12.6985,10.0873,0.1005,1.0136,11.3629,0.0000,40.3129,0.1000
12402,charging,12.7560,10.0855,0.1001,1.0092,11.7418,0.0000,40.6786,0.1000
12824,charging,12.8235,10.0868,0.1006,1.0144,12.1667,0.0000,41.1105,0.1000
13157,charging,12.8726,10.0859,0.1005,1.0133,12.5019,0.0000,41.4259,0.1000
13442,charging,12.9171,10.0878,0.1001,1.0100,12.7903,0.0000,41.7126,0.1000
14075,charging,13.0130,10.0848,0.0998,1.0061,13.4290,0.0000,42.3345,0.1000
14351,charging,13.0553,10.0854,0.1007,1.0155,13.7083,0.0000,42.6104,0.1000
14773,charging,13.1165,10.0846,0.1006,1.0141,14.1355,0.0000,43.0103,0.1000
15065,charging,13.1600,10.0869,0.1006,1.0152,14.4220,0.0000,43.2963,0.1000
15392,charging,13.2090,10.0855,0.1008,1.0163,14.7656,0.0000,43.6192,0.1000
15866,charging,13.2780,10.0869,0.1009,1.0179,15.2481,0.0000,44.0766,0.1000
16143,charging,13.3211,10.0851,0.1014,1.0222,15.5322,0.0000,44.3628,0.1000
16665,charging,13.3942,10.0857,0.1013,1.0217,16.0651,0.0000,44.8509,0.1000
16952,charging,13.4344,10.0863,0.1014,1.0225,16.3579,0.0000,45.1207,0.1000
17230,charging,13.4740,10.0868,0.1015,1.0236,16.6432,0.0000,45.3869,0.1000
17523,charging,13.5135,10.0856,0.1016,1.0249,16.9423,0.0000,45.6536,0.1000
17827,charging,13.5567,10.0870,0.1017,1.0263,17.2538,0.0000,45.9458,0.1000
18267,charging,13.6176,10.0865,0.1016,1.0243,17.7044,0.0000,46.3595,0.1000
18680,charging,13.6735,10.0894,0.1014,1.0232,18.1287,0.0000,46.7414,0.1000
19046,charging,13.7233,10.0868,0.1014,1.0233,18.5032,0.0000,47.0822,0.1000
19482,charging,13.7813,10.0885,0.1016,1.0249,18.9463,0.0000,47.4811,0.1000
19787,charging,13.8179,10.0874,0.1010,1.0193,19.2589,0.0000,47.7338,0.1000
20076,charging,13.8576,10.0883,0.1014,1.0230,19.5553,0.0000,48.0083,0.1000
20413,charging,13.9004,10.0860,0.1010,1.0188,19.9005,0.0000,48.3050,0.1000
20671,charging,13.9344,10.0881,0.1010,1.0190,20.1641,0.0000,48.5415,0.1000
20951,charging,13.9703,10.0869,0.1008,1.0169,20.4496,0.0000,48.7926,0.1000
21346,charging,14.0212,10.0864,0.1010,1.0182,20.8514,0.0000,49.1488,0.1000
21611,charging,14.0552,10.0866,0.1009,1.0176,21.1218,0.0000,49.3875,0.1000
21942,charging,14.0945,10.0881,0.1008,1.0172,21.4584,0.0000,49.6636,0.1000
22230,charging,14.1293,10.0869,0.1003,1.0119,21.7497,0.0000,49.9092,0.1000
22585,charging,14.1730,10.0876,0.1007,1.0155,22.1104,0.0000,50.2185,0.1000
23125,charging,14.2408,10.0857,0.1002,1.0109,22.6574,0.0000,50.6998,0.1000
23466,charging,14.2770,10.0867,0.0995,1.0032,23.0028,0.0000,50.9582,0.1000
23772,charging,14.3163,10.0881,0.1005,1.0139,23.3109,0.0000,51.2393,0.1000
24485,charging,14.3982,10.0874,0.0997,1.0061,24.0324,0.0000,51.8271,0.1000
24788,charging,14.4328,10.0874,0.1002,1.0112,24.3398,0.0000,52.0765,0.1000
25130,charging,14.4712,10.0861,0.1002,1.0109,24.6851,0.0000,52.3540,0.1000
25458,charging,14.5108,10.0878,0.1001,1.0095,25.0167,0.0000,52.6405,0.1000
25876,charging,14.5579,10.0877,0.1004,1.0127,25.4380,0.0000,52.9830,0.1000
26260,charging,14.5969,10.0877,0.0996,1.0052,25.8259,0.0000,53.2673,0.1000
26515,charging,14.6260,10.0872,0.1000,1.0092,26.0811,0.0000,53.4802,0.1000
26905,charging,14.6702,10.0859,0.1003,1.0117,26.4760,0.0000,53.8035,0.1000
27344,charging,14.7162,10.0872,0.0991,1.0001,26.9191,0.0000,54.1418,0.1000
27648,charging,14.7292,10.0872,0.0973,0.9814,27.2222,0.0000,54.2372,0.1000
27987,charging,14.7424,10.0877,0.0975,0.9840,27.5536,0.0000,54.3342,0.1000
28429,charging,14.7902,10.0873,0.1000,1.0086,27.9962,0.0000,54.6874,0.1000
28913,charging,14.8415,10.0882,0.1005,1.0137,28.4839,0.0000,55.0675,0.1000
29339,charging,14.8819,10.0875,0.0997,1.0058,28.9117,0.0000,55.3678,0.1000
29662,charging,14.9160,10.0879,0.0999,1.0078,29.2380,0.0000,55.6220,0.1000
30037,charging,14.9495,10.0868,0.0986,0.9945,29.6157,0.0000,55.8720,0.1000
30328,charging,14.9819,10.0869,0.0999,1.0074,29.9073,0.0000,56.1143,0.1000
30633,charging,15.0116,10.0879,0.1005,1.0142,30.2159,0.0000,56.3370,0.1000
31221,charging,15.0662,10.0851,0.1005,1.0132,30.8067,0.0000,56.7477,0.1000
32003,charging,15.1390,10.0879,0.0994,1.0028,31.5945,0.0000,57.2970,0.1000
32388,charging,15.1744,10.0880,0.0991,0.9997,31.9820,0.0000,57.5655,0.1000
32644,charging,15.1973,10.0886,0.0991,0.9996,32.2396,0.0000,57.7393,0.1000
33080,charging,15.2372,10.0866,0.1001,1.0093,32.6779,0.0000,58.0428,0.1000
33410,charging,15.2685,10.0885,0.1005,1.0139,33.0092,0.0000,58.2821,0.1000
34047,charging,15.3233,10.0861,0.1000,1.0089,33.6508,0.0000,58.7006,0.1000
34538,charging,15.3647,10.0857,0.0993,1.0012,34.1467,0.0000,59.0187,0.1000
35061,charging,15.4085,10.0883,0.0992,1.0003,34.6720,0.0000,59.3557,0.1000
35599,charging,15.4528,10.0861,0.0996,1.0045,35.2128,0.0000,59.6970,0.1000
35875,charging,15.4758,10.0878,0.1001,1.0094,35.4895,0.0000,59.8752,0.1000
36240,charging,15.5036,10.0881,0.0995,1.0042,35.8559,0.0000,60.0900,0.1000
36541,charging,15.5279,10.0868,0.0997,1.0053,36.1600,0.0000,60.2786,0.1000
36877,charging,15.5550,10.0877,0.0994,1.0023,36.4984,0.0000,60.4897,0.1000
37368,charging,15.5936,10.0883,0.0988,0.9966,36.9923,0.0000,60.7900,0.1000
37671,charging,15.6173,10.0887,0.1000,1.0089,37.2965,0.0000,60.9748,0.1000
38009,charging,15.6417,10.0872,0.0994,1.0028,37.6358,0.0000,61.1653,0.1000
38338,charging,15.6646,10.0866,0.0986,0.9941,37.9666,0.0000,61.3452,0.1000
38915,settle2,15.6959,10.0881,0.0414,0.4181,38.4395,0.0000,61.5903,0.0000
39558,discharging,15.6413,10.0896,-0.0962,-0.9711,38.4395,0.1482,61.1626,-0.1000
40450,discharging,15.5289,10.0917,-0.0993,-1.0025,38.4395,1.0364,60.2869,-0.1000
41477,discharging,15.3980,10.0899,-0.0996,-1.0053,38.4395,2.0646,59.2748,-0.1000
42463,discharging,15.2804,10.0928,-0.0985,-0.9945,38.4395,3.0502,58.3728,-0.1000
43551,discharging,15.1408,10.0912,-0.0991,-1.0003,38.4395,4.1408,57.3106,-0.1000
43854,discharging,15.1074,10.0910,-0.0990,-0.9991,38.4395,4.4416,57.0584,-0.1000
44533,discharging,15.0225,10.0918,-0.1002,-1.0108,38.4395,5.1217,56.4186,-0.1000
45054,discharging,14.9576,10.0936,-0.0990,-0.9989,38.4395,5.6430,55.9321,-0.1000
45382,discharging,14.9157,10.0905,-0.0998,-1.0071,38.4395,5.9709,55.6198,-0.1000
45703,discharging,14.8791,10.0927,-0.0988,-0.9975,38.4395,6.2923,55.3470,-0.1000
