t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
773,settle1,10.4956,9.0915,-0.1951,-1.7736,0.0000,0.0000,27.5393,0.0000
994,settle1,10.5025,9.0891,-0.0320,-0.2907,0.0000,0.0000,27.5754,0.0000
496,settle1,10.5022,9.0865,-0.0043,-0.0395,0.0000,0.0000,27.5741,0.0000
798,charging,10.5464,9.0840,0.1571,1.4272,0.1333,0.0000,27.8069,0.2000
1246,charging,10.7421,9.0815,0.2009,1.8248,0.9332,0.0000,28.8483,0.2000
2023,charging,11.0515,9.0828,0.2043,1.8553,2.3657,0.0000,30.5337,0.2000
2561,charging,11.2513,9.0798,0.2042,1.8544,3.3545,0.0000,31.6480,0.2000
3599,charging,11.6154,9.0816,0.2029,1.8431,5.2603,0.0000,33.7292,0.2000
4630,charging,11.9586,9.0831,0.2024,1.8383,7.1476,0.0000,35.7522,0.2000
5836,charging,12.3382,9.0845,0.2014,1.8299,9.3613,0.0000,38.0576,0.2000
6626,charging,12.5701,9.0817,0.2013,1.8285,10.8038,0.0000,39.5021,0.2000
8157,charging,13.0023,9.0837,0.2023,1.8378,13.6033,0.0000,42.2649,0.2000
9633,charging,13.3864,9.0831,0.2008,1.8240,16.2997,0.0000,44.7990,0.2000
10719,charging,13.6537,9.0846,0.1987,1.8047,18.2812,0.0000,46.6057,0.2000
11598,charging,13.8571,9.0821,0.1989,1.8066,19.8794,0.0000,48.0049,0.2000
12576,charging,14.0818,9.0817,0.2044,1.8559,21.6644,0.0000,49.5744,0.2000
14836,charging,14.5587,9.0831,0.1979,1.7978,25.7788,0.0000,52.9892,0.2000
17047,charging,14.9403,9.0827,0.2012,1.8278,29.7835,0.0000,55.8035,0.2000
18529,charging,15.1962,9.0831,0.2015,1.8304,32.4794,0.0000,57.7314,0.2000
18842,charging,15.2514,9.0852,0.2027,1.8418,33.0464,0.0000,58.1510,0.2000
19170,charging,15.3056,9.0846,0.2019,1.8344,33.6424,0.0000,58.5655,0.2000
19699,charging,15.3886,9.0869,0.1984,1.8029,34.6050,0.0000,59.2023,0.2000
19935,charging,15.4225,9.0841,0.1969,1.7891,35.0331,0.0000,59.4636,0.2000
20214,charging,15.4678,9.0853,0.1996,1.8136,35.5394,0.0000,59.8136,0.2000
20682,charging,15.5394,9.0867,0.1979,1.7983,36.3899,0.0000,60.3686,0.2000
21060,charging,15.5935,9.0856,0.1980,1.7986,37.0745,0.0000,60.7894,0.2000
21347,charging,15.6386,9.0864,0.2041,1.8548,37.5971,0.0000,61.1413,0.2000
21612,charging,15.6741,9.0843,0.1979,1.7978,38.0784,0.0000,61.4190,0.2000
22039,settle2,15.6947,9.0894,0.0346,0.3145,38.4341,0.0000,61.5811,0.0000
22427,discharging,15.6509,9.0912,-0.1137,-1.0337,38.4341,0.0571,61.2380,-0.2000
22687,discharging,15.5968,9.0931,-0.1766,-1.6061,38.4341,0.4111,60.8154,-0.2000
22981,discharging,15.5283,9.0937,-0.1995,-1.8144,38.4341,0.9256,60.2824,-0.2000
23315,discharging,15.4554,9.0968,-0.1993,-1.8133,38.4341,1.5330,59.7171,-0.2000
23636,discharging,15.3861,9.0936,-0.1983,-1.8031,38.4341,2.1131,59.1833,-0.2000
24186,discharging,15.2584,9.0951,-0.1982,-1.8027,38.4341,3.1126,58.2043,-0.2000
25038,discharging,15.0660,9.0941,-0.1981,-1.8019,38.4341,4.6631,56.7460,-0.2000
25323,discharging,15.0037,9.0965,-0.1980,-1.8007,38.4341,5.1789,56.2777,-0.2000
25802,discharging,14.8939,9.0948,-0.1994,-1.8139,38.4341,6.0487,55.4568,-0.2000
26182,discharging,14.8032,9.0949,-0.1995,-1.8148,38.4341,6.7401,54.7838,-0.2000
26510,discharging,14.7376,9.0958,-0.1950,-1.7739,38.4341,7.3353,54.2996,-0.2000
26796,discharging,14.7010,9.0967,-0.2003,-1.8221,38.4341,7.8416,54.0299,-0.2000
27137,discharging,14.6224,9.0939,-0.1990,-1.8099,38.4341,8.4625,53.4538,-0.2000
