t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
13243,charging,13.7198,8.0800,0.2001,1.6167,18.9381,0.0000,47.0580,0.2000
13533,charging,13.7831,8.0822,0.2025,1.6364,19.4111,0.0000,47.4935,0.2000
431,precharge,13.6887,8.0889,-0.1932,-1.5629,0.0000,0.0000,46.8451,-0.2000
798,precharge,13.5813,8.0851,-0.2019,-1.6326,0.0000,0.0000,46.1127,-0.2000
1231,precharge,13.4623,8.0860,-0.2036,-1.6467,0.0000,0.0000,45.3086,-0.2000
1735,precharge,13.3245,8.0860,-0.2027,-1.6390,0.0000,0.0000,44.3856,-0.2000
2065,precharge,13.2302,8.0865,-0.2050,-1.6577,0.0000,0.0000,43.7599,-0.2000
2322,precharge,13.1625,8.0865,-0.2048,-1.6560,0.0000,0.0000,43.3131,-0.2000
2705,precharge,13.0477,8.0862,-0.2008,-1.6240,0.0000,0.0000,42.5603,-0.2000
2925,precharge,12.9873,8.0876,-0.2006,-1.6222,0.0000,0.0000,42.1677,-0.2000
3538,precharge,12.8116,8.0879,-0.2013,-1.6283,0.0000,0.0000,41.0342,-0.2000
3956,precharge,12.6875,8.0864,-0.2015,-1.6296,0.0000,0.0000,40.2434,-0.2000
4312,precharge,12.5859,8.0857,-0.2045,-1.6536,0.0000,0.0000,39.6012,-0.2000
4582,precharge,12.5022,8.0871,-0.2040,-1.6495,0.0000,0.0000,39.0761,-0.2000
4964,precharge,12.3907,8.0864,-0.2006,-1.6223,0.0000,0.0000,38.3821,-0.2000
5615,precharge,12.1913,8.0856,-0.2022,-1.6352,0.0000,0.0000,37.1571,-0.2000
6095,precharge,12.0430,8.0841,-0.2001,-1.6180,0.0000,0.0000,36.2584,-0.2000
6399,precharge,11.9503,8.0867,-0.2037,-1.6471,0.0000,0.0000,35.7027,-0.2000
6667,precharge,11.8629,8.0866,-0.2055,-1.6621,0.0000,0.0000,35.1822,-0.2000
7148,precharge,11.7098,8.0872,-0.2021,-1.6346,0.0000,0.0000,34.2800,-0.2000
7454,precharge,11.6146,8.0854,-0.2036,-1.6461,0.0000,0.0000,33.7250,-0.2000
7696,precharge,11.5368,8.0856,-0.2022,-1.6347,0.0000,0.0000,33.2746,-0.2000
8064,precharge,11.4110,8.0859,-0.2044,-1.6531,0.0000,0.0000,32.5525,-0.2000
8679,precharge,11.2040,8.0849,-0.2040,-1.6497,0.0000,0.0000,31.3822,-0.2000
8958,precharge,11.1147,8.0865,-0.2003,-1.6198,0.0000,0.0000,30.8843,-0.2000
9670,precharge,10.8653,8.0863,-0.2049,-1.6570,0.0000,0.0000,29.5137,-0.2000
10441,precharge,10.5877,8.0843,-0.2014,-1.6285,0.0000,0.0000,28.0249,-0.2000
11444,charging,10.5177,8.0808,0.0563,0.4553,0.0267,0.0000,27.6553,0.2000
12478,charging,10.8960,8.0788,0.2029,1.6388,1.5919,0.0000,29.6807,0.2000
13515,charging,11.2645,8.0786,0.2042,1.6498,3.3104,0.0000,31.7222,0.2000
14546,charging,11.6033,8.0791,0.2040,1.6484,5.0130,0.0000,33.6593,0.2000
15723,charging,11.9620,8.0791,0.2022,1.6337,6.9482,0.0000,35.7724,0.2000
16480,charging,12.1828,8.0784,0.2016,1.6287,8.1922,0.0000,37.1052,0.2000
17506,charging,12.4681,8.0798,0.2014,1.6276,9.8758,0.0000,38.8633,0.2000
18537,charging,12.7422,8.0793,0.2008,1.6221,11.5658,0.0000,40.5911,0.2000
20437,charging,13.2129,8.0812,0.2013,1.6266,14.6708,0.0000,43.6452,0.2000
21313,charging,13.4153,8.0804,0.2019,1.6311,16.1001,0.0000,44.9927,0.2000
21830,charging,13.5326,8.0811,0.1979,1.5995,16.9458,0.0000,45.7826,0.2000
22106,charging,13.5955,8.0809,0.2031,1.6410,17.3950,0.0000,46.2095,0.2000
23449,charging,13.8785,8.0787,0.2021,1.6330,19.5810,0.0000,48.1529,0.2000
24477,charging,14.0866,8.0797,0.1997,1.6134,21.2557,0.0000,49.6083,0.2000
24786,charging,14.1462,8.0801,0.2009,1.6229,21.7606,0.0000,50.0285,0.2000
25082,charging,14.2090,8.0796,0.2032,1.6417,22.2418,0.0000,50.4737,0.2000
25386,charging,14.2668,8.0825,0.2015,1.6286,22.7373,0.0000,50.8851,0.2000
