t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1756,charging,10.5110,10.0871,0.0049,0.0498,-0.0044,0.0000,27.6204,0.2000
473,settle1,10.4974,10.0900,-0.1107,-1.1167,0.0000,0.0000,27.5489,0.0000
1241,charging,10.6213,10.0834,0.1984,2.0004,0.4186,0.0000,28.2028,0.2000
2017,charging,10.9694,10.0819,0.1997,2.0138,1.9804,0.0000,30.0817,0.2000
2514,charging,11.1765,10.0828,0.2012,2.0284,2.9794,0.0000,31.2285,0.2000
3795,charging,11.6769,10.0821,0.1990,2.0066,5.5531,0.0000,34.0876,0.2000
4721,charging,12.0158,10.0822,0.2017,2.0336,7.4145,0.0000,36.0948,0.2000
5748,charging,12.3729,10.0810,0.2020,2.0365,9.4820,0.0000,38.2719,0.2000
6780,charging,12.7087,10.0820,0.2000,2.0160,11.5604,0.0000,40.3775,0.2000
7786,charging,13.0150,10.0824,0.1975,1.9915,13.5818,0.0000,42.3477,0.2000
8944,charging,13.3506,10.0832,0.1989,2.0051,15.9107,0.0000,44.5597,0.2000
10189,charging,13.6936,10.0845,0.2001,2.0177,18.4173,0.0000,46.8786,0.2000
10958,charging,13.8900,10.0840,0.1983,1.9994,19.9627,0.0000,48.2328,0.2000
11521,charging,14.0298,10.0846,0.1992,2.0085,21.0943,0.0000,49.2089,0.2000
11994,charging,14.1458,10.0838,0.1995,2.0117,22.0430,0.0000,50.0260,0.2000
12594,charging,14.2872,10.0820,0.1963,1.9793,23.2500,0.0000,51.0308,0.2000
12863,charging,14.3518,10.0835,0.1991,2.0072,23.7923,0.0000,51.4937,0.2000
13195,charging,14.4301,10.0827,0.1968,1.9847,24.4565,0.0000,52.0571,0.2000
13532,charging,14.5052,10.0825,0.2014,2.0308,25.1362,0.0000,52.6001,0.2000
14041,charging,14.6171,10.0832,0.2000,2.0163,26.1589,0.0000,53.4151,0.2000
14326,charging,14.6803,10.0858,0.1999,2.0160,26.7318,0.0000,53.8774,0.2000
14644,charging,14.7275,10.0837,0.1906,1.9215,27.3659,0.0000,54.2245,0.2000
14974,charging,14.7760,10.0838,0.1978,1.9942,28.0160,0.0000,54.5823,0.2000
15265,charging,14.8353,10.0842,0.1998,2.0147,28.5953,0.0000,55.0215,0.2000
15818,charging,14.9503,10.0834,0.2000,2.0163,29.7115,0.0000,55.8778,0.2000
16106,charging,15.0073,10.0858,0.1994,2.0116,30.2871,0.0000,56.3051,0.2000
16487,charging,15.0813,10.0847,0.1986,2.0032,31.0551,0.0000,56.8614,0.2000
17114,charging,15.1980,10.0845,0.1996,2.0132,32.3153,0.0000,57.7450,0.2000
17400,charging,15.2533,10.0871,0.1991,2.0084,32.8871,0.0000,58.1658,0.2000
17711,charging,15.3098,10.0844,0.1965,1.9816,33.5130,0.0000,58.5975,0.2000
18055,charging,15.3721,10.0848,0.1995,2.0119,34.2010,0.0000,59.0755,0.2000
18331,charging,15.4188,10.0858,0.1991,2.0085,34.7579,0.0000,59.4347,0.2000
18797,charging,15.4983,10.0842,0.2011,2.0275,35.6953,0.0000,60.0497,0.2000
19127,charging,15.5534,10.0855,0.1983,2.0003,36.3555,0.0000,60.4772,0.2000
19462,charging,15.6105,10.0858,0.1993,2.0103,37.0300,0.0000,60.9221,0.2000
19701,charging,15.6498,10.0851,0.2003,2.0197,37.5114,0.0000,61.2289,0.2000
20099,settle2,15.7040,10.0831,0.1691,1.7047,38.1615,0.0000,61.6536,0.0000
20335,settle2,15.6947,10.0905,0.0194,0.1953,38.1615,0.0000,61.5812,0.0000
20801,discharging,15.6216,10.0932,-0.1563,-1.5779,38.1615,0.2681,61.0082,-0.2000
21089,discharging,15.5443,10.0929,-0.2017,-2.0356,38.1615,0.8030,60.4061,-0.2000
21370,discharging,15.4752,10.0936,-0.1990,-2.0086,38.1615,1.3681,59.8701,-0.2000
21971,discharging,15.3273,10.0929,-0.2006,-2.0246,38.1615,2.5710,58.7314,-0.2000
22251,discharging,15.2590,10.0939,-0.1996,-2.0149,38.1615,3.1323,58.2090,-0.2000
23761,discharging,14.8837,10.0943,-0.2016,-2.0347,38.1615,6.1608,55.3813,-0.2000
26507,discharging,14.2028,10.0925,-0.2003,-2.0214,38.1615,11.6590,50.4301,-0.2000
27040,discharging,14.0590,10.0930,-0.2004,-2.0229,38.1615,12.7288,49.4138,-0.2000
27492,discharging,13.9302,10.0926,-0.2012,-2.0305,38.1615,13.6375,48.5126,-0.2000
27811,discharging,13.8414,10.0934,-0.1984,-2.0028,38.1615,14.2733,47.8959,-0.2000
28566,discharging,13.6167,10.0928,-0.1997,-2.0158,38.1615,15.7945,46.3538,-0.2000
29597,discharging,13.3105,10.0930,-0.1951,-1.9691,38.1615,17.8659,44.2924,-0.2000
30183,discharging,13.1286,10.0932,-0.1991,-2.0099,38.1615,19.0422,43.0902,-0.2000
30523,discharging,13.0189,10.0941,-0.2013,-2.0315,38.1615,19.7261,42.3730,-0.2000
30783,discharging,12.9434,10.0933,-0.1971,-1.9897,38.1615,20.2486,41.8826,-0.2000
31126,discharging,12.8230,10.0920,-0.2001,-2.0191,38.1615,20.9411,41.1073,-0.2000
31461,discharging,12.7154,10.0922,-0.2006,-2.0248,38.1615,21.6140,40.4204,-0.2000
31993,discharging,12.5358,10.0908,-0.2001,-2.0188,38.1615,22.6833,39.2867,-0.2000
32501,discharging,12.3656,10.0931,-0.1978,-1.9960,38.1615,23.7081,38.2268,-0.2000
32980,discharging,12.1983,10.0936,-0.1990,-2.0091,38.1615,24.6707,37.1996,-0.2000
33314,discharging,12.0760,10.0918,-0.2023,-2.0413,38.1615,25.3496,36.4577,-0.2000
33574,discharging,11.9927,10.0919,-0.1998,-2.0165,38.1615,25.8663,35.9561,-0.2000
33917,discharging,11.8612,10.0912,-0.1977,-1.9955,38.1615,26.5646,35.1718,-0.2000
34210,discharging,11.7540,10.0930,-0.2012,-2.0312,38.1615,27.1567,34.5389,-0.2000
34497,discharging,11.6450,10.0934,-0.1992,-2.0106,38.1615,27.7363,33.9014,-0.2000
35027,discharging,11.4435,10.0930,-0.2017,-2.0358,38.1615,28.8128,32.7382,-0.2000
35316,discharging,11.3308,10.0912,-0.2028,-2.0464,38.1615,29.4048,32.0967,-0.2000
35626,discharging,11.2108,10.0932,-0.2029,-2.0484,38.1615,30.0360,31.4204,-0.2000
35975,discharging,11.0625,10.0917,-0.2052,-2.0705,38.1615,30.7604,30.5945,-0.2000
36255,discharging,10.9434,10.0910,-0.2076,-2.0949,38.1615,31.3404,29.9397,-0.2000
37108,discharging,10.5803,10.0910,-0.2041,-2.0594,38.1615,33.1263,27.9859,-0.2000
37398,discharging,10.5043,10.0888,-0.1844,-1.8607,38.1615,33.6864,27.5849,-0.2000
37722,settle3,10.5017,10.0866,-0.0301,-0.3040,38.1615,33.7107,27.5716,0.0000
38095,done,10.5064,10.0855,-0.0110,-0.1109,38.1615,33.7107,27.5961,0.0000
