t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1063,charging,10.5068,10.0866,-0.0122,-0.1233,-0.0015,0.0000,27.5982,0.3000
461,settle1,10.4949,10.0864,-0.0389,-0.3921,0.0000,0.0000,27.5358,0.0000
798,charging,10.5081,10.0812,0.0575,0.5798,0.0040,0.0000,27.6053,0.3000
1054,charging,10.6872,10.0807,0.2967,2.9908,0.5658,0.0000,28.5543,0.3000
1340,charging,10.8818,10.0787,0.3011,3.0342,1.4264,0.0000,29.6033,0.3000
1623,charging,11.0645,10.0807,0.3008,3.0320,2.2783,0.0000,30.6058,0.3000
2037,charging,11.3185,10.0795,0.3014,3.0376,3.5330,0.0000,32.0270,0.3000
2534,charging,11.6135,10.0800,0.3025,3.0488,5.0337,0.0000,33.7184,0.3000
2835,charging,11.7802,10.0797,0.2985,3.0090,5.9385,0.0000,34.6930,0.3000
3082,charging,11.9144,10.0804,0.3056,3.0806,6.6802,0.0000,35.4882,0.3000
3485,charging,12.1336,10.0798,0.2966,2.9896,7.9014,0.0000,36.8060,0.3000
3765,charging,12.2796,10.0797,0.2973,2.9963,8.7477,0.0000,37.6974,0.3000
4335,charging,12.5640,10.0793,0.2976,2.9993,10.4655,0.0000,39.4633,0.3000
4670,charging,12.7290,10.0812,0.3034,3.0581,11.4809,0.0000,40.5068,0.3000
5339,charging,13.0388,10.0805,0.3015,3.0389,13.4994,0.0000,42.5025,0.3000
5624,charging,13.1672,10.0798,0.3009,3.0331,14.3608,0.0000,43.3436,0.3000
6101,charging,13.3694,10.0832,0.2964,2.9891,15.7996,0.0000,44.6851,0.3000
6743,charging,13.6373,10.0813,0.2979,3.0027,17.7356,0.0000,46.4941,0.3000
7367,charging,13.8885,10.0824,0.3016,3.0408,19.6147,0.0000,48.2225,0.3000
7658,charging,13.9986,10.0819,0.2967,2.9917,20.4920,0.0000,48.9905,0.3000
7948,charging,14.1059,10.0795,0.2982,3.0052,21.3677,0.0000,49.7443,0.3000
8255,charging,14.2180,10.0828,0.3000,3.0247,22.2946,0.0000,50.5378,0.3000
8492,charging,14.3072,10.0818,0.3002,3.0267,23.0062,0.0000,51.1739,0.3000
8871,charging,14.4386,10.0820,0.2975,2.9990,24.1496,0.0000,52.1186,0.3000
9435,charging,14.6358,10.0815,0.3048,3.0725,25.8501,0.0000,53.5519,0.3000
9821,charging,14.7302,10.0831,0.2878,2.9019,27.0053,0.0000,54.2447,0.3000
10081,charging,14.8034,10.0815,0.3009,3.0338,27.7782,0.0000,54.7849,0.3000
10418,charging,14.9095,10.0813,0.2974,2.9984,28.7939,0.0000,55.5733,0.3000
10743,charging,15.0104,10.0824,0.2970,2.9948,29.7742,0.0000,56.3278,0.3000
11008,charging,15.0840,10.0833,0.2985,3.0096,30.5696,0.0000,56.8816,0.3000
11284,charging,15.1686,10.0823,0.2968,2.9923,31.4021,0.0000,57.5218,0.3000
11524,charging,15.2361,10.0843,0.2980,3.0053,32.1251,0.0000,58.0351,0.3000
11977,charging,15.3615,10.0811,0.2989,3.0128,33.4883,0.0000,58.9939,0.3000
12275,charging,15.4460,10.0832,0.3010,3.0349,34.3884,0.0000,59.6446,0.3000
12555,charging,15.5195,10.0825,0.2981,3.0055,35.2319,0.0000,60.2139,0.3000
12841,charging,15.5900,10.0809,0.2964,2.9875,36.0886,0.0000,60.7617,0.3000
13145,charging,15.6677,10.0835,0.2968,2.9927,37.0048,0.0000,61.3692,0.3000
13783,discharging,15.6642,10.0907,0.0018,0.0182,37.3844,-0.0002,61.3414,-0.3000
14046,discharging,15.5653,10.0965,-0.2765,-2.7918,37.3844,0.3524,60.5694,-0.3000
14392,discharging,15.4333,10.0963,-0.3009,-3.0379,37.3844,1.3750,59.5466,-0.3000
14683,discharging,15.3258,10.0950,-0.3003,-3.0318,37.3844,2.2518,58.7198,-0.3000
15314,discharging,15.0917,10.0950,-0.2996,-3.0244,37.3844,4.1496,56.9401,-0.3000
15645,discharging,14.9680,10.0953,-0.2973,-3.0010,37.3844,5.1452,56.0102,-0.3000
16941,discharging,14.4998,10.0946,-0.2987,-3.0151,37.3844,9.0326,52.5611,-0.3000
17384,discharging,14.3261,10.0974,-0.2969,-2.9980,37.3844,10.3624,51.3093,-0.3000
17874,discharging,14.1188,10.0973,-0.2977,-3.0056,37.3844,11.8407,49.8348,-0.3000
18916,discharging,13.6590,10.0945,-0.2984,-3.0119,37.3844,14.9804,46.6419,-0.3000
19544,discharging,13.3735,10.0955,-0.2977,-3.0052,37.3844,16.8706,44.7126,-0.3000
