t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
751,charging,10.6791,8.0799,0.1644,1.3283,0.1277,0.0000,28.5107,0.2000
723,precharge,10.5419,8.0857,-0.2070,-1.6740,0.0000,0.0000,27.7827,-0.2000
1488,charging,10.5058,8.0818,0.0108,0.0875,-0.0005,0.0000,27.5928,0.2000
2257,charging,10.7515,8.0773,0.2096,1.6928,1.0043,0.0000,28.8987,0.2000
2594,charging,10.8747,8.0780,0.2037,1.6457,1.5628,0.0000,29.5645,0.2000
2908,charging,10.9864,8.0787,0.2059,1.6636,2.0881,0.0000,30.1752,0.2000
4328,charging,11.4682,8.0790,0.2068,1.6708,4.4343,0.0000,32.8799,0.2000
4615,charging,11.5592,8.0778,0.2048,1.6542,4.9048,0.0000,33.4037,0.2000
4897,charging,11.6411,8.0789,0.2069,1.6718,5.3730,0.0000,33.8786,0.2000
5285,charging,11.7649,8.0784,0.2013,1.6260,6.0118,0.0000,34.6034,0.2000
5835,charging,11.9277,8.0784,0.2025,1.6355,6.9161,0.0000,35.5676,0.2000
6350,charging,12.0808,8.0791,0.2044,1.6510,7.7634,0.0000,36.4863,0.2000
6628,charging,12.1627,8.0797,0.2043,1.6511,8.2212,0.0000,36.9829,0.2000
7967,charging,12.5266,8.0778,0.1978,1.5974,10.4152,0.0000,39.2289,0.2000
9196,charging,12.8458,8.0791,0.2004,1.6193,12.4278,0.0000,41.2535,0.2000
9984,charging,13.0378,8.0790,0.2030,1.6402,13.7148,0.0000,42.4962,0.2000
11028,charging,13.2887,8.0775,0.2040,1.6481,15.4229,0.0000,44.1471,0.2000
12007,charging,13.5120,8.0787,0.2016,1.6283,17.0222,0.0000,45.6433,0.2000
13089,charging,13.7462,8.0796,0.2037,1.6456,18.7832,0.0000,47.2396,0.2000
14007,charging,13.9375,8.0783,0.2028,1.6382,20.2797,0.0000,48.5635,0.2000
14977,charging,14.1323,8.0774,0.2006,1.6200,21.8579,0.0000,49.9306,0.2000
16071,charging,14.3443,8.0808,0.2001,1.6172,23.6363,0.0000,51.4397,0.2000
17037,charging,14.5242,8.0790,0.2007,1.6216,25.2083,0.0000,52.7381,0.2000
24012,charging,15.5760,8.0809,0.2007,1.6218,36.5068,0.0000,60.6531,0.2000
24801,charging,15.6793,8.0810,0.1995,1.6122,37.7858,0.0000,61.4600,0.2000
25582,discharging,15.6591,8.0868,-0.1139,-0.9214,38.0574,0.0470,61.3020,-0.2000
25892,discharging,15.6015,8.0880,-0.1859,-1.5039,38.0574,0.4499,60.8518,-0.2000
26184,discharging,15.5350,8.0883,-0.2001,-1.6181,38.0574,0.9126,60.3341,-0.2000
26566,discharging,15.4565,8.0878,-0.2008,-1.6243,38.0574,1.5338,59.7255,-0.2000
26881,discharging,15.4002,8.0873,-0.2013,-1.6276,38.0574,2.0410,59.2915,-0.2000
