t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2519,charging,10.9239,8.5827,0.2058,1.7665,1.7929,0.0000,29.8332,0.2000
245,precharge,11.1700,8.5895,-0.0958,-0.8231,0.0000,0.0000,31.1924,-0.2000
1013,precharge,10.8439,8.5911,-0.2045,-1.7568,0.0000,0.0000,29.3977,-0.2000
1257,precharge,10.7425,8.5926,-0.2052,-1.7633,0.0000,0.0000,28.8506,-0.2000
1588,precharge,10.6121,8.5904,-0.2052,-1.7631,0.0000,0.0000,28.1541,-0.2000
2018,settle1,10.5013,8.5884,-0.1270,-1.0908,0.0000,0.0000,27.5691,0.0000
2276,settle1,10.4979,8.5882,-0.0331,-0.2844,0.0000,0.0000,27.5512,0.0000
2653,charging,10.5212,8.5852,0.0956,0.8211,0.0491,0.0000,27.6739,0.2000
2893,charging,10.6175,8.5826,0.2011,1.7258,0.3929,0.0000,28.1828,0.2000
3258,charging,10.7573,8.5832,0.2060,1.7682,1.0331,0.0000,28.9301,0.2000
3554,charging,10.8782,8.5811,0.2053,1.7619,1.5569,0.0000,29.5840,0.2000
4044,charging,11.0631,8.5832,0.2066,1.7731,2.4163,0.0000,30.5979,0.2000
4580,charging,11.2553,8.5849,0.2050,1.7601,3.3532,0.0000,31.6703,0.2000
5038,charging,11.4121,8.5841,0.2041,1.7517,4.1549,0.0000,32.5590,0.2000
6380,charging,11.8480,8.5838,0.2005,1.7207,6.4922,0.0000,35.0939,0.2000
6679,charging,11.9367,8.5825,0.2013,1.7273,7.0081,0.0000,35.6210,0.2000
6974,charging,12.0305,8.5844,0.2042,1.7528,7.5240,0.0000,36.1834,0.2000
7243,charging,12.1103,8.5833,0.2044,1.7548,7.9898,0.0000,36.6649,0.2000
7624,charging,12.2295,8.5839,0.2021,1.7348,8.6576,0.0000,37.3903,0.2000
8067,charging,12.3559,8.5834,0.1997,1.7144,9.4256,0.0000,38.1673,0.2000
8329,charging,12.4295,8.5845,0.2030,1.7430,9.8789,0.0000,38.6229,0.2000
8659,charging,12.5242,8.5855,0.1968,1.6897,10.4516,0.0000,39.2141,0.2000
9105,charging,12.6480,8.5850,0.2006,1.7224,11.2252,0.0000,39.9930,0.2000
9692,charging,12.8097,8.5841,0.2006,1.7221,12.2480,0.0000,41.0222,0.2000
10209,charging,12.9413,8.5844,0.2032,1.7447,13.1443,0.0000,41.8696,0.2000
10495,charging,13.0193,8.5848,0.2006,1.7220,13.6398,0.0000,42.3759,0.2000
10776,charging,13.0873,8.5865,0.2001,1.7180,14.1239,0.0000,42.8197,0.2000
11504,charging,13.2742,8.5868,0.1987,1.7065,15.3846,0.0000,44.0510,0.2000
11843,charging,13.3532,8.5841,0.1996,1.7135,15.9710,0.0000,44.5773,0.2000
12107,charging,13.4150,8.5863,0.2016,1.7313,16.4294,0.0000,44.9905,0.2000
12445,charging,13.4999,8.5855,0.2004,1.7207,17.0145,0.0000,45.5616,0.2000
12777,charging,13.5751,8.5846,0.2028,1.7411,17.5884,0.0000,46.0709,0.2000
13111,charging,13.6466,8.5860,0.2010,1.7260,18.1645,0.0000,46.5577,0.2000
13490,charging,13.7356,8.5848,0.2006,1.7221,18.8199,0.0000,47.1669,0.2000
13782,charging,13.8014,8.5860,0.2007,1.7232,19.3239,0.0000,47.6193,0.2000
14575,charging,13.9749,8.5858,0.2027,1.7405,20.6940,0.0000,48.8244,0.2000
14856,charging,14.0343,8.5847,0.2008,1.7240,21.1780,0.0000,49.2406,0.2000
15282,charging,14.1242,8.5860,0.1991,1.7093,21.9148,0.0000,49.8730,0.2000
15827,charging,14.2393,8.5867,0.2023,1.7371,22.8565,0.0000,50.6891,0.2000
16089,charging,14.2873,8.5841,0.1997,1.7142,23.3040,0.0000,51.0319,0.2000
16427,charging,14.3585,8.5855,0.1993,1.7108,23.8889,0.0000,51.5414,0.2000
16770,charging,14.4269,8.5852,0.2014,1.7288,24.4824,0.0000,52.0337,0.2000
17079,charging,14.4831,8.5858,0.1994,1.7119,25.0130,0.0000,52.4400,0.2000
17480,charging,14.5609,8.5841,0.2012,1.7270,25.7050,0.0000,53.0051,0.2000
17917,charging,14.6447,8.5858,0.2022,1.7361,26.4555,0.0000,53.6170,0.2000
