t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
465,precharge,11.2801,9.0944,-0.1966,-1.7882,0.0000,0.0000,31.8100,-0.2000
737,precharge,11.1633,9.0937,-0.2027,-1.8434,0.0000,0.0000,31.1546,-0.2000
975,precharge,11.0557,9.0967,-0.2023,-1.8403,0.0000,0.0000,30.5569,-0.2000
1514,precharge,10.8369,9.0935,-0.2066,-1.8788,0.0000,0.0000,29.3593,-0.2000
2206,precharge,10.5672,9.0943,-0.2083,-1.8943,0.0000,0.0000,27.9163,-0.2000
2477,settle1,10.4953,9.0894,-0.1473,-1.3389,0.0000,0.0000,27.5379,0.0000
2806,settle1,10.4888,9.0914,-0.0169,-0.1536,0.0000,0.0000,27.5035,0.0000
3291,charging,10.5919,9.0772,0.1946,1.7660,0.1919,0.0000,28.0470,0.2000
3627,charging,10.7286,9.0871,0.1979,1.7980,0.8435,0.0000,28.7759,0.2000
4020,charging,10.9067,9.0775,0.2028,1.8405,1.5693,0.0000,29.7390,0.2000
4828,charging,11.1996,9.0762,0.2120,1.9239,3.0267,0.0000,31.3577,0.2000
5136,charging,11.3094,9.0850,0.2009,1.8253,3.6342,0.0000,31.9758,0.2000
5474,charging,11.4145,9.0904,0.1967,1.7876,4.2844,0.0000,32.5726,0.2000
5806,charging,11.5659,9.0895,0.2003,1.8207,4.9261,0.0000,33.4423,0.2000
6059,charging,11.6641,9.0796,0.1996,1.8121,5.4051,0.0000,34.0126,0.2000
6402,charging,11.7477,9.0873,0.2023,1.8383,6.0358,0.0000,34.5019,0.2000
6691,charging,11.8452,9.0795,0.2014,1.8289,6.5561,0.0000,35.0771,0.2000
6975,charging,11.9518,9.0819,0.2022,1.8366,7.0670,0.0000,35.7111,0.2000
7332,charging,12.0513,9.0813,0.2015,1.8303,7.7556,0.0000,36.3083,0.2000
7610,charging,12.1500,9.0705,0.2082,1.8881,8.2734,0.0000,36.9058,0.2000
7956,charging,12.2540,9.0851,0.2043,1.8562,8.8643,0.0000,37.5398,0.2000
8691,charging,12.4804,9.0761,0.1931,1.7523,10.2131,0.0000,38.9402,0.2000
9425,charging,12.7098,9.0804,0.2009,1.8245,11.4721,0.0000,40.3850,0.2000
9759,charging,12.7947,9.0739,0.1996,1.8114,12.0933,0.0000,40.9264,0.2000
10065,charging,12.8873,9.0746,0.2046,1.8568,12.6203,0.0000,41.5207,0.2000
10405,charging,12.9683,9.0784,0.1994,1.8107,13.2105,0.0000,42.0441,0.2000
10687,charging,13.0550,9.0883,0.2089,1.8988,13.7312,0.0000,42.6083,0.2000
11212,charging,13.1673,9.0930,0.2046,1.8606,14.6885,0.0000,43.3443,0.2000
11492,charging,13.2478,9.0819,0.2025,1.8392,15.1635,0.0000,43.8757,0.2000
11830,charging,13.3586,9.0896,0.2017,1.8332,15.8037,0.0000,44.6127,0.2000
12096,charging,13.4089,9.0821,0.2002,1.8182,16.3377,0.0000,44.9497,0.2000
12487,charging,13.5178,9.0711,0.2017,1.8295,17.0052,0.0000,45.6826,0.2000
12763,charging,13.5891,9.0847,0.2054,1.8657,17.5517,0.0000,46.1657,0.2000
13553,charging,13.7837,9.0858,0.2015,1.8307,18.9502,0.0000,47.4979,0.2000
13849,charging,13.8468,9.0819,0.2004,1.8199,19.4821,0.0000,47.9337,0.2000
14498,charging,13.9992,9.0856,0.2032,1.8463,20.6571,0.0000,48.9943,0.2000
14788,charging,14.0530,9.0890,0.1998,1.8160,21.1538,0.0000,49.3715,0.2000
15102,charging,14.1156,9.0774,0.2017,1.8309,21.7564,0.0000,49.8127,0.2000
15389,charging,14.1785,9.0720,0.1982,1.7985,22.2954,0.0000,50.2571,0.2000
15719,charging,14.2557,9.0815,0.1999,1.8156,22.8781,0.0000,50.8065,0.2000
16341,charging,14.3812,9.0841,0.1968,1.7882,24.0009,0.0000,51.7045,0.2000
16634,charging,14.4496,9.0835,0.1941,1.7635,24.4995,0.0000,52.1976,0.2000
17387,charging,14.6081,9.0927,0.2037,1.8526,25.8543,0.0000,53.3490,0.2000
17774,charging,14.6836,9.0940,0.2026,1.8422,26.5892,0.0000,53.9018,0.2000
18403,charging,14.7618,9.0798,0.1969,1.7882,27.6345,0.0000,54.4775,0.2000
18695,charging,14.8007,9.0892,0.2065,1.8771,28.1560,0.0000,54.7655,0.2000
19438,charging,14.9553,9.0878,0.2010,1.8270,29.5215,0.0000,55.9153,0.2000
19712,charging,15.0112,9.0895,0.2001,1.8185,30.0453,0.0000,56.3339,0.2000
20712,charging,15.1915,9.0902,0.1931,1.7550,31.9778,0.0000,57.6956,0.2000
21458,charging,15.3113,9.0814,0.1996,1.8126,33.3104,0.0000,58.6086,0.2000
21839,charging,15.3602,9.0868,0.2015,1.8308,33.9800,0.0000,58.9841,0.2000
22159,charging,15.4094,9.0951,0.2059,1.8726,34.5741,0.0000,59.3627,0.2000
23206,charging,15.5986,9.0889,0.2021,1.8367,36.4511,0.0000,60.8292,0.2000
23494,charging,15.6284,9.0811,0.2058,1.8690,36.9706,0.0000,61.0619,0.2000
23778,charging,15.6823,9.0889,0.1976,1.7958,37.5109,0.0000,61.4840,0.2000
24077,settle2,15.7273,9.0936,0.1913,1.7395,38.0390,0.0000,61.8372,0.0000
24418,settle2,15.6850,9.0911,0.0070,0.0635,38.0390,0.0000,61.5048,0.0000
24705,discharging,15.6574,9.0896,-0.1314,-1.1946,38.0390,0.0929,61.2888,-0.2000
25074,discharging,15.5756,9.1045,-0.1962,-1.7863,38.0390,0.6816,60.6501,-0.2000
