t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2033,charging,12.0047,10.0888,0.4988,5.0319,6.2878,0.0000,36.0282,0.5000
707,precharge,11.3329,10.1007,-0.5056,-5.1065,0.0000,0.0000,32.1088,-0.5000
1060,precharge,10.9129,10.1026,-0.5597,-5.6549,0.0000,0.0000,29.7729,-0.5000
1345,precharge,10.6006,10.1007,-0.4913,-4.9625,0.0000,0.0000,28.0934,-0.5000
2021,charging,10.6031,10.0927,0.0328,0.3307,0.0012,0.0000,28.1066,0.5000
2519,charging,11.2591,10.0862,0.5021,5.0640,2.1824,0.0000,31.6920,0.5000
2773,charging,11.5147,10.0866,0.4994,5.0374,3.4629,0.0000,33.1471,0.5000
3107,charging,11.8356,10.0884,0.4993,5.0371,5.1402,0.0000,35.0205,0.5000
3401,charging,12.1030,10.0868,0.4995,5.0381,6.6264,0.0000,36.6206,0.5000
4046,charging,12.6591,10.0879,0.5017,5.0607,9.8752,0.0000,40.0635,0.5000
4437,charging,12.9636,10.0874,0.4991,5.0350,11.8392,0.0000,42.0139,0.5000
4853,charging,13.2777,10.0885,0.4997,5.0414,13.9334,0.0000,44.0744,0.5000
5091,charging,13.4457,10.0887,0.4953,4.9972,15.1307,0.0000,45.1966,0.5000
5475,charging,13.7113,10.0878,0.5011,5.0554,17.0660,0.0000,47.0001,0.5000
5745,charging,13.8886,10.0882,0.4953,4.9968,18.4245,0.0000,48.2233,0.5000
6342,charging,14.2704,10.0906,0.5022,5.0676,21.4232,0.0000,50.9113,0.5000
6879,charging,14.5851,10.0874,0.4977,5.0208,24.1195,0.0000,53.1815,0.5000
7223,charging,14.7400,10.0858,0.4854,4.8959,25.8426,0.0000,54.3170,0.5000
7505,charging,14.8915,10.0907,0.4976,5.0214,27.2561,0.0000,55.4390,0.5000
7886,charging,15.0826,10.0889,0.4999,5.0430,29.1696,0.0000,56.8715,0.5000
8426,charging,15.3499,10.0893,0.4954,4.9983,31.8829,0.0000,58.9050,0.5000
8909,charging,15.5683,10.0876,0.4981,5.0251,34.3080,0.0000,60.5930,0.5000
9260,settle2,15.6864,10.0910,0.4088,4.1253,35.8850,0.0000,61.5159,0.0000
9941,discharging,15.4274,10.1032,-0.4676,-4.7246,35.8850,0.5047,59.5012,-0.5000
10285,discharging,15.2122,10.1022,-0.4974,-5.0248,35.8850,2.2146,57.8529,-0.5000
10715,discharging,14.9450,10.1027,-0.4977,-5.0277,35.8850,4.3697,55.8379,-0.5000
11113,discharging,14.7166,10.1008,-0.4871,-4.9202,35.8850,6.3507,54.1444,-0.5000
11506,discharging,14.4598,10.1035,-0.4991,-5.0424,35.8850,8.3155,52.2715,-0.5000
11841,discharging,14.2469,10.1025,-0.4912,-4.9622,35.8850,10.0019,50.7432,-0.5000
12238,discharging,13.9403,10.1039,-0.5011,-5.0629,35.8850,11.9940,48.5832,-0.5000
12771,discharging,13.5497,10.1030,-0.4975,-5.0260,35.8850,14.6680,45.8985,-0.5000
13054,discharging,13.3152,10.1014,-0.4992,-5.0423,35.8850,16.0865,44.3236,-0.5000
13351,discharging,13.0715,10.1022,-0.4953,-5.0038,35.8850,17.5773,42.7161,-0.5000
13674,discharging,12.8086,10.1036,-0.4988,-5.0400,35.8850,19.2039,41.0150,-0.5000
13997,discharging,12.5214,10.1014,-0.4988,-5.0385,35.8850,20.8257,39.1967,-0.5000
14384,discharging,12.1657,10.0999,-0.4977,-5.0270,35.8850,22.7760,37.0009,-0.5000
14668,discharging,11.9148,10.1028,-0.5014,-5.0660,35.8850,24.2084,35.4909,-0.5000
15004,discharging,11.5681,10.0984,-0.5004,-5.0530,35.8850,25.9074,33.4551,-0.5000
15406,discharging,11.1445,10.0995,-0.5090,-5.1404,35.8850,27.9716,31.0497,-0.5000
16098,settle3,10.5114,10.0966,-0.3247,-3.2779,35.8850,31.1917,27.6225,0.0000
16840,done,10.6147,10.0928,-0.0013,-0.0128,35.8850,31.1917,28.1681,0.0000
