t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1799,charging,12.0465,10.0865,0.6001,6.0532,6.3637,0.0000,36.2795,0.6000
487,precharge,11.8492,10.1048,-0.6054,-6.1175,0.0000,0.0000,35.1007,-0.6000
998,precharge,11.1739,10.1034,-0.6144,-6.2080,0.0000,0.0000,31.2141,-0.6000
1282,precharge,10.7769,10.1029,-0.6058,-6.1208,0.0000,0.0000,29.0352,-0.6000
1662,settle1,10.5585,10.0950,-0.1003,-1.0128,0.0000,0.0000,27.8703,0.0000
1980,settle1,10.5896,10.0962,-0.0091,-0.0919,0.0000,0.0000,28.0351,0.0000
2214,charging,10.9296,10.0875,0.5602,5.6515,0.5663,0.0000,29.8643,0.6000
2615,charging,11.4465,10.0862,0.5996,6.0478,2.9693,0.0000,32.7558,0.6000
2930,charging,11.8150,10.0858,0.5996,6.0479,4.8756,0.0000,34.8987,0.6000
3333,charging,12.2595,10.0865,0.6002,6.0544,7.3128,0.0000,37.5740,0.6000
3802,charging,12.7334,10.0876,0.5978,6.0302,10.1429,0.0000,40.5348,0.6000
4440,charging,13.3248,10.0845,0.6004,6.0544,14.0047,0.0000,44.3875,0.6000
4823,charging,13.6514,10.0876,0.6031,6.0838,16.3162,0.0000,46.5904,0.6000
5326,charging,14.0541,10.0885,0.5984,6.0370,19.3463,0.0000,49.3792,0.6000
5838,charging,14.4400,10.0884,0.5980,6.0329,22.4425,0.0000,52.1283,0.6000
6371,charging,14.7682,10.0879,0.5927,5.9788,25.6436,0.0000,54.5253,0.6000
6882,charging,15.0927,10.0885,0.5975,6.0280,28.7235,0.0000,56.9475,0.6000
7405,charging,15.4037,10.0898,0.5955,6.0089,31.8711,0.0000,59.3183,0.6000
8158,settle2,15.6559,10.0970,0.1294,1.3070,35.3044,0.0000,61.2768,0.0000
8448,settle2,15.6180,10.0993,0.0021,0.0213,35.3044,0.0000,60.9803,0.0000
9206,discharging,15.0121,10.1054,-0.5979,-6.0419,35.3044,3.6886,56.3405,-0.6000
9442,discharging,14.8297,10.1044,-0.5954,-6.0159,35.3044,5.1146,54.9802,-0.6000
9941,discharging,14.4711,10.1060,-0.5981,-6.0441,35.3044,8.0987,52.3533,-0.6000
10449,discharging,14.0354,10.1046,-0.5925,-5.9868,35.3044,11.1537,49.2484,-0.6000
10940,discharging,13.5892,10.1047,-0.5985,-6.0478,35.3044,14.1154,46.1665,-0.6000
11338,discharging,13.2053,10.1040,-0.5981,-6.0436,35.3044,16.5154,43.5948,-0.6000
11979,discharging,12.5417,10.1047,-0.6016,-6.0787,35.3044,20.3725,39.3237,-0.6000
12765,discharging,11.6477,10.1042,-0.6051,-6.1138,35.3044,25.1417,33.9170,-0.6000
13060,discharging,11.2824,10.1043,-0.6110,-6.1739,35.3044,26.9375,31.8233,-0.6000
13642,discharging,10.5342,10.1027,-0.5665,-5.7233,35.3044,30.5328,27.7425,-0.6000
14294,done,10.5644,10.0948,-0.0061,-0.0613,35.3044,30.8359,27.9017,0.0000
