t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1748,charging,11.3043,10.0879,0.3998,4.0335,2.7860,0.0000,31.9471,0.4000
741,precharge,10.7275,10.1001,-0.4015,-4.0550,0.0000,0.0000,28.7700,-0.4000
1477,settle1,10.5266,10.0961,-0.0171,-0.1730,0.0000,0.0000,27.7024,0.0000
2422,charging,11.3461,10.0878,0.3985,4.0203,3.0415,0.0000,32.1835,0.4000
2966,charging,11.7685,10.0894,0.3973,4.0090,5.2344,0.0000,34.6243,0.4000
3487,charging,12.1483,10.0897,0.4039,4.0752,7.3327,0.0000,36.8951,0.4000
4273,charging,12.6726,10.0907,0.4000,4.0359,10.5011,0.0000,40.1490,0.4000
5541,charging,13.4275,10.0907,0.3967,4.0029,15.6073,0.0000,45.0746,0.4000
6286,charging,13.8351,10.0931,0.4007,4.0447,18.6060,0.0000,47.8523,0.4000
6773,charging,14.0808,10.0896,0.3978,4.0138,20.5606,0.0000,49.5670,0.4000
7794,charging,14.5685,10.0898,0.3996,4.0319,24.6702,0.0000,53.0605,0.4000
9388,charging,15.1898,10.0906,0.3982,4.0179,31.0690,0.0000,57.6827,0.4000
10401,charging,15.5607,10.0912,0.3988,4.0246,35.1376,0.0000,60.5339,0.4000
12445,discharging,15.0323,10.1024,-0.3969,-4.0095,36.8636,4.0386,56.4924,-0.4000
13783,discharging,14.3709,10.1003,-0.3969,-4.0086,36.8636,9.3913,51.6309,-0.4000
14834,discharging,13.7721,10.1020,-0.3978,-4.0187,36.8636,13.6145,47.4178,-0.4000
16657,discharging,12.5990,10.1024,-0.4015,-4.0562,36.8636,20.9493,39.6840,-0.4000
18866,discharging,10.8601,10.1008,-0.4583,-4.6293,36.8636,29.9449,29.4852,-0.4000
22957,done,10.6905,10.0962,0.0006,0.0064,36.8636,31.9358,28.5716,0.0000
