t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1237,charging,11.3516,10.0856,0.6007,6.0589,2.5897,0.0000,32.2145,0.6000
225,precharge,11.2994,10.1035,-0.5289,-5.3434,0.0000,0.0000,31.9193,-0.6000
819,settle1,10.4849,10.0981,-0.5615,-5.6703,0.0000,0.0000,27.4832,0.0000
1083,settle1,10.5539,10.0934,-0.0457,-0.4615,0.0000,0.0000,27.8462,0.0000
1418,charging,10.7721,10.0871,0.4207,4.2440,0.1650,0.0000,29.0093,0.6000
1717,charging,11.2022,10.0859,0.6031,6.0831,1.8641,0.0000,31.3724,0.6000
3055,charging,12.6756,10.0867,0.5995,6.0465,9.9585,0.0000,40.1680,0.6000
3795,charging,13.3598,10.0878,0.5983,6.0358,14.4354,0.0000,44.6208,0.6000
5084,charging,14.3831,10.0881,0.5971,6.0238,22.2172,0.0000,51.7186,0.6000
5596,charging,14.7209,10.0867,0.5852,5.9032,25.3021,0.0000,54.1761,0.6000
6827,charging,15.4550,10.0886,0.5948,6.0003,32.7028,0.0000,59.7142,0.6000
7573,settle2,15.6235,10.0960,0.0258,0.2603,35.5090,0.0000,61.0237,0.0000
8685,discharging,14.8600,10.1042,-0.5975,-6.0374,35.5090,4.7708,55.2046,-0.6000
9740,discharging,14.0492,10.1064,-0.5940,-6.0034,35.5090,11.1113,49.3447,-0.6000
10714,discharging,13.1335,10.1064,-0.5958,-6.0215,35.5090,16.9687,43.1222,-0.6000
11773,discharging,11.9775,10.1059,-0.6028,-6.0915,35.5090,23.3580,35.8652,-0.6000
12765,discharging,10.7282,10.1032,-0.6065,-6.1271,35.5090,29.4857,28.7737,-0.6000
13254,settle3,10.5723,10.0965,-0.0339,-0.3420,35.5090,30.6932,27.9433,0.0000
13648,done,10.6057,10.0938,-0.0034,-0.0344,35.5090,30.6932,28.1203,0.0000
