t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1427,charging,11.3929,10.0879,0.5045,5.0896,3.2217,0.0000,32.4496,0.5000
1730,charging,11.6814,10.0888,0.5004,5.0488,4.7521,0.0000,34.1135,0.5000
248,precharge,11.3594,10.1009,-0.4533,-4.5792,0.0000,0.0000,32.2588,-0.5000
802,precharge,10.6911,10.0994,-0.4978,-5.0271,0.0000,0.0000,28.5749,-0.5000
1273,settle1,10.5415,10.0945,-0.0413,-0.4168,0.0000,0.0000,27.7810,0.0000
1762,charging,10.9165,10.0860,0.4918,4.9606,0.7925,0.0000,29.7925,0.5000
2556,charging,11.7189,10.0879,0.5001,5.0454,4.7864,0.0000,34.3334,0.5000
2939,charging,12.0705,10.0867,0.4992,5.0354,6.7111,0.0000,36.4242,0.5000
3851,charging,12.8297,10.0880,0.5004,5.0483,11.3154,0.0000,41.1500,0.5000
4323,charging,13.1880,10.0896,0.4996,5.0408,13.6871,0.0000,43.4805,0.5000
4875,charging,13.5769,10.0878,0.4971,5.0142,16.4702,0.0000,46.0831,0.5000
5385,charging,13.9195,10.0904,0.4994,5.0387,19.0307,0.0000,48.4379,0.5000
5830,charging,14.1964,10.0870,0.5004,5.0475,21.2732,0.0000,50.3842,0.5000
7389,charging,15.0242,10.0890,0.5005,5.0498,29.0954,0.0000,56.4315,0.5000
8437,charging,15.5196,10.0886,0.4975,5.0189,34.3626,0.0000,60.2146,0.5000
8960,settle2,15.6751,10.0927,0.2323,2.3443,36.5310,0.0000,61.4270,0.0000
9482,discharging,15.5175,10.1012,-0.3469,-3.5038,36.5310,0.1266,60.1983,-0.5000
9985,discharging,15.1913,10.1043,-0.5004,-5.0562,36.5310,2.5470,57.6940,-0.5000
10300,discharging,14.9927,10.1040,-0.4943,-4.9946,36.5310,4.1304,56.1951,-0.5000
10582,discharging,14.8078,10.1008,-0.5004,-5.0541,36.5310,5.5454,54.8179,-0.5000
10890,discharging,14.6450,10.1037,-0.4951,-5.0025,36.5310,7.0739,53.6192,-0.5000
11202,discharging,14.4501,10.1021,-0.4949,-4.9996,36.5310,8.6341,52.2011,-0.5000
11764,discharging,14.0413,10.1045,-0.4962,-5.0143,36.5310,11.4490,49.2895,-0.5000
12164,discharging,13.7451,10.1015,-0.5000,-5.0505,36.5310,13.4645,47.2323,-0.5000
12475,discharging,13.5107,10.1028,-0.4965,-5.0157,36.5310,15.0244,45.6346,-0.5000
13034,discharging,13.0567,10.1020,-0.4988,-5.0391,36.5310,17.8394,42.6192,-0.5000
13799,discharging,12.3989,10.1035,-0.5033,-5.0854,36.5310,21.6807,38.4330,-0.5000
14216,discharging,12.0221,10.1010,-0.5028,-5.0784,36.5310,23.7831,36.1327,-0.5000
14611,discharging,11.6316,10.1005,-0.5036,-5.0866,36.5310,25.7796,33.8235,-0.5000
15336,discharging,10.8596,10.0993,-0.5340,-5.3934,36.5310,29.5397,29.4828,-0.5000
15693,discharging,10.5266,10.0990,-0.4616,-4.6614,36.5310,31.3213,27.7021,-0.5000
16394,done,10.5675,10.0945,-0.0041,-0.0414,36.5310,31.4339,27.9183,0.0000
