t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
15069,charging,14.9266,10.0939,0.1996,2.0148,27.7876,0.0000,55.7011,0.2000
515,precharge,14.8809,10.0988,-0.1985,-2.0041,0.0000,0.0000,55.3601,-0.2000
1044,precharge,14.7383,10.1014,-0.1977,-1.9974,0.0000,0.0000,54.3041,-0.2000
1378,precharge,14.6768,10.0998,-0.1987,-2.0064,0.0000,0.0000,53.8525,-0.2000
2071,precharge,14.4810,10.0986,-0.2003,-2.0223,0.0000,0.0000,52.4249,-0.2000
2579,precharge,14.3363,10.0991,-0.1961,-1.9806,0.0000,0.0000,51.3823,-0.2000
2887,precharge,14.2516,10.0997,-0.1987,-2.0071,0.0000,0.0000,50.7768,-0.2000
3231,precharge,14.1421,10.0995,-0.1990,-2.0101,0.0000,0.0000,49.9994,-0.2000
3547,precharge,14.0547,10.0998,-0.1971,-1.9904,0.0000,0.0000,49.3837,-0.2000
3882,precharge,13.9468,10.0994,-0.1995,-2.0150,0.0000,0.0000,48.6281,-0.2000
4281,precharge,13.8256,10.0994,-0.1985,-2.0052,0.0000,0.0000,47.7869,-0.2000
4862,precharge,13.6499,10.1002,-0.1992,-2.0124,0.0000,0.0000,46.5799,-0.2000
5193,precharge,13.5423,10.0989,-0.1989,-2.0082,0.0000,0.0000,45.8484,-0.2000
5924,precharge,13.3096,10.0980,-0.2012,-2.0318,0.0000,0.0000,44.2865,-0.2000
6320,precharge,13.1807,10.0984,-0.2019,-2.0387,0.0000,0.0000,43.4325,-0.2000
7702,precharge,12.7181,10.0981,-0.1993,-2.0121,0.0000,0.0000,40.4373,-0.2000
8210,precharge,12.5441,10.0974,-0.1971,-1.9904,0.0000,0.0000,39.3386,-0.2000
9191,precharge,12.1851,10.0962,-0.2039,-2.0586,0.0000,0.0000,37.1189,-0.2000
10523,precharge,11.6886,10.0961,-0.2005,-2.0240,0.0000,0.0000,34.1559,-0.2000
11264,precharge,11.4048,10.0986,-0.2020,-2.0396,0.0000,0.0000,32.5174,-0.2000
12837,precharge,10.7316,10.0969,-0.2237,-2.2591,0.0000,0.0000,28.7918,-0.2000
14114,charging,10.5290,10.0907,0.0548,0.5532,0.0091,0.0000,27.7148,0.2000
15135,charging,11.0268,10.0908,0.1983,2.0008,1.9317,0.0000,30.3974,0.2000
16378,charging,11.5595,10.0934,0.1983,2.0011,4.4394,0.0000,33.4058,0.2000
66591,hold,15.2196,10.0964,-0.0004,-0.0036,35.3644,0.0000,57.9089,0.0000
67603,hold,15.2144,10.0969,-0.0007,-0.0071,35.3644,0.0000,57.8696,0.0000
68392,hold,15.2072,10.0979,-0.0005,-0.0050,35.3644,0.0000,57.8149,0.0000
68656,hold,15.2063,10.0985,-0.0002,-0.0021,35.3644,0.0000,57.8081,0.0000
69116,hold,15.2004,10.0944,-0.0003,-0.0030,35.3644,0.0000,57.7633,0.0000
69503,hold,15.1984,10.0956,-0.0011,-0.0115,35.3644,0.0000,57.7476,0.0000
69884,hold,15.1975,10.0953,-0.0010,-0.0100,35.3644,0.0000,57.7409,0.0000
70391,hold,15.1933,10.0965,-0.0000,-0.0001,35.3644,0.0000,57.7091,0.0000
71287,hold,15.1886,10.0968,0.0018,0.0181,35.3644,0.0000,57.6735,0.0000
73187,hold,15.1738,10.0972,0.0011,0.0107,35.3644,0.0000,57.5612,0.0000
74493,hold,15.1687,10.0963,0.0008,0.0084,35.3644,0.0000,57.5223,0.0000
75798,hold,15.1572,10.0960,0.0001,0.0010,35.3644,0.0000,57.4349,0.0000
76248,hold,15.1499,10.0948,-0.0006,-0.0057,35.3644,0.0000,57.3797,0.0000
78331,hold,15.1406,10.0961,0.0001,0.0012,35.3644,0.0000,57.3095,0.0000
80367,hold,15.1272,10.0954,0.0007,0.0074,35.3644,0.0000,57.2083,0.0000
123170,hold,14.9265,10.0967,0.0002,0.0016,35.3644,0.0000,55.7003,0.0000
124033,hold,14.9227,10.0945,-0.0007,-0.0068,35.3644,0.0000,55.6719,0.0000
124329,hold,14.9240,10.0991,0.0016,0.0159,35.3644,0.0000,55.6816,0.0000
124816,hold,14.9214,10.0947,0.0008,0.0081,35.3644,0.0000,55.6618,0.0000
125319,hold,14.9207,10.0960,0.0002,0.0015,35.3644,0.0000,55.6566,0.0000
125846,hold,14.9179,10.0982,0.0005,0.0047,35.3644,0.0000,55.6360,0.0000
126354,hold,14.9154,10.0949,0.0004,0.0036,35.3644,0.0000,55.6171,0.0000
126898,hold,14.9130,10.0963,-0.0007,-0.0067,35.3644,0.0000,55.5991,0.0000
127563,hold,14.9102,10.0976,-0.0002,-0.0024,35.3644,0.0000,55.5786,0.0000
127842,hold,14.9113,10.0957,0.0008,0.0076,35.3644,0.0000,55.5866,0.0000
128286,hold,14.9104,10.0963,0.0002,0.0024,35.3644,0.0000,55.5799,0.0000
128922,hold,14.9094,10.0985,-0.0012,-0.0122,35.3644,0.0000,55.5726,0.0000
129166,hold,14.9102,10.0963,0.0005,0.0053,35.3644,0.0000,55.5782,0.0000
129689,hold,14.9078,10.0989,0.0009,0.0092,35.3644,0.0000,55.5609,0.0000
130037,hold,14.9043,10.0963,-0.0002,-0.0016,35.3644,0.0000,55.5346,0.0000
130322,hold,14.9086,10.0972,0.0017,0.0172,35.3644,0.0000,55.5666,0.0000
130711,hold,14.9047,10.0974,-0.0008,-0.0080,35.3644,0.0000,55.5373,0.0000
130992,hold,14.9033,10.0977,-0.0006,-0.0065,35.3644,0.0000,55.5267,0.0000
131291,hold,14.9024,10.0967,0.0012,0.0116,35.3644,0.0000,55.5205,0.0000
131995,hold,14.9017,10.0982,0.0002,0.0017,35.3644,0.0000,55.5149,0.0000
133079,hold,14.8958,10.0963,0.0006,0.0063,35.3644,0.0000,55.4710,0.0000
133389,hold,14.8973,10.0976,0.0003,0.0035,35.3644,0.0000,55.4824,0.0000
133657,hold,14.8958,10.0972,-0.0020,-0.0204,35.3644,0.0000,55.4715,0.0000
134264,hold,14.8924,10.0971,0.0011,0.0110,35.3644,0.0000,55.4459,0.0000
134798,hold,14.8885,10.0969,-0.0010,-0.0098,35.3644,0.0000,55.4169,0.0000
135302,hold,14.8883,10.0979,-0.0013,-0.0131,35.3644,0.0000,55.4153,0.0000
135623,hold,14.8856,10.0968,0.0003,0.0030,35.3644,0.0000,55.3950,0.0000
136864,hold,14.8842,10.0972,0.0005,0.0046,35.3644,0.0000,55.3850,0.0000
137390,hold,14.8841,10.0966,0.0001,0.0015,35.3644,0.0000,55.3844,0.0000
