t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
79860,hold,15.0215,10.0955,0.0017,0.0170,36.5244,0.0000,56.4112,0.0000
480,precharge,14.8895,10.0992,-0.1989,-2.0085,0.0000,0.0000,55.4245,-0.2000
761,precharge,14.8155,10.0990,-0.1981,-2.0005,0.0000,0.0000,54.8749,-0.2000
1505,precharge,14.6630,10.0989,-0.1999,-2.0183,0.0000,0.0000,53.7511,-0.2000
1815,precharge,14.5854,10.0992,-0.1972,-1.9916,0.0000,0.0000,53.1838,-0.2000
2066,precharge,14.5139,10.0967,-0.2010,-2.0296,0.0000,0.0000,52.6632,-0.2000
2400,precharge,14.4208,10.0968,-0.1992,-2.0114,0.0000,0.0000,51.9898,-0.2000
2691,precharge,14.3465,10.0987,-0.1981,-2.0010,0.0000,0.0000,51.4555,-0.2000
2997,precharge,14.2625,10.1008,-0.1993,-2.0130,0.0000,0.0000,50.8548,-0.2000
3555,precharge,14.1021,10.0985,-0.1985,-2.0044,0.0000,0.0000,49.7170,-0.2000
4059,precharge,13.9567,10.0983,-0.1969,-1.9885,0.0000,0.0000,48.6972,-0.2000
4583,precharge,13.8076,10.0996,-0.1966,-1.9856,0.0000,0.0000,47.6626,-0.2000
5369,precharge,13.5722,10.0993,-0.1982,-2.0021,0.0000,0.0000,46.0511,-0.2000
5867,precharge,13.4185,10.0979,-0.1995,-2.0141,0.0000,0.0000,45.0138,-0.2000
6340,precharge,13.2744,10.0979,-0.1978,-1.9978,0.0000,0.0000,44.0527,-0.2000
6638,precharge,13.1837,10.0985,-0.1961,-1.9807,0.0000,0.0000,43.4527,-0.2000
6956,precharge,13.0891,10.0995,-0.1979,-1.9984,0.0000,0.0000,42.8309,-0.2000
7240,precharge,12.9894,10.0982,-0.2021,-2.0404,0.0000,0.0000,42.1810,-0.2000
7642,precharge,12.8613,10.0985,-0.1993,-2.0129,0.0000,0.0000,41.3533,-0.2000
8155,precharge,12.6880,10.0990,-0.2005,-2.0251,0.0000,0.0000,40.2463,-0.2000
8549,precharge,12.5547,10.0954,-0.2002,-2.0212,0.0000,0.0000,39.4049,-0.2000
8830,precharge,12.4601,10.0981,-0.1977,-1.9964,0.0000,0.0000,38.8138,-0.2000
9156,precharge,12.3468,10.0982,-0.2021,-2.0404,0.0000,0.0000,38.1107,-0.2000
9712,precharge,12.1556,10.0974,-0.1982,-2.0018,0.0000,0.0000,36.9397,-0.2000
9976,precharge,12.0622,10.0975,-0.1986,-2.0055,0.0000,0.0000,36.3743,-0.2000
10482,precharge,11.8734,10.0969,-0.2003,-2.0220,0.0000,0.0000,35.2445,-0.2000
10866,precharge,11.7336,10.0953,-0.2037,-2.0568,0.0000,0.0000,34.4194,-0.2000
11245,precharge,11.5960,10.0973,-0.1978,-1.9972,0.0000,0.0000,33.6167,-0.2000
11485,precharge,11.5011,10.0972,-0.2004,-2.0232,0.0000,0.0000,33.0686,-0.2000
11843,precharge,11.3651,10.0964,-0.2038,-2.0573,0.0000,0.0000,32.2912,-0.2000
12106,precharge,11.2607,10.0966,-0.2034,-2.0536,0.0000,0.0000,31.7008,-0.2000
13042,precharge,10.8746,10.0971,-0.2107,-2.1278,0.0000,0.0000,29.5644,-0.2000
13335,precharge,10.7420,10.0971,-0.2056,-2.0764,0.0000,0.0000,28.8475,-0.2000
13773,precharge,10.5649,10.0953,-0.2003,-2.0223,0.0000,0.0000,27.9044,-0.2000
14042,precharge,10.5003,10.0968,-0.1812,-1.8300,0.0000,0.0000,27.5639,-0.2000
14375,settle1,10.5112,10.0932,-0.0236,-0.2387,0.0000,0.0000,27.6212,0.0000
14674,charging,10.5434,10.0921,0.0876,0.8840,0.0234,0.0000,27.7911,0.2000
15328,charging,10.8701,10.0899,0.1989,2.0066,1.2479,0.0000,29.5396,0.2000
15842,charging,11.1081,10.0922,0.1980,1.9981,2.2849,0.0000,30.8477,0.2000
16609,charging,11.4368,10.0910,0.2012,2.0302,3.8294,0.0000,32.7004,0.2000
17372,charging,11.7528,10.0927,0.2036,2.0548,5.3638,0.0000,34.5323,0.2000
18137,charging,12.0434,10.0928,0.1998,2.0167,6.9009,0.0000,36.2609,0.2000
18638,charging,12.2313,10.0902,0.1993,2.0109,7.9120,0.0000,37.4010,0.2000
19185,charging,12.4286,10.0908,0.1982,1.9998,9.0127,0.0000,38.6172,0.2000
19697,charging,12.6087,10.0937,0.1995,2.0133,10.0453,0.0000,39.7447,0.2000
19958,charging,12.6939,10.0930,0.1972,1.9900,10.5673,0.0000,40.2835,0.2000
20267,charging,12.8004,10.0931,0.1971,1.9898,11.1915,0.0000,40.9626,0.2000
20618,charging,12.9165,10.0915,0.1980,1.9979,11.8986,0.0000,41.7088,0.2000
21448,charging,13.1828,10.0924,0.1991,2.0097,13.5677,0.0000,43.4462,0.2000
22131,charging,13.3946,10.0934,0.1969,1.9873,14.9421,0.0000,44.8538,0.2000
22608,charging,13.5364,10.0926,0.2017,2.0354,15.9011,0.0000,45.8086,0.2000
22917,charging,13.6234,10.0954,0.1987,2.0060,16.5183,0.0000,46.3994,0.2000
23277,charging,13.7267,10.0924,0.1991,2.0089,17.2453,0.0000,47.1058,0.2000
23521,charging,13.7994,10.0927,0.1984,2.0023,17.7384,0.0000,47.6057,0.2000
24170,charging,13.9744,10.0924,0.2003,2.0218,19.0431,0.0000,48.8209,0.2000
24508,charging,14.0645,10.0931,0.1980,1.9987,19.7197,0.0000,49.4525,0.2000
24808,charging,14.1480,10.0934,0.1993,2.0119,20.3239,0.0000,50.0414,0.2000
25720,charging,14.3806,10.0924,0.1988,2.0066,22.1600,0.0000,51.7001,0.2000
26222,charging,14.5082,10.0925,0.1995,2.0137,23.1677,0.0000,52.6219,0.2000
26565,charging,14.5876,10.0923,0.1984,2.0025,23.8576,0.0000,53.1995,0.2000
26977,charging,14.6853,10.0930,0.2001,2.0193,24.6828,0.0000,53.9145,0.2000
27461,charging,14.7574,10.0923,0.1996,2.0147,25.6416,0.0000,54.4450,0.2000
28021,charging,14.8823,10.0943,0.2000,2.0190,26.7642,0.0000,55.3705,0.2000
28504,charging,14.9887,10.0929,0.2022,2.0408,27.7338,0.0000,56.1653,0.2000
29262,charging,15.1453,10.0929,0.1996,2.0145,29.2578,0.0000,57.3451,0.2000
29777,charging,15.2494,10.0937,0.1998,2.0163,30.2940,0.0000,58.1361,0.2000
30316,charging,15.3568,10.0952,0.1981,1.9995,31.3778,0.0000,58.9578,0.2000
30604,charging,15.4096,10.0955,0.1976,1.9949,31.9561,0.0000,59.3643,0.2000
31590,charging,15.5904,10.0966,0.1979,1.9985,33.9389,0.0000,60.7651,0.2000
32084,charging,15.6734,10.0949,0.1991,2.0102,34.9097,0.0000,61.4138,0.2000
32382,settle2,15.7088,10.0939,0.1359,1.3715,35.2490,0.0000,61.6913,0.0000
32824,hold,15.6812,10.0968,0.0012,0.0117,35.2490,0.0000,61.4751,0.0000
33359,hold,15.6645,10.0966,-0.0009,-0.0088,35.2490,0.0000,61.3438,0.0000
33865,hold,15.6498,10.0979,-0.0010,-0.0098,35.2490,0.0000,61.2290,0.0000
34228,hold,15.6403,10.0956,-0.0001,-0.0010,35.2490,0.0000,61.1549,0.0000
34578,hold,15.6320,10.0962,0.0002,0.0018,35.2490,0.0000,61.0897,0.0000
34866,hold,15.6258,10.0974,-0.0002,-0.0024,35.2490,0.0000,61.0417,0.0000
35098,hold,15.6205,10.0986,0.0001,0.0009,35.2490,0.0000,60.9998,0.0000
35593,hold,15.6086,10.0956,0.0009,0.0093,35.2490,0.0000,60.9071,0.0000
36243,hold,15.5936,10.0978,0.0013,0.0133,35.2490,0.0000,60.7901,0.0000
36597,hold,15.5883,10.0987,0.0013,0.0130,35.2490,0.0000,60.7489,0.0000
