t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
715,settle1,10.4992,10.0964,-0.0812,-0.8200,0.0000,0.0000,27.5580,0.0000
210,settle1,10.5014,10.0942,-0.0118,-0.1192,0.0000,0.0000,27.5700,0.0000
767,charging,10.5958,10.0935,0.1852,1.8698,0.2275,0.0000,28.0679,0.2000
1231,charging,10.8103,10.0917,0.2003,2.0218,1.1499,0.0000,29.2156,0.2000
1529,charging,10.9473,10.0935,0.1987,2.0058,1.7514,0.0000,29.9606,0.2000
1776,charging,11.0595,10.0930,0.2020,2.0386,2.2506,0.0000,30.5780,0.2000
2105,charging,11.1909,10.0927,0.1982,2.0002,2.9082,0.0000,31.3088,0.2000
2364,charging,11.3052,10.0928,0.2010,2.0286,3.4331,0.0000,31.9521,0.2000
2789,charging,11.4781,10.0924,0.2007,2.0260,4.2849,0.0000,32.9367,0.2000
3062,charging,11.5811,10.0920,0.2002,2.0200,4.8342,0.0000,33.5306,0.2000
3540,charging,11.7734,10.0920,0.2001,2.0191,5.7966,0.0000,34.6530,0.2000
3899,charging,11.9103,10.0927,0.2002,2.0208,6.5211,0.0000,35.4640,0.2000
4188,charging,12.0105,10.0931,0.1964,1.9823,7.1021,0.0000,36.0631,0.2000
4503,charging,12.1345,10.0923,0.2010,2.0281,7.7373,0.0000,36.8115,0.2000
5042,charging,12.3252,10.0941,0.1988,2.0066,8.8163,0.0000,37.9778,0.2000
5602,charging,12.5204,10.0940,0.1983,2.0013,9.9491,0.0000,39.1902,0.2000
5862,charging,12.6088,10.0932,0.2001,2.0196,10.4733,0.0000,39.7456,0.2000
6122,charging,12.6980,10.0937,0.2003,2.0221,10.9983,0.0000,40.3095,0.2000
6574,charging,12.8481,10.0928,0.2010,2.0289,11.9079,0.0000,41.2683,0.2000
6939,charging,12.9644,10.0929,0.1981,1.9997,12.6418,0.0000,42.0188,0.2000
7222,charging,13.0460,10.0942,0.1986,2.0043,13.2104,0.0000,42.5498,0.2000
7648,charging,13.1892,10.0936,0.2012,2.0308,14.0702,0.0000,43.4889,0.2000
7956,charging,13.2803,10.0946,0.1995,2.0139,14.6886,0.0000,44.0915,0.2000
8244,charging,13.3667,10.0934,0.1988,2.0067,15.2663,0.0000,44.6671,0.2000
8894,charging,13.5553,10.0926,0.1966,1.9843,16.5768,0.0000,45.9367,0.2000
9458,charging,13.7182,10.0944,0.1982,2.0007,17.7084,0.0000,47.0475,0.2000
9814,charging,13.8196,10.0924,0.1986,2.0041,18.4272,0.0000,47.7457,0.2000
10738,charging,14.0690,10.0936,0.2012,2.0304,20.2865,0.0000,49.4844,0.2000
11236,charging,14.1997,10.0942,0.1970,1.9885,21.2852,0.0000,50.4082,0.2000
11546,charging,14.2772,10.0954,0.1975,1.9936,21.9113,0.0000,50.9596,0.2000
11963,charging,14.3844,10.0962,0.1970,1.9887,22.7489,0.0000,51.7278,0.2000
12521,charging,14.5212,10.0949,0.1987,2.0059,23.8690,0.0000,52.7160,0.2000
12767,charging,14.5784,10.0935,0.1967,1.9854,24.3639,0.0000,53.1325,0.2000
14963,charging,15.0328,10.0953,0.1986,2.0049,28.7578,0.0000,56.4966,0.2000
16049,charging,15.2583,10.0938,0.2009,2.0278,30.9407,0.0000,58.2040,0.2000
16296,charging,15.3069,10.0929,0.2007,2.0254,31.4388,0.0000,58.5750,0.2000
16801,charging,15.4041,10.0939,0.1978,1.9961,32.4530,0.0000,59.3212,0.2000
17308,charging,15.4989,10.0939,0.2000,2.0183,33.4722,0.0000,60.0539,0.2000
17605,charging,15.5512,10.0949,0.1992,2.0112,34.0670,0.0000,60.4600,0.2000
17910,charging,15.6052,10.0924,0.1987,2.0050,34.6773,0.0000,60.8808,0.2000
18311,charging,15.6743,10.0936,0.1980,1.9987,35.4860,0.0000,61.4209,0.2000
18837,settle2,15.6889,10.0963,0.0075,0.0757,35.7938,0.0000,61.5356,0.0000
19113,hold,15.6777,10.0964,0.0004,0.0040,35.7938,0.0000,61.4472,0.0000
19417,hold,15.6684,10.0970,0.0006,0.0062,35.7938,0.0000,61.3746,0.0000
19781,hold,15.6577,10.0988,0.0007,0.0075,35.7938,0.0000,61.2906,0.0000
20635,hold,15.6344,10.0979,0.0016,0.0158,35.7938,0.0000,61.1083,0.0000
20937,hold,15.6275,10.0962,0.0001,0.0009,35.7938,0.0000,61.0551,0.0000
21390,hold,15.6154,10.0980,-0.0004,-0.0041,35.7938,0.0000,60.9598,0.0000
21794,hold,15.6039,10.0967,-0.0005,-0.0054,35.7938,0.0000,60.8704,0.0000
22138,hold,15.5993,10.0961,0.0014,0.0141,35.7938,0.0000,60.8344,0.0000
22443,hold,15.5918,10.0994,0.0006,0.0066,35.7938,0.0000,60.7759,0.0000
22757,hold,15.5840,10.0972,-0.0019,-0.0194,35.7938,0.0000,60.7156,0.0000
23424,hold,15.5744,10.0965,0.0011,0.0112,35.7938,0.0000,60.6405,0.0000
23944,hold,15.5630,10.0975,-0.0010,-0.0098,35.7938,0.0000,60.5515,0.0000
24450,hold,15.5520,10.0982,0.0009,0.0095,35.7938,0.0000,60.4661,0.0000
24758,hold,15.5482,10.0975,-0.0001,-0.0010,35.7938,0.0000,60.4363,0.0000
25769,hold,15.5302,10.0977,0.0008,0.0079,35.7938,0.0000,60.2970,0.0000
26272,hold,15.5197,10.0974,-0.0021,-0.0210,35.7938,0.0000,60.2150,0.0000
26627,hold,15.5159,10.0967,0.0028,0.0278,35.7938,0.0000,60.1857,0.0000
26942,hold,15.5095,10.0984,0.0005,0.0051,35.7938,0.0000,60.1358,0.0000
27279,hold,15.5058,10.0968,0.0002,0.0021,35.7938,0.0000,60.1074,0.0000
27588,hold,15.4990,10.0972,0.0020,0.0205,35.7938,0.0000,60.0544,0.0000
27886,hold,15.4946,10.0971,-0.0007,-0.0070,35.7938,0.0000,60.0203,0.0000
28221,hold,15.4896,10.0963,0.0005,0.0048,35.7938,0.0000,59.9820,0.0000
28586,hold,15.4823,10.0969,-0.0005,-0.0046,35.7938,0.0000,59.9255,0.0000
28951,hold,15.4792,10.0964,0.0003,0.0027,35.7938,0.0000,59.9017,0.0000
29283,hold,15.4727,10.0963,-0.0001,-0.0005,35.7938,0.0000,59.8511,0.0000
29866,hold,15.4651,10.0960,-0.0007,-0.0066,35.7938,0.0000,59.7923,0.0000
30339,hold,15.4573,10.0972,-0.0002,-0.0025,35.7938,0.0000,59.7324,0.0000
30795,hold,15.4528,10.0966,0.0004,0.0040,35.7938,0.0000,59.6969,0.0000
31097,hold,15.4517,10.0979,0.0000,0.0001,35.7938,0.0000,59.6889,0.0000
31558,hold,15.4414,10.0953,-0.0004,-0.0044,35.7938,0.0000,59.6090,0.0000
31875,hold,15.4381,10.0965,0.0012,0.0122,35.7938,0.0000,59.5838,0.0000
32425,hold,15.4318,10.0967,-0.0018,-0.0184,35.7938,0.0000,59.5355,0.0000
32795,hold,15.4268,10.0977,-0.0014,-0.0145,35.7938,0.0000,59.4966,0.0000
33416,hold,15.4192,10.0963,-0.0004,-0.0042,35.7938,0.0000,59.4378,0.0000
33983,hold,15.4123,10.0963,0.0018,0.0179,35.7938,0.0000,59.3847,0.0000
34335,hold,15.4092,10.0977,0.0003,0.0028,35.7938,0.0000,59.3607,0.0000
34634,hold,15.4046,10.0968,0.0010,0.0101,35.7938,0.0000,59.3251,0.0000
34943,hold,15.4013,10.0959,-0.0006,-0.0057,35.7938,0.0000,59.3002,0.0000
35732,hold,15.3926,10.0961,-0.0000,-0.0002,35.7938,0.0000,59.2331,0.0000
36530,hold,15.3826,10.0977,0.0010,0.0105,35.7938,0.0000,59.1559,0.0000
36993,hold,15.3761,10.0978,0.0003,0.0028,35.7938,0.0000,59.1061,0.0000
37548,hold,15.3706,10.0966,-0.0003,-0.0034,35.7938,0.0000,59.0639,0.0000
38028,hold,15.3676,10.0970,0.0010,0.0103,35.7938,0.0000,59.0410,0.0000
38519,hold,15.3603,10.0965,-0.0007,-0.0071,35.7938,0.0000,58.9847,0.0000
38825,hold,15.3591,10.0970,0.0009,0.0092,35.7938,0.0000,58.9756,0.0000
39160,hold,15.3556,10.0966,0.0005,0.0046,35.7938,0.0000,58.9490,0.0000
39416,hold,15.3523,10.0983,0.0003,0.0033,35.7938,0.0000,58.9230,0.0000
39770,hold,15.3497,10.0995,-0.0005,-0.0050,35.7938,0.0000,58.9035,0.0000
40338,hold,15.3438,10.0971,-0.0003,-0.0029,35.7938,0.0000,58.8583,0.0000
40651,hold,15.3397,10.0974,0.0002,0.0018,35.7938,0.0000,58.8264,0.0000
41107,hold,15.3331,10.0957,0.0011,0.0110,35.7938,0.0000,58.7758,0.0000
41469,hold,15.3327,10.0954,0.0023,0.0228,35.7938,0.0000,58.7730,0.0000
41770,hold,15.3269,10.0967,-0.0012,-0.0126,35.7938,0.0000,58.7283,0.0000
42402,hold,15.3235,10.0971,0.0007,0.0073,35.7938,0.0000,58.7022,0.0000
