t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
753,charging,10.6470,10.0899,0.2070,2.0887,0.0490,0.0000,28.3398,0.5000
500,settle1,10.5204,10.0935,-0.0935,-0.9437,0.0000,0.0000,27.6696,0.0000
1234,charging,11.0208,10.0861,0.5004,5.0471,1.4135,0.0000,30.3645,0.5000
1738,charging,11.5446,10.0883,0.4978,5.0224,3.9568,0.0000,33.3192,0.5000
2257,charging,12.0231,10.0872,0.4969,5.0121,6.5697,0.0000,36.1386,0.5000
2784,charging,12.4673,10.0887,0.4972,5.0156,9.2195,0.0000,38.8582,0.5000
3119,charging,12.7546,10.0878,0.5021,5.0649,10.9086,0.0000,40.6697,0.5000
3689,charging,13.1890,10.0883,0.5007,5.0511,13.7841,0.0000,43.4877,0.5000
4558,charging,13.7931,10.0860,0.4988,5.0308,18.1485,0.0000,47.5623,0.5000
5335,charging,14.2885,10.0881,0.4989,5.0327,22.0593,0.0000,51.0403,0.5000
7124,charging,15.2222,10.0888,0.4998,5.0419,31.0414,0.0000,57.9286,0.5000
7473,charging,15.3821,10.0892,0.4989,5.0339,32.7908,0.0000,59.1522,0.5000
7842,charging,15.5534,10.0901,0.4962,5.0063,34.6509,0.0000,60.4767,0.5000
8392,settle2,15.6530,10.0967,0.0938,0.9472,36.4025,0.0000,61.2544,0.0000
8913,discharging,15.4488,10.1051,-0.4640,-4.6883,36.4025,0.4645,59.6660,-0.5000
9674,discharging,14.9638,10.1032,-0.4959,-5.0103,36.4025,4.3099,55.9790,-0.5000
9966,discharging,14.7765,10.1013,-0.4943,-4.9928,36.4025,5.7735,54.5859,-0.5000
10267,discharging,14.6213,10.1032,-0.4936,-4.9866,36.4025,7.2666,53.4456,-0.5000
11228,discharging,13.9452,10.1028,-0.4994,-5.0458,36.4025,12.0899,48.6171,-0.5000
11762,discharging,13.5480,10.1022,-0.4943,-4.9934,36.4025,14.7692,45.8870,-0.5000
12096,discharging,13.2784,10.1001,-0.4984,-5.0335,36.4025,16.4483,44.0791,-0.5000
12821,discharging,12.6850,10.1028,-0.4958,-5.0092,36.4025,20.0913,40.2273,-0.5000
13339,discharging,12.2116,10.1016,-0.5014,-5.0650,36.4025,22.6990,37.2809,-0.5000
13712,discharging,11.8630,10.1024,-0.5037,-5.0888,36.4025,24.5832,35.1827,-0.5000
14161,discharging,11.4089,10.0984,-0.5145,-5.1953,36.4025,26.8607,32.5409,-0.5000
14604,discharging,10.9164,10.1028,-0.5567,-5.6241,36.4025,29.1564,29.7917,-0.5000
14972,discharging,10.5630,10.1016,-0.4777,-4.8260,36.4025,31.0327,27.8942,-0.5000
15629,done,10.5662,10.0949,-0.0048,-0.0489,36.4025,31.4379,27.9113,0.0000
