t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
24000,hold,15.5978,10.0959,-0.0010,-0.0101,36.5318,0.0000,60.8229,0.0000
434,precharge,15.4812,10.1012,-0.1949,-1.9685,0.0000,0.0000,59.9171,-0.2000
997,precharge,15.3434,10.1001,-0.1978,-1.9983,0.0000,0.0000,58.8550,-0.2000
2282,precharge,15.0202,10.0998,-0.1985,-2.0052,0.0000,0.0000,56.4017,-0.2000
2808,precharge,14.8894,10.0992,-0.1976,-1.9953,0.0000,0.0000,55.4232,-0.2000
3311,precharge,14.7593,10.0992,-0.2008,-2.0275,0.0000,0.0000,54.4590,-0.2000
3788,precharge,14.6766,10.0984,-0.1989,-2.0089,0.0000,0.0000,53.8508,-0.2000
4122,precharge,14.5862,10.0976,-0.1999,-2.0184,0.0000,0.0000,53.1894,-0.2000
4806,precharge,14.4031,10.0989,-0.1984,-2.0034,0.0000,0.0000,51.8624,-0.2000
5354,precharge,14.2498,10.0988,-0.1967,-1.9869,0.0000,0.0000,50.7645,-0.2000
5880,precharge,14.1012,10.0989,-0.1965,-1.9840,0.0000,0.0000,49.7111,-0.2000
6385,precharge,13.9523,10.0981,-0.1997,-2.0164,0.0000,0.0000,48.6665,-0.2000
7127,precharge,13.7334,10.1008,-0.1985,-2.0050,0.0000,0.0000,47.1513,-0.2000
8181,precharge,13.4148,10.0993,-0.1972,-1.9920,0.0000,0.0000,44.9891,-0.2000
8917,precharge,13.1806,10.0999,-0.2004,-2.0241,0.0000,0.0000,43.4324,-0.2000
9302,precharge,13.0553,10.0970,-0.1985,-2.0044,0.0000,0.0000,42.6102,-0.2000
9722,precharge,12.9168,10.0977,-0.2000,-2.0199,0.0000,0.0000,41.7112,-0.2000
10220,precharge,12.7541,10.0987,-0.1978,-1.9979,0.0000,0.0000,40.6669,-0.2000
10749,precharge,12.5757,10.0971,-0.1986,-2.0049,0.0000,0.0000,39.5372,-0.2000
11040,precharge,12.4702,10.0989,-0.2024,-2.0437,0.0000,0.0000,38.8762,-0.2000
11490,precharge,12.3152,10.0975,-0.2002,-2.0211,0.0000,0.0000,37.9161,-0.2000
12236,precharge,12.0459,10.0970,-0.2002,-2.0214,0.0000,0.0000,36.2757,-0.2000
12759,precharge,11.8537,10.0966,-0.1985,-2.0042,0.0000,0.0000,35.1273,-0.2000
13154,precharge,11.7052,10.0957,-0.2019,-2.0386,0.0000,0.0000,34.2529,-0.2000
13531,precharge,11.5667,10.0981,-0.2006,-2.0255,0.0000,0.0000,33.4473,-0.2000
13916,precharge,11.4144,10.0980,-0.2012,-2.0319,0.0000,0.0000,32.5722,-0.2000
14258,precharge,11.2815,10.0973,-0.2019,-2.0385,0.0000,0.0000,31.8178,-0.2000
14566,precharge,11.1584,10.0991,-0.2016,-2.0364,0.0000,0.0000,31.1277,-0.2000
14861,precharge,11.0334,10.0973,-0.2095,-2.1157,0.0000,0.0000,30.4340,-0.2000
15143,precharge,10.9155,10.0978,-0.2081,-2.1017,0.0000,0.0000,29.7871,-0.2000
15564,precharge,10.7319,10.0974,-0.2173,-2.1945,0.0000,0.0000,28.7932,-0.2000
15897,precharge,10.5928,10.0970,-0.1976,-1.9950,0.0000,0.0000,28.0518,-0.2000
16192,precharge,10.5097,10.0973,-0.1832,-1.8496,0.0000,0.0000,27.6135,-0.2000
17110,charging,10.6888,10.0924,0.1969,1.9870,0.4953,0.0000,28.5624,0.2000
17599,charging,10.9215,10.0930,0.2014,2.0330,1.4773,0.0000,29.8199,0.2000
17942,charging,11.0790,10.0936,0.1995,2.0135,2.1670,0.0000,30.6863,0.2000
18678,charging,11.3926,10.0928,0.1984,2.0022,3.6523,0.0000,32.4478,0.2000
19164,charging,11.5917,10.0924,0.2007,2.0260,4.6255,0.0000,33.5917,0.2000
19963,charging,11.9056,10.0928,0.1991,2.0093,6.2362,0.0000,35.4356,0.2000
20422,charging,12.0763,10.0914,0.2004,2.0222,7.1561,0.0000,36.4591,0.2000
