t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1257,charging,10.8614,10.0891,0.3949,3.9840,0.6838,0.0000,29.4924,0.4000
20,precharge,11.1004,10.0893,0.3899,3.9342,0.0000,0.0000,30.8050,-0.4000
490,precharge,10.5434,10.1009,-0.3806,-3.8443,0.0000,0.0000,27.7910,-0.4000
764,settle1,10.5248,10.0963,-0.0564,-0.5697,0.0000,0.0000,27.6929,0.0000
1053,settle1,10.5263,10.0940,-0.0151,-0.1519,0.0000,0.0000,27.7006,0.0000
1308,charging,10.7669,10.0892,0.3653,3.6859,0.4011,0.0000,28.9813,0.4000
1595,charging,11.0381,10.0899,0.4004,4.0396,1.5407,0.0000,30.4598,0.4000
1992,charging,11.3664,10.0901,0.3994,4.0305,3.1385,0.0000,32.2986,0.4000
2797,charging,11.9722,10.0878,0.3992,4.0269,6.3816,0.0000,35.8333,0.4000
3242,charging,12.2778,10.0895,0.3956,3.9913,8.1747,0.0000,37.6862,0.4000
4278,charging,12.9477,10.0895,0.3988,4.0238,12.3526,0.0000,41.9107,0.4000
5254,charging,13.5065,10.0876,0.3985,4.0195,16.2839,0.0000,45.6061,0.4000
6639,charging,14.2182,10.0907,0.3967,4.0033,21.8594,0.0000,50.5390,0.4000
7370,charging,14.5560,10.0899,0.3994,4.0295,24.7991,0.0000,52.9696,0.4000
8687,charging,15.0632,10.0894,0.3968,4.0039,30.0757,0.0000,56.7251,0.4000
9694,charging,15.4416,10.0909,0.3989,4.0249,34.1296,0.0000,59.6106,0.4000
13554,discharging,14.2924,10.1011,-0.3981,-4.0210,37.2229,9.9284,51.0681,-0.4000
16118,discharging,12.7246,10.1019,-0.3984,-4.0243,37.2229,20.2383,40.4790,-0.4000
17606,discharging,11.6416,10.1002,-0.4001,-4.0415,37.2229,26.2398,33.8816,-0.4000
18148,discharging,11.1994,10.0996,-0.4105,-4.1462,37.2229,28.4590,31.3567,-0.4000
20156,done,10.6008,10.0925,0.0003,0.0034,37.2229,31.9807,28.0941,0.0000
