t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
21178,hold,15.6489,10.0961,-0.0003,-0.0033,36.0781,0.0000,61.2221,0.0000
473,precharge,15.5111,10.0980,-0.1952,-1.9716,0.0000,0.0000,60.1485,-0.2000
957,precharge,15.3918,10.1007,-0.1996,-2.0166,0.0000,0.0000,59.2266,-0.2000
1246,precharge,15.3208,10.0992,-0.1984,-2.0039,0.0000,0.0000,58.6821,-0.2000
1741,precharge,15.1978,10.0999,-0.1985,-2.0053,0.0000,0.0000,57.7436,-0.2000
2255,precharge,15.0684,10.1003,-0.1982,-2.0015,0.0000,0.0000,56.7640,-0.2000
2799,precharge,14.9295,10.0987,-0.1992,-2.0120,0.0000,0.0000,55.7223,-0.2000
3149,precharge,14.8399,10.0990,-0.1973,-1.9921,0.0000,0.0000,55.0556,-0.2000
3567,precharge,14.7377,10.0998,-0.1969,-1.9886,0.0000,0.0000,54.2999,-0.2000
4331,precharge,14.5675,10.0999,-0.1982,-2.0015,0.0000,0.0000,53.0530,-0.2000
5106,precharge,14.3560,10.0995,-0.1971,-1.9905,0.0000,0.0000,51.5239,-0.2000
5341,precharge,14.2879,10.0988,-0.1977,-1.9961,0.0000,0.0000,51.0359,-0.2000
5829,precharge,14.1517,10.0988,-0.1968,-1.9878,0.0000,0.0000,50.0674,-0.2000
6230,precharge,14.0315,10.0983,-0.1993,-2.0126,0.0000,0.0000,49.2205,-0.2000
6479,precharge,13.9620,10.0993,-0.1944,-1.9628,0.0000,0.0000,48.7344,-0.2000
6794,precharge,13.8686,10.1004,-0.1971,-1.9911,0.0000,0.0000,48.0842,-0.2000
7149,precharge,13.7585,10.0992,-0.1995,-2.0148,0.0000,0.0000,47.3241,-0.2000
7388,precharge,13.6863,10.1004,-0.2002,-2.0217,0.0000,0.0000,46.8285,-0.2000
7721,precharge,13.5901,10.0994,-0.1981,-2.0009,0.0000,0.0000,46.1727,-0.2000
8065,precharge,13.4799,10.1001,-0.1991,-2.0111,0.0000,0.0000,45.4271,-0.2000
8369,precharge,13.3872,10.0980,-0.1988,-2.0076,0.0000,0.0000,44.8043,-0.2000
8927,precharge,13.2068,10.0974,-0.1988,-2.0072,0.0000,0.0000,43.6048,-0.2000
9461,precharge,13.0321,10.0980,-0.2008,-2.0277,0.0000,0.0000,42.4592,-0.2000
9776,precharge,12.9298,10.1000,-0.1987,-2.0065,0.0000,0.0000,41.7951,-0.2000
10191,precharge,12.7894,10.0981,-0.1980,-1.9992,0.0000,0.0000,40.8921,-0.2000
10657,precharge,12.6339,10.0980,-0.2011,-2.0310,0.0000,0.0000,39.9040,-0.2000
10974,precharge,12.5211,10.0979,-0.1993,-2.0123,0.0000,0.0000,39.1946,-0.2000
11495,precharge,12.3398,10.0978,-0.1977,-1.9968,0.0000,0.0000,38.0676,-0.2000
11803,precharge,12.2333,10.0993,-0.2003,-2.0227,0.0000,0.0000,37.4133,-0.2000
12164,precharge,12.0971,10.0985,-0.2007,-2.0263,0.0000,0.0000,36.5849,-0.2000
12459,precharge,11.9884,10.0969,-0.2003,-2.0221,0.0000,0.0000,35.9304,-0.2000
13009,precharge,11.7820,10.0975,-0.2006,-2.0250,0.0000,0.0000,34.7040,-0.2000
13525,precharge,11.5861,10.0980,-0.1991,-2.0108,0.0000,0.0000,33.5597,-0.2000
14132,precharge,11.3457,10.0974,-0.2044,-2.0638,0.0000,0.0000,32.1814,-0.2000
