t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1428,charging,11.1119,10.0880,0.3996,4.0313,1.8918,0.0000,30.8687,0.4000
219,precharge,10.9298,10.1001,-0.3146,-3.1776,0.0000,0.0000,29.8654,-0.4000
742,settle1,10.5037,10.0970,-0.2779,-2.8061,0.0000,0.0000,27.5817,0.0000
980,settle1,10.5273,10.0956,-0.0340,-0.3432,0.0000,0.0000,27.7061,0.0000
1232,charging,10.5502,10.0931,0.0171,0.1729,-0.0038,0.0000,27.8267,0.4000
1596,charging,10.9566,10.0860,0.3948,3.9819,1.0946,0.0000,30.0120,0.4000
1880,charging,11.2034,10.0887,0.4011,4.0467,2.2383,0.0000,31.3792,0.4000
2325,charging,11.5548,10.0867,0.4021,4.0557,4.0313,0.0000,33.3781,0.4000
2585,charging,11.7399,10.0893,0.3934,3.9694,5.0778,0.0000,34.4565,0.4000
2881,charging,11.9656,10.0888,0.3982,4.0172,6.2747,0.0000,35.7939,0.4000
3223,charging,12.2109,10.0870,0.3992,4.0263,7.6536,0.0000,37.2765,0.4000
3750,charging,12.5652,10.0888,0.3975,4.0107,9.7715,0.0000,39.4713,0.4000
4034,charging,12.7472,10.0899,0.3981,4.0172,10.9216,0.0000,40.6229,0.4000
4358,charging,12.9402,10.0879,0.3971,4.0057,12.2243,0.0000,41.8625,0.4000
4642,charging,13.1193,10.0887,0.3986,4.0214,13.3687,0.0000,43.0293,0.4000
5190,charging,13.4360,10.0878,0.4023,4.0585,15.5752,0.0000,45.1318,0.4000
6058,charging,13.8981,10.0902,0.4002,4.0381,19.0676,0.0000,48.2894,0.4000
6417,charging,14.0727,10.0892,0.3986,4.0212,20.5079,0.0000,49.5106,0.4000
6710,charging,14.2200,10.0884,0.3972,4.0067,21.6862,0.0000,50.5518,0.4000
6998,charging,14.3602,10.0902,0.4002,4.0384,22.8465,0.0000,51.5541,0.4000
7635,charging,14.6506,10.0919,0.3990,4.0270,25.4106,0.0000,53.6603,0.4000
7962,charging,14.7564,10.0915,0.3969,4.0055,26.7088,0.0000,54.4381,0.4000
8389,charging,14.9266,10.0907,0.3982,4.0180,28.4227,0.0000,55.7009,0.4000
8886,charging,15.1274,10.0897,0.3993,4.0284,30.4201,0.0000,57.2094,0.4000
9670,charging,15.4213,10.0916,0.3993,4.0295,33.5768,0.0000,59.4541,0.4000
10118,charging,15.5745,10.0895,0.4003,4.0389,35.3717,0.0000,60.6410,0.4000
10960,settle2,15.6320,10.0960,-0.0019,-0.0188,36.9287,0.0000,61.0900,0.0000
12230,discharging,14.9864,10.1012,-0.3952,-3.9915,36.9287,4.4440,56.1482,-0.4000
14510,discharging,13.7797,10.1004,-0.4006,-4.0461,36.9287,13.5820,47.4703,-0.4000
15297,discharging,13.3007,10.0997,-0.3972,-4.0114,36.9287,16.7489,44.2269,-0.4000
16854,discharging,12.2515,10.0994,-0.3961,-4.0001,36.9287,23.0147,37.5246,-0.4000
17874,discharging,11.4837,10.1000,-0.3998,-4.0380,36.9287,27.1395,32.9686,-0.4000
18637,discharging,10.8216,10.0997,-0.4252,-4.2948,36.9287,30.3203,29.2769,-0.4000
19136,settle3,10.5035,10.0966,-0.2766,-2.7924,36.9287,32.0792,27.5809,0.0000
19445,settle3,10.5430,10.0935,-0.0242,-0.2447,36.9287,32.0792,27.7886,0.0000
19831,done,10.5685,10.0924,-0.0035,-0.0352,36.9287,32.0792,27.9233,0.0000
