t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2250,charging,11.7089,10.0891,0.3975,4.0108,4.9334,0.0000,34.2745,0.4000
204,precharge,11.8741,10.0997,-0.3139,-3.1698,0.0000,0.0000,35.2484,-0.4000
1772,settle1,10.4912,10.1002,-0.3695,-3.7324,0.0000,0.0000,27.5165,0.0000
2096,settle1,10.5354,10.0945,-0.0220,-0.2225,0.0000,0.0000,27.7488,0.0000
2546,charging,10.8724,10.0874,0.3941,3.9756,0.7731,0.0000,29.5525,0.4000
2826,charging,11.1290,10.0891,0.4013,4.0491,1.8995,0.0000,30.9635,0.4000
3115,charging,11.3649,10.0891,0.4002,4.0374,3.0600,0.0000,32.2901,0.4000
3384,charging,11.5747,10.0903,0.3998,4.0342,4.1486,0.0000,33.4932,0.4000
3937,charging,11.9883,10.0898,0.3996,4.0322,6.3760,0.0000,35.9297,0.4000
4306,charging,12.2454,10.0905,0.4003,4.0388,7.8608,0.0000,37.4873,0.4000
4650,charging,12.4832,10.0892,0.4005,4.0403,9.2493,0.0000,38.9574,0.4000
4989,charging,12.7042,10.0900,0.3993,4.0293,10.6114,0.0000,40.3494,0.4000
5245,charging,12.8582,10.0897,0.3980,4.0155,11.6365,0.0000,41.3333,0.4000
5594,charging,13.0806,10.0899,0.3974,4.0099,13.0465,0.0000,42.7753,0.4000
6098,charging,13.3768,10.0905,0.4024,4.0606,15.0769,0.0000,44.7345,0.4000
6887,charging,13.8047,10.0921,0.4005,4.0419,18.2541,0.0000,47.6423,0.4000
7185,charging,13.9584,10.0920,0.4016,4.0533,19.4557,0.0000,48.7091,0.4000
7660,charging,14.1974,10.0917,0.3993,4.0299,21.3673,0.0000,50.3914,0.4000
7888,charging,14.3076,10.0907,0.4006,4.0425,22.2822,0.0000,51.1771,0.4000
9462,charging,14.9601,10.0919,0.4003,4.0398,28.6000,0.0000,55.9511,0.4000
10226,charging,15.2600,10.0905,0.3946,3.9817,31.6664,0.0000,58.2170,0.4000
12178,discharging,15.4695,10.1015,-0.3777,-3.8154,36.6399,0.4408,59.8266,-0.4000
13640,discharging,14.7456,10.1015,-0.3931,-3.9711,36.6399,6.2958,54.3585,-0.4000
14268,discharging,14.4548,10.1018,-0.3970,-4.0105,36.6399,8.7874,52.2353,-0.4000
15340,discharging,13.8418,10.1013,-0.3986,-4.0259,36.6399,13.1051,47.8985,-0.4000
16346,discharging,13.2202,10.1038,-0.3988,-4.0292,36.6399,17.1422,43.6934,-0.4000
22314,done,10.6524,10.0943,0.0011,0.0112,36.6399,31.8458,28.3683,0.0000
