t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1260,precharge,14.6670,10.0993,-0.1972,-1.9920,0.0000,0.0000,53.7804,-0.2000
466,precharge,14.4714,10.1017,-0.1995,-2.0153,0.0000,0.0000,52.3551,-0.2000
820,precharge,14.3772,10.0997,-0.1988,-2.0078,0.0000,0.0000,51.6757,-0.2000
1271,precharge,14.2531,10.1014,-0.2010,-2.0304,0.0000,0.0000,50.7876,-0.2000
1602,precharge,14.1580,10.0978,-0.2002,-2.0216,0.0000,0.0000,50.1124,-0.2000
1922,precharge,14.0700,10.0987,-0.2006,-2.0257,0.0000,0.0000,49.4910,-0.2000
2421,precharge,13.9301,10.0984,-0.1991,-2.0103,0.0000,0.0000,48.5118,-0.2000
2714,precharge,13.8496,10.0987,-0.1973,-1.9929,0.0000,0.0000,47.9531,-0.2000
3071,precharge,13.7435,10.0983,-0.2001,-2.0210,0.0000,0.0000,47.2212,-0.2000
3570,precharge,13.5972,10.0990,-0.1990,-2.0097,0.0000,0.0000,46.2208,-0.2000
4085,precharge,13.4416,10.0977,-0.1998,-2.0175,0.0000,0.0000,45.1691,-0.2000
4591,precharge,13.2885,10.0985,-0.2008,-2.0282,0.0000,0.0000,44.1464,-0.2000
4855,precharge,13.2105,10.0985,-0.1999,-2.0189,0.0000,0.0000,43.6290,-0.2000
5188,precharge,13.0999,10.0974,-0.1995,-2.0145,0.0000,0.0000,42.9016,-0.2000
5633,precharge,12.9617,10.0976,-0.2012,-2.0318,0.0000,0.0000,42.0013,-0.2000
5886,precharge,12.8825,10.0998,-0.2003,-2.0234,0.0000,0.0000,41.4896,-0.2000
6227,precharge,12.7731,10.0972,-0.1969,-1.9880,0.0000,0.0000,40.7880,-0.2000
6514,precharge,12.6817,10.1007,-0.1992,-2.0121,0.0000,0.0000,40.2065,-0.2000
6881,precharge,12.5578,10.0977,-0.1993,-2.0128,0.0000,0.0000,39.4246,-0.2000
7272,precharge,12.4297,10.0983,-0.1987,-2.0066,0.0000,0.0000,38.6244,-0.2000
7502,precharge,12.3495,10.0978,-0.2003,-2.0221,0.0000,0.0000,38.1276,-0.2000
7767,precharge,12.2714,10.0975,-0.1981,-2.0003,0.0000,0.0000,37.6470,-0.2000
8047,precharge,12.1638,10.0975,-0.2010,-2.0299,0.0000,0.0000,36.9896,-0.2000
8376,precharge,12.0426,10.0961,-0.2032,-2.0520,0.0000,0.0000,36.2559,-0.2000
9182,precharge,11.7565,10.0951,-0.1992,-2.0104,0.0000,0.0000,34.5538,-0.2000
9520,precharge,11.6352,10.0981,-0.1991,-2.0103,0.0000,0.0000,33.8443,-0.2000
9785,precharge,11.5424,10.0987,-0.2005,-2.0251,0.0000,0.0000,33.3068,-0.2000
10130,precharge,11.4026,10.0970,-0.2069,-2.0892,0.0000,0.0000,32.5051,-0.2000
10407,precharge,11.2973,10.0978,-0.2003,-2.0228,0.0000,0.0000,31.9075,-0.2000
10714,precharge,11.1822,10.0981,-0.2035,-2.0551,0.0000,0.0000,31.2603,-0.2000
11054,precharge,11.0383,10.0960,-0.2063,-2.0828,0.0000,0.0000,30.4608,-0.2000
11500,precharge,10.8569,10.0982,-0.2153,-2.1740,0.0000,0.0000,29.4679,-0.2000
11801,precharge,10.7266,10.0987,-0.2105,-2.1254,0.0000,0.0000,28.7648,-0.2000
12518,settle1,10.4975,10.0968,-0.1712,-1.7284,0.0000,0.0000,27.5495,0.0000
13035,charging,10.5233,10.0937,0.0102,0.1026,-0.0059,0.0000,27.6852,0.2000
13385,charging,10.7152,10.0912,0.1974,1.9916,0.5086,0.0000,28.7040,0.2000
14045,charging,11.0271,10.0924,0.1992,2.0108,1.8365,0.0000,30.3994,0.2000
14549,charging,11.2487,10.0914,0.2008,2.0261,2.8482,0.0000,31.6334,0.2000
14775,charging,11.3389,10.0927,0.1984,2.0028,3.3031,0.0000,32.1427,0.2000
15337,charging,11.5811,10.0934,0.2006,2.0252,4.4369,0.0000,33.5303,0.2000
15823,charging,11.7726,10.0940,0.1962,1.9809,5.4155,0.0000,34.6487,0.2000
16335,charging,11.9709,10.0941,0.2008,2.0267,6.4447,0.0000,35.8258,0.2000
16624,charging,12.0814,10.0924,0.1999,2.0174,7.0239,0.0000,36.4900,0.2000
16951,charging,12.1954,10.0909,0.1999,2.0175,7.6799,0.0000,37.1817,0.2000
17349,charging,12.3483,10.0914,0.2008,2.0261,8.4882,0.0000,38.1202,0.2000
17883,charging,12.5343,10.0924,0.1991,2.0091,9.5647,0.0000,39.2773,0.2000
18394,charging,12.7128,10.0925,0.1991,2.0096,10.5926,0.0000,40.4040,0.2000
19098,charging,12.9416,10.0931,0.1972,1.9907,12.0069,0.0000,41.8713,0.2000
19407,charging,13.0416,10.0931,0.1996,2.0147,12.6312,0.0000,42.5207,0.2000
19888,charging,13.1917,10.0941,0.1983,2.0022,13.5972,0.0000,43.5055,0.2000
20722,charging,13.4438,10.0930,0.1993,2.0115,15.2783,0.0000,45.1840,0.2000
21205,charging,13.5869,10.0937,0.1998,2.0171,16.2482,0.0000,46.1507,0.2000
21503,charging,13.6692,10.0924,0.2002,2.0201,16.8490,0.0000,46.7120,0.2000
21743,charging,13.7373,10.0928,0.2008,2.0263,17.3315,0.0000,47.1785,0.2000
22228,charging,13.8703,10.0934,0.2004,2.0226,18.3065,0.0000,48.0960,0.2000
22734,charging,14.0056,10.0932,0.2000,2.0184,19.3232,0.0000,49.0393,0.2000
23035,charging,14.0857,10.0942,0.1997,2.0156,19.9238,0.0000,49.6015,0.2000
23516,charging,14.2083,10.0939,0.2004,2.0232,20.8959,0.0000,50.4688,0.2000
24011,charging,14.3365,10.0927,0.1974,1.9922,21.8892,0.0000,51.3839,0.2000
24308,charging,14.4084,10.0935,0.1977,1.9950,22.4883,0.0000,51.9004,0.2000
24602,charging,14.4809,10.0928,0.1973,1.9909,23.0812,0.0000,52.4244,0.2000
24865,charging,14.5449,10.0946,0.1984,2.0023,23.6078,0.0000,52.8888,0.2000
