t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1944,charging,11.2513,10.0897,0.3988,4.0236,2.4999,0.0000,31.6480,0.4000
232,precharge,11.1541,10.0977,-0.3628,-3.6631,0.0000,0.0000,31.1033,-0.4000
526,precharge,10.8472,10.1011,-0.4507,-4.5523,0.0000,0.0000,29.4157,-0.4000
1255,settle1,10.5299,10.0952,-0.0299,-0.3022,0.0000,0.0000,27.7195,0.0000
2095,charging,11.1666,10.0892,0.4019,4.0549,2.1292,0.0000,31.1732,0.4000
4558,charging,12.9071,10.0914,0.3966,4.0023,12.0554,0.0000,41.6482,0.4000
5065,charging,13.2053,10.0892,0.4021,4.0569,14.0985,0.0000,43.5947,0.4000
5596,charging,13.5048,10.0893,0.3991,4.0267,16.2355,0.0000,45.5949,0.4000
6106,charging,13.7728,10.0890,0.3981,4.0162,18.2876,0.0000,47.4225,0.4000
6633,charging,14.0386,10.0900,0.3993,4.0291,20.4075,0.0000,49.2704,0.4000
6915,charging,14.1773,10.0906,0.4005,4.0416,21.5398,0.0000,50.2489,0.4000
7721,charging,14.5471,10.0892,0.3984,4.0199,24.7807,0.0000,52.9047,0.4000
8162,charging,14.7236,10.0889,0.3935,3.9701,26.5482,0.0000,54.1960,0.4000
8692,charging,14.9177,10.0928,0.3960,3.9965,28.6699,0.0000,55.6342,0.4000
8921,charging,15.0092,10.0905,0.3965,4.0005,29.5905,0.0000,56.3189,0.4000
9450,charging,15.2131,10.0886,0.4026,4.0621,31.7169,0.0000,57.8598,0.4000
9739,charging,15.3190,10.0903,0.3977,4.0129,32.8782,0.0000,58.6680,0.4000
10484,charging,15.5778,10.0909,0.4002,4.0388,35.8743,0.0000,60.6670,0.4000
10820,charging,15.6864,10.0913,0.3940,3.9760,37.2237,0.0000,61.5155,0.4000
11396,discharging,15.6253,10.0962,-0.0044,-0.0447,37.4520,0.0002,61.0372,-0.4000
11901,discharging,15.3294,10.1025,-0.3974,-4.0150,37.4520,1.5805,58.7476,-0.4000
12538,discharging,15.0126,10.1024,-0.3950,-3.9902,37.4520,4.1369,56.3448,-0.4000
12988,discharging,14.7875,10.1014,-0.3965,-4.0050,37.4520,5.9430,54.6676,-0.4000
13320,discharging,14.6678,10.1030,-0.3936,-3.9768,37.4520,7.2594,53.7857,-0.4000
13782,discharging,14.4178,10.1023,-0.3938,-3.9778,37.4520,9.1121,51.9679,-0.4000
14363,discharging,14.0875,10.1010,-0.4000,-4.0403,37.4520,11.4468,49.6145,-0.4000
14660,discharging,13.9199,10.1010,-0.3985,-4.0250,37.4520,12.6349,48.4410,-0.4000
14952,discharging,13.7516,10.1007,-0.3973,-4.0129,37.4520,13.8084,47.2766,-0.4000
15659,discharging,13.3217,10.1023,-0.3994,-4.0347,37.4520,16.6463,44.3672,-0.4000
15916,discharging,13.1623,10.0998,-0.3981,-4.0212,37.4520,17.6829,43.3115,-0.4000
16241,discharging,12.9497,10.1012,-0.3958,-3.9978,37.4520,18.9887,41.9238,-0.4000
16752,discharging,12.6061,10.1020,-0.4005,-4.0462,37.4520,21.0411,39.7287,-0.4000
18070,discharging,11.6381,10.0986,-0.4019,-4.0586,37.4520,26.3617,33.8615,-0.4000
18709,discharging,11.1241,10.1003,-0.4101,-4.1418,37.4520,28.9714,30.9362,-0.4000
19220,discharging,10.6804,10.0997,-0.3967,-4.0067,37.4520,31.1143,28.5177,-0.4000
20354,done,10.5793,10.0929,-0.0011,-0.0111,37.4520,32.1338,27.9806,0.0000
