t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
743,precharge,10.5453,10.0965,-0.1966,-1.9851,0.0000,0.0000,27.8010,-0.2000
501,charging,10.5064,10.0925,-0.0127,-0.1282,0.0000,0.0000,27.5960,0.0000
1236,charging,10.8117,10.0907,0.1995,2.0132,1.1330,0.0000,29.2233,0.2000
2152,charging,11.2129,10.0905,0.1989,2.0069,2.9794,0.0000,31.4321,0.2000
3268,charging,11.6647,10.0929,0.1980,1.9988,5.2233,0.0000,34.0160,0.2000
4296,charging,12.0463,10.0909,0.2000,2.0178,7.2921,0.0000,36.2781,0.2000
5101,charging,12.3398,10.0912,0.1987,2.0050,8.9132,0.0000,38.0678,0.2000
5951,charging,12.6295,10.0932,0.2015,2.0342,10.6261,0.0000,39.8761,0.2000
6243,charging,12.7214,10.0933,0.2029,2.0480,11.2115,0.0000,40.4582,0.2000
6544,charging,12.8275,10.0943,0.1980,1.9983,11.8203,0.0000,41.1364,0.2000
6831,charging,12.9162,10.0924,0.2002,2.0202,12.3969,0.0000,41.7073,0.2000
7193,charging,13.0306,10.0914,0.2003,2.0212,13.1251,0.0000,42.4492,0.2000
7445,charging,13.1111,10.0920,0.2004,2.0226,13.6329,0.0000,42.9752,0.2000
7699,charging,13.1921,10.0926,0.2008,2.0264,14.1472,0.0000,43.5080,0.2000
8023,charging,13.2871,10.0946,0.1978,1.9963,14.7947,0.0000,44.1367,0.2000
8333,charging,13.3810,10.0947,0.2000,2.0193,15.4186,0.0000,44.7631,0.2000
8580,charging,13.4521,10.0925,0.1971,1.9887,15.9158,0.0000,45.2399,0.2000
8849,charging,13.5303,10.0934,0.2001,2.0199,16.4562,0.0000,45.7673,0.2000
9438,charging,13.6988,10.0921,0.2003,2.0210,17.6423,0.0000,46.9142,0.2000
10221,charging,13.9133,10.0943,0.1986,2.0043,19.2150,0.0000,48.3951,0.2000
10585,charging,14.0123,10.0928,0.2014,2.0324,19.9448,0.0000,49.0863,0.2000
11212,charging,14.1776,10.0940,0.2009,2.0280,21.2055,0.0000,50.2507,0.2000
11511,charging,14.2560,10.0939,0.1990,2.0088,21.8074,0.0000,50.8086,0.2000
11807,charging,14.3225,10.0939,0.1979,1.9976,22.4018,0.0000,51.2833,0.2000
12219,charging,14.4273,10.0922,0.2012,2.0307,23.2272,0.0000,52.0371,0.2000
12528,charging,14.5044,10.0938,0.1977,1.9959,23.8497,0.0000,52.5941,0.2000
12812,charging,14.5715,10.0934,0.1984,2.0029,24.4246,0.0000,53.0821,0.2000
13113,charging,14.6454,10.0928,0.2007,2.0252,25.0286,0.0000,53.6217,0.2000
13427,charging,14.7146,10.0935,0.1982,2.0010,25.6571,0.0000,54.1297,0.2000
13809,charging,14.7636,10.0944,0.1981,1.9998,26.4096,0.0000,54.4913,0.2000
14062,charging,14.8188,10.0952,0.1990,2.0092,26.9177,0.0000,54.8989,0.2000
14473,charging,14.9124,10.0945,0.2004,2.0232,27.7399,0.0000,55.5949,0.2000
14716,charging,14.9650,10.0930,0.1993,2.0118,28.2288,0.0000,55.9879,0.2000
15061,charging,15.0374,10.0944,0.1966,1.9847,28.9237,0.0000,56.5305,0.2000
15360,charging,15.0987,10.0938,0.1972,1.9903,29.5248,0.0000,56.9923,0.2000
15672,charging,15.1630,10.0933,0.1994,2.0126,30.1503,0.0000,57.4788,0.2000
16357,charging,15.3037,10.0951,0.1980,1.9988,31.5301,0.0000,58.5507,0.2000
16602,charging,15.3478,10.0951,0.1996,2.0148,32.0220,0.0000,58.8884,0.2000
16935,charging,15.4105,10.0942,0.2005,2.0236,32.6864,0.0000,59.3711,0.2000
17306,charging,15.4789,10.0928,0.2035,2.0535,33.4343,0.0000,59.8988,0.2000
17611,charging,15.5353,10.0940,0.1991,2.0100,34.0457,0.0000,60.3365,0.2000
18118,charging,15.6244,10.0927,0.1974,1.9924,35.0666,0.0000,61.0307,0.2000
18699,settle2,15.7085,10.0939,0.1393,1.4065,35.9535,0.0000,61.6896,0.0000
19018,settle2,15.6879,10.0962,0.0035,0.0351,35.9535,0.0000,61.5272,0.0000
19488,hold,15.6692,10.0970,-0.0015,-0.0150,35.9535,0.0000,61.3811,0.0000
19741,hold,15.6619,10.0959,0.0005,0.0055,35.9535,0.0000,61.3237,0.0000
20068,hold,15.6524,10.0966,0.0009,0.0093,35.9535,0.0000,61.2494,0.0000
20587,hold,15.6367,10.0952,0.0002,0.0022,35.9535,0.0000,61.1267,0.0000
21196,hold,15.6237,10.0969,0.0008,0.0081,35.9535,0.0000,61.0248,0.0000
21449,hold,15.6154,10.0963,0.0012,0.0118,35.9535,0.0000,60.9603,0.0000
21943,hold,15.6054,10.0975,0.0018,0.0179,35.9535,0.0000,60.8819,0.0000
22356,hold,15.5936,10.0966,0.0008,0.0078,35.9535,0.0000,60.7897,0.0000
22613,hold,15.5872,10.0979,0.0009,0.0086,35.9535,0.0000,60.7400,0.0000
22998,hold,15.5795,10.0960,0.0009,0.0093,35.9535,0.0000,60.6801,0.0000
23356,hold,15.5709,10.0941,0.0010,0.0097,35.9535,0.0000,60.6135,0.0000
23654,hold,15.5664,10.0963,0.0006,0.0056,35.9535,0.0000,60.5781,0.0000
23939,hold,15.5624,10.0967,0.0012,0.0125,35.9535,0.0000,60.5469,0.0000
24238,hold,15.5553,10.0960,0.0004,0.0038,35.9535,0.0000,60.4915,0.0000
24589,hold,15.5478,10.0966,-0.0008,-0.0077,35.9535,0.0000,60.4332,0.0000
25045,hold,15.5425,10.0966,0.0012,0.0124,35.9535,0.0000,60.3920,0.0000
25394,hold,15.5334,10.0978,0.0010,0.0099,35.9535,0.0000,60.3219,0.0000
26566,hold,15.5122,10.0962,0.0002,0.0018,35.9535,0.0000,60.1572,0.0000
27345,hold,15.5000,10.0973,0.0016,0.0158,35.9535,0.0000,60.0626,0.0000
27648,hold,15.4963,10.0987,-0.0000,-0.0004,35.9535,0.0000,60.0339,0.0000
28051,hold,15.4894,10.0968,-0.0006,-0.0064,35.9535,0.0000,59.9801,0.0000
28295,hold,15.4847,10.0983,-0.0011,-0.0111,35.9535,0.0000,59.9444,0.0000
28771,hold,15.4787,10.0981,-0.0006,-0.0059,35.9535,0.0000,59.8979,0.0000
29040,hold,15.4715,10.0977,-0.0004,-0.0040,35.9535,0.0000,59.8418,0.0000
29391,hold,15.4653,10.0980,-0.0001,-0.0012,35.9535,0.0000,59.7938,0.0000
29701,hold,15.4625,10.0961,0.0011,0.0107,35.9535,0.0000,59.7718,0.0000
30139,hold,15.4563,10.0962,0.0000,0.0000,35.9535,0.0000,59.7239,0.0000
30500,hold,15.4523,10.0976,-0.0003,-0.0030,35.9535,0.0000,59.6936,0.0000
31460,hold,15.4365,10.0950,-0.0012,-0.0121,35.9535,0.0000,59.5713,0.0000
31788,hold,15.4354,10.0972,-0.0012,-0.0124,35.9535,0.0000,59.5630,0.0000
32481,hold,15.4252,10.0967,0.0004,0.0037,35.9535,0.0000,59.4843,0.0000
32731,hold,15.4209,10.0962,-0.0011,-0.0111,35.9535,0.0000,59.4509,0.0000
33234,hold,15.4135,10.0970,-0.0006,-0.0060,35.9535,0.0000,59.3937,0.0000
33702,hold,15.4068,10.0961,-0.0005,-0.0048,35.9535,0.0000,59.3421,0.0000
34249,hold,15.4020,10.0970,-0.0024,-0.0239,35.9535,0.0000,59.3052,0.0000
34778,hold,15.3968,10.0965,0.0005,0.0047,35.9535,0.0000,59.2656,0.0000
35271,hold,15.3918,10.0956,0.0009,0.0094,35.9535,0.0000,59.2268,0.0000
35802,hold,15.3856,10.0973,0.0005,0.0051,35.9535,0.0000,59.1788,0.0000
36802,hold,15.3718,10.0946,0.0010,0.0106,35.9535,0.0000,59.0731,0.0000
37098,hold,15.3682,10.0960,-0.0005,-0.0050,35.9535,0.0000,59.0450,0.0000
37481,hold,15.3663,10.0979,-0.0011,-0.0111,35.9535,0.0000,59.0308,0.0000
37811,hold,15.3616,10.0994,0.0004,0.0043,35.9535,0.0000,58.9950,0.0000
38227,hold,15.3556,10.0948,-0.0008,-0.0084,35.9535,0.0000,58.9488,0.0000
38521,hold,15.3535,10.0973,0.0011,0.0115,35.9535,0.0000,58.9324,0.0000
39252,hold,15.3440,10.0950,-0.0022,-0.0222,35.9535,0.0000,58.8598,0.0000
39652,hold,15.3413,10.0956,0.0013,0.0129,35.9535,0.0000,58.8390,0.0000
39939,hold,15.3399,10.0964,0.0004,0.0037,35.9535,0.0000,58.8281,0.0000
40235,hold,15.3359,10.0967,-0.0004,-0.0042,35.9535,0.0000,58.7974,0.0000
40543,hold,15.3319,10.0978,0.0000,0.0004,35.9535,0.0000,58.7666,0.0000
40882,hold,15.3292,10.0973,-0.0018,-0.0187,35.9535,0.0000,58.7460,0.0000
41199,hold,15.3265,10.0981,-0.0007,-0.0074,35.9535,0.0000,58.7250,0.0000
41660,hold,15.3211,10.0957,-0.0001,-0.0009,35.9535,0.0000,58.6841,0.0000
41947,hold,15.3199,10.0975,0.0017,0.0174,35.9535,0.0000,58.6748,0.0000
42305,hold,15.3149,10.0970,-0.0007,-0.0066,35.9535,0.0000,58.6365,0.0000
42617,hold,15.3137,10.0972,-0.0016,-0.0163,35.9535,0.0000,58.6272,0.0000
42894,hold,15.3094,10.0949,-0.0008,-0.0083,35.9535,0.0000,58.5947,0.0000
43191,hold,15.3068,10.0952,-0.0002,-0.0023,35.9535,0.0000,58.5743,0.0000
43555,hold,15.3041,10.0978,0.0003,0.0028,35.9535,0.0000,58.5536,0.0000
43839,hold,15.3023,10.0990,-0.0006,-0.0065,35.9535,0.0000,58.5404,0.0000
44243,hold,15.2947,10.0978,0.0009,0.0089,35.9535,0.0000,58.4822,0.0000
44550,hold,15.2948,10.0976,0.0007,0.0069,35.9535,0.0000,58.4827,0.0000
45162,hold,15.2880,10.0968,-0.0000,-0.0001,35.9535,0.0000,58.4310,0.0000
45459,hold,15.2845,10.0975,0.0003,0.0033,35.9535,0.0000,58.4038,0.0000
46419,hold,15.2769,10.0969,0.0017,0.0175,35.9535,0.0000,58.3460,0.0000
46908,hold,15.2722,10.0968,0.0000,0.0004,35.9535,0.0000,58.3099,0.0000
47318,hold,15.2690,10.0960,0.0009,0.0093,35.9535,0.0000,58.2859,0.0000
47618,hold,15.2653,10.0969,0.0002,0.0023,35.9535,0.0000,58.2575,0.0000
48013,hold,15.2612,10.0971,-0.0003,-0.0033,35.9535,0.0000,58.2258,0.0000
48749,hold,15.2571,10.0956,0.0011,0.0108,35.9535,0.0000,58.1951,0.0000
49250,hold,15.2521,10.0957,0.0007,0.0071,35.9535,0.0000,58.1570,0.0000
49653,hold,15.2478,10.0949,-0.0002,-0.0023,35.9535,0.0000,58.1241,0.0000
50001,hold,15.2449,10.0963,-0.0003,-0.0027,35.9535,0.0000,58.1019,0.0000
50402,hold,15.2418,10.0954,-0.0006,-0.0059,35.9535,0.0000,58.0783,0.0000
50711,hold,15.2381,10.0951,-0.0003,-0.0029,35.9535,0.0000,58.0500,0.0000
51054,hold,15.2340,10.0954,-0.0005,-0.0048,35.9535,0.0000,58.0191,0.0000
51411,hold,15.2326,10.0955,-0.0013,-0.0136,35.9535,0.0000,58.0077,0.0000
51798,hold,15.2308,10.0966,0.0001,0.0011,35.9535,0.0000,57.9944,0.0000
52214,hold,15.2261,10.0967,-0.0010,-0.0100,35.9535,0.0000,57.9585,0.0000
52511,hold,15.2268,10.0967,0.0006,0.0062,35.9535,0.0000,57.9639,0.0000
52848,hold,15.2244,10.0966,0.0004,0.0043,35.9535,0.0000,57.9453,0.0000
53151,hold,15.2201,10.0962,0.0008,0.0080,35.9535,0.0000,57.9132,0.0000
55183,hold,15.2050,10.0977,0.0000,0.0003,35.9535,0.0000,57.7979,0.0000
55493,hold,15.2023,10.0957,0.0015,0.0155,35.9535,0.0000,57.7775,0.0000
56178,hold,15.1958,10.0961,-0.0011,-0.0116,35.9535,0.0000,57.7283,0.0000
56648,hold,15.1939,10.0962,0.0008,0.0081,35.9535,0.0000,57.7139,0.0000
57161,hold,15.1904,10.0978,0.0004,0.0037,35.9535,0.0000,57.6870,0.0000
57458,hold,15.1879,10.0956,-0.0003,-0.0027,35.9535,0.0000,57.6680,0.0000
57968,hold,15.1865,10.0972,-0.0004,-0.0043,35.9535,0.0000,57.6577,0.0000
58272,hold,15.1833,10.0977,-0.0004,-0.0042,35.9535,0.0000,57.6335,0.0000
58571,hold,15.1798,10.0971,-0.0004,-0.0037,35.9535,0.0000,57.6068,0.0000
58847,hold,15.1796,10.0960,-0.0001,-0.0015,35.9535,0.0000,57.6047,0.0000
59215,hold,15.1772,10.0971,0.0002,0.0022,35.9535,0.0000,57.5872,0.0000
59521,hold,15.1752,10.0954,-0.0000,-0.0005,35.9535,0.0000,57.5715,0.0000
59963,hold,15.1717,10.0950,-0.0001,-0.0014,35.9535,0.0000,57.5450,0.0000
60320,hold,15.1674,10.0966,-0.0004,-0.0036,35.9535,0.0000,57.5128,0.0000
60742,hold,15.1666,10.0972,0.0003,0.0032,35.9535,0.0000,57.5065,0.0000
61292,hold,15.1629,10.0958,0.0009,0.0087,35.9535,0.0000,57.4781,0.0000
61553,hold,15.1611,10.0948,-0.0003,-0.0032,35.9535,0.0000,57.4648,0.0000
61850,hold,15.1592,10.0974,-0.0000,-0.0002,35.9535,0.0000,57.4501,0.0000
62145,hold,15.1584,10.0961,0.0004,0.0043,35.9535,0.0000,57.4440,0.0000
62459,hold,15.1557,10.0973,0.0001,0.0013,35.9535,0.0000,57.4239,0.0000
62898,hold,15.1529,10.0976,-0.0011,-0.0113,35.9535,0.0000,57.4026,0.0000
63313,hold,15.1499,10.0982,0.0003,0.0034,35.9535,0.0000,57.3801,0.0000
63608,hold,15.1493,10.0973,0.0006,0.0060,35.9535,0.0000,57.3749,0.0000
64167,hold,15.1435,10.0962,-0.0017,-0.0174,35.9535,0.0000,57.3313,0.0000
64525,hold,15.1431,10.0969,-0.0005,-0.0051,35.9535,0.0000,57.3285,0.0000
64907,hold,15.1416,10.0972,0.0006,0.0062,35.9535,0.0000,57.3169,0.0000
65210,hold,15.1386,10.0967,0.0003,0.0033,35.9535,0.0000,57.2942,0.0000
65686,hold,15.1360,10.0964,-0.0007,-0.0069,35.9535,0.0000,57.2749,0.0000
66472,hold,15.1299,10.0980,0.0004,0.0044,35.9535,0.0000,57.2287,0.0000
67204,hold,15.1257,10.0971,-0.0001,-0.0014,35.9535,0.0000,57.1969,0.0000
67497,hold,15.1259,10.0971,0.0009,0.0096,35.9535,0.0000,57.1983,0.0000
67745,hold,15.1245,10.0965,0.0005,0.0049,35.9535,0.0000,57.1877,0.0000
68084,hold,15.1214,10.0974,0.0011,0.0111,35.9535,0.0000,57.1641,0.0000
68386,hold,15.1211,10.0976,-0.0002,-0.0025,35.9535,0.0000,57.1616,0.0000
68694,hold,15.1179,10.0986,-0.0020,-0.0203,35.9535,0.0000,57.1373,0.0000
68972,hold,15.1160,10.0964,-0.0005,-0.0047,35.9535,0.0000,57.1233,0.0000
69332,hold,15.1146,10.0962,0.0003,0.0026,35.9535,0.0000,57.1127,0.0000
69586,hold,15.1112,10.0970,-0.0000,-0.0001,35.9535,0.0000,57.0869,0.0000
71688,hold,15.0996,10.0981,-0.0001,-0.0014,35.9535,0.0000,56.9991,0.0000
71961,hold,15.0976,10.0971,0.0005,0.0055,35.9535,0.0000,56.9841,0.0000
72594,hold,15.0941,10.0953,0.0004,0.0045,35.9535,0.0000,56.9577,0.0000
72877,hold,15.0898,10.0953,-0.0003,-0.0031,35.9535,0.0000,56.9253,0.0000
73229,hold,15.0899,10.0966,0.0005,0.0051,35.9535,0.0000,56.9261,0.0000
73473,hold,15.0900,10.0970,-0.0000,-0.0005,35.9535,0.0000,56.9274,0.0000
73813,hold,15.0881,10.0960,-0.0008,-0.0081,35.9535,0.0000,56.9126,0.0000
74162,hold,15.0853,10.0971,0.0005,0.0046,35.9535,0.0000,56.8912,0.0000
74422,hold,15.0841,10.0969,-0.0014,-0.0139,35.9535,0.0000,56.8822,0.0000
74923,hold,15.0813,10.0963,-0.0000,-0.0004,35.9535,0.0000,56.8611,0.0000
75328,hold,15.0791,10.0959,0.0002,0.0020,35.9535,0.0000,56.8452,0.0000
75690,hold,15.0763,10.0949,-0.0004,-0.0038,35.9535,0.0000,56.8234,0.0000
76204,hold,15.0732,10.0959,-0.0002,-0.0022,35.9535,0.0000,56.8006,0.0000
76511,hold,15.0725,10.0962,0.0008,0.0076,35.9535,0.0000,56.7952,0.0000
76785,hold,15.0730,10.0981,0.0011,0.0109,35.9535,0.0000,56.7990,0.0000
77098,hold,15.0707,10.0963,-0.0013,-0.0127,35.9535,0.0000,56.7814,0.0000
77394,hold,15.0666,10.0971,-0.0013,-0.0130,35.9535,0.0000,56.7508,0.0000
77954,hold,15.0644,10.0951,-0.0017,-0.0176,35.9535,0.0000,56.7342,0.0000
78366,hold,15.0649,10.0977,-0.0003,-0.0034,35.9535,0.0000,56.7378,0.0000
78663,hold,15.0621,10.0975,0.0005,0.0049,35.9535,0.0000,56.7168,0.0000
78939,hold,15.0613,10.0965,0.0001,0.0008,35.9535,0.0000,56.7111,0.0000
79249,hold,15.0578,10.0965,-0.0001,-0.0010,35.9535,0.0000,56.6847,0.0000
79549,hold,15.0589,10.0958,0.0007,0.0067,35.9535,0.0000,56.6930,0.0000
79834,hold,15.0570,10.0957,-0.0003,-0.0028,35.9535,0.0000,56.6782,0.0000
80186,hold,15.0546,10.0957,-0.0004,-0.0038,35.9535,0.0000,56.6600,0.0000
80777,hold,15.0525,10.0959,-0.0006,-0.0063,35.9535,0.0000,56.6448,0.0000
81553,hold,15.0463,10.0963,-0.0004,-0.0045,35.9535,0.0000,56.5975,0.0000
82335,hold,15.0430,10.0956,0.0005,0.0050,35.9535,0.0000,56.5730,0.0000
82862,hold,15.0433,10.0951,0.0009,0.0095,35.9535,0.0000,56.5755,0.0000
83358,hold,15.0403,10.0957,0.0013,0.0133,35.9535,0.0000,56.5523,0.0000
84104,hold,15.0353,10.0969,-0.0017,-0.0167,35.9535,0.0000,56.5154,0.0000
84656,hold,15.0317,10.0943,-0.0008,-0.0078,35.9535,0.0000,56.4882,0.0000
84936,hold,15.0327,10.0965,0.0009,0.0089,35.9535,0.0000,56.4959,0.0000
85291,hold,15.0307,10.0972,0.0007,0.0070,35.9535,0.0000,56.4804,0.0000
85709,hold,15.0281,10.0970,-0.0001,-0.0012,35.9535,0.0000,56.4611,0.0000
86441,hold,15.0223,10.0953,-0.0006,-0.0061,35.9535,0.0000,56.4173,0.0000
86954,hold,15.0195,10.0960,-0.0006,-0.0065,35.9535,0.0000,56.3960,0.0000
87476,hold,15.0182,10.0964,0.0004,0.0041,35.9535,0.0000,56.3864,0.0000
87971,hold,15.0167,10.0964,-0.0001,-0.0006,35.9535,0.0000,56.3754,0.0000
88225,hold,15.0156,10.0956,0.0008,0.0083,35.9535,0.0000,56.3674,0.0000
88583,hold,15.0144,10.0945,0.0003,0.0030,35.9535,0.0000,56.3577,0.0000
88969,hold,15.0113,10.0964,-0.0003,-0.0028,35.9535,0.0000,56.3344,0.0000
91672,hold,15.0016,10.0955,-0.0004,-0.0043,35.9535,0.0000,56.2623,0.0000
92512,hold,14.9970,10.0978,-0.0037,-0.0378,35.9535,0.0000,56.2275,0.0000
93010,hold,14.9943,10.0955,-0.0005,-0.0051,35.9535,0.0000,56.2074,0.0000
93370,hold,14.9935,10.0960,0.0000,0.0000,35.9535,0.0000,56.2010,0.0000
93719,hold,14.9934,10.0966,0.0011,0.0112,35.9535,0.0000,56.2006,0.0000
93999,hold,14.9930,10.0958,0.0009,0.0091,35.9535,0.0000,56.1978,0.0000
94254,hold,14.9901,10.0956,-0.0001,-0.0008,35.9535,0.0000,56.1757,0.0000
94614,hold,14.9868,10.0952,-0.0004,-0.0040,35.9535,0.0000,56.1509,0.0000
94887,hold,14.9879,10.0957,0.0008,0.0081,35.9535,0.0000,56.1591,0.0000
95248,hold,14.9866,10.0953,0.0006,0.0057,35.9535,0.0000,56.1493,0.0000
95546,hold,14.9850,10.0975,-0.0001,-0.0011,35.9535,0.0000,56.1377,0.0000
96010,hold,14.9831,10.0957,-0.0007,-0.0066,35.9535,0.0000,56.1235,0.0000
96356,hold,14.9811,10.0951,0.0010,0.0100,35.9535,0.0000,56.1083,0.0000
96769,hold,14.9788,10.0953,-0.0004,-0.0036,35.9535,0.0000,56.0908,0.0000
97147,hold,14.9788,10.0970,-0.0000,-0.0003,35.9535,0.0000,56.0912,0.0000
97572,hold,14.9787,10.0964,-0.0004,-0.0040,35.9535,0.0000,56.0907,0.0000
97899,hold,14.9766,10.0964,-0.0002,-0.0019,35.9535,0.0000,56.0746,0.0000
98206,hold,14.9742,10.0964,-0.0000,-0.0005,35.9535,0.0000,56.0566,0.0000
98562,hold,14.9742,10.0967,0.0001,0.0010,35.9535,0.0000,56.0568,0.0000
99121,hold,14.9736,10.0984,0.0013,0.0133,35.9535,0.0000,56.0523,0.0000
99428,hold,14.9711,10.0970,-0.0017,-0.0176,35.9535,0.0000,56.0334,0.0000
100149,hold,14.9669,10.0982,-0.0006,-0.0058,35.9535,0.0000,56.0024,0.0000
100672,hold,14.9663,10.0951,0.0000,0.0001,35.9535,0.0000,55.9975,0.0000
101401,hold,14.9635,10.0960,0.0006,0.0061,35.9535,0.0000,55.9767,0.0000
101873,hold,14.9608,10.0973,0.0003,0.0031,35.9535,0.0000,55.9565,0.0000
102382,hold,14.9564,10.0958,0.0002,0.0024,35.9535,0.0000,55.9237,0.0000
102951,hold,14.9567,10.0983,0.0012,0.0122,35.9535,0.0000,55.9257,0.0000
103451,hold,14.9546,10.0956,-0.0004,-0.0042,35.9535,0.0000,55.9100,0.0000
103691,hold,14.9537,10.0940,0.0013,0.0131,35.9535,0.0000,55.9035,0.0000
