t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2322,charging,12.1314,10.0894,0.4979,5.0237,7.1417,0.0000,36.7928,0.5000
83,precharge,12.4133,10.0946,0.1325,1.3371,0.0000,0.0000,38.5228,-0.5000
393,precharge,11.9753,10.1005,-0.4892,-4.9411,0.0000,0.0000,35.8517,-0.5000
670,precharge,11.6659,10.1009,-0.5026,-5.0769,0.0000,0.0000,34.0234,-0.5000
1055,precharge,11.2440,10.1016,-0.5060,-5.1112,0.0000,0.0000,31.6069,-0.5000
1565,precharge,10.6598,10.1024,-0.4956,-5.0066,0.0000,0.0000,28.4080,-0.5000
1888,settle1,10.5424,10.0942,-0.0874,-0.8820,0.0000,0.0000,27.7855,0.0000
2614,charging,11.0638,10.0865,0.5000,5.0430,1.3696,0.0000,30.6021,0.5000
3111,charging,11.5693,10.0866,0.5008,5.0511,3.8753,0.0000,33.4623,0.5000
3586,charging,12.0149,10.0884,0.4969,5.0132,6.2640,0.0000,36.0897,0.5000
4083,charging,12.4443,10.0862,0.4983,5.0263,8.7731,0.0000,38.7149,0.5000
4887,charging,13.0822,10.0869,0.4989,5.0323,12.8243,0.0000,42.7861,0.5000
5177,charging,13.3026,10.0894,0.4993,5.0379,14.2804,0.0000,44.2398,0.5000
5482,charging,13.5237,10.0877,0.4997,5.0406,15.8192,0.0000,45.7228,0.5000
5935,charging,13.8309,10.0901,0.5021,5.0665,18.0988,0.0000,47.8236,0.5000
6718,charging,14.3214,10.0889,0.4971,5.0154,22.0363,0.0000,51.2754,0.5000
7215,charging,14.6117,10.0900,0.4979,5.0241,24.5348,0.0000,53.3753,0.5000
7520,charging,14.7388,10.0889,0.4893,4.9363,26.0454,0.0000,54.3079,0.5000
8065,charging,15.0290,10.0891,0.5006,5.0506,28.7879,0.0000,56.4679,0.5000
8428,charging,15.2046,10.0897,0.4971,5.0151,30.6105,0.0000,57.7946,0.5000
8977,charging,15.4657,10.0892,0.4999,5.0431,33.3708,0.0000,59.7967,0.5000
9552,settle2,15.6925,10.0919,0.4217,4.2558,36.0825,0.0000,61.5634,0.0000
9798,settle2,15.6459,10.0981,0.0450,0.4541,36.0825,0.0000,61.1982,0.0000
10079,discharging,15.5898,10.0991,-0.0930,-0.9395,36.0825,0.0186,60.7607,-0.5000
10341,discharging,15.3784,10.1026,-0.4879,-4.9287,36.0825,1.0506,59.1238,-0.5000
10793,discharging,15.0835,10.1025,-0.4973,-5.0243,36.0825,3.3325,56.8781,-0.5000
11083,discharging,14.9016,10.1048,-0.4973,-5.0256,36.0825,4.7855,55.5146,-0.5000
11570,discharging,14.6287,10.1021,-0.4915,-4.9647,36.0825,7.2110,53.4995,-0.5000
11853,discharging,14.4333,10.1022,-0.4961,-5.0121,36.0825,8.6304,52.0799,-0.5000
12332,discharging,14.0972,10.1026,-0.4931,-4.9818,36.0825,11.0290,49.6828,-0.5000
12673,discharging,13.8434,10.1012,-0.4997,-5.0481,36.0825,12.7466,47.9096,-0.5000
12958,discharging,13.6283,10.1018,-0.4985,-5.0357,36.0825,14.1716,46.4328,-0.5000
13225,discharging,13.4383,10.1042,-0.4937,-4.9883,36.0825,15.5168,45.1470,-0.5000
13560,discharging,13.1512,10.1032,-0.5012,-5.0642,36.0825,17.1994,43.2385,-0.5000
14111,discharging,12.6866,10.1011,-0.4973,-5.0233,36.0825,19.9701,40.2371,-0.5000
14865,discharging,12.0016,10.0999,-0.4997,-5.0470,36.0825,23.7684,36.0098,-0.5000
15661,discharging,11.2011,10.1022,-0.5128,-5.1801,36.0825,27.8139,31.3661,-0.5000
15950,discharging,10.8951,10.1014,-0.4703,-4.7504,36.0825,29.3364,29.6757,-0.5000
16265,discharging,10.5604,10.0998,-0.4823,-4.8707,36.0825,30.9313,27.8803,-0.5000
16759,settle3,10.5558,10.0941,-0.0114,-0.1150,36.0825,31.3824,27.8564,0.0000
17180,done,10.5818,10.0934,-0.0015,-0.0153,36.0825,31.3824,27.9939,0.0000
