t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
4039,charging,13.5696,10.0858,0.5005,5.0480,16.6575,0.0000,46.0333,0.5000
194,precharge,13.3336,10.1015,-0.3725,-3.7628,0.0000,0.0000,44.4461,-0.5000
485,precharge,13.0311,10.1024,-0.4984,-5.0353,0.0000,0.0000,42.4524,-0.5000
714,precharge,12.8241,10.1013,-0.4957,-5.0072,0.0000,0.0000,41.1147,-0.5000
1485,precharge,12.0917,10.1002,-0.5041,-5.0917,0.0000,0.0000,36.5523,-0.5000
1925,precharge,11.6482,10.1017,-0.5031,-5.0826,0.0000,0.0000,33.9203,-0.5000
2844,precharge,10.6305,10.0994,-0.4985,-5.0350,0.0000,0.0000,28.2520,-0.5000
3156,settle1,10.5176,10.0952,-0.1461,-1.4751,0.0000,0.0000,27.6552,0.0000
3584,charging,10.6349,10.0906,0.1375,1.3874,0.0208,0.0000,28.2754,0.5000
3878,charging,11.0552,10.0871,0.5005,5.0481,1.2872,0.0000,30.5545,0.5000
4187,charging,11.3713,10.0884,0.5000,5.0440,2.8390,0.0000,32.3269,0.5000
4590,charging,11.7712,10.0883,0.5003,5.0473,4.8703,0.0000,34.6405,0.5000
4872,charging,12.0329,10.0879,0.5020,5.0640,6.2913,0.0000,36.1977,0.5000
5602,charging,12.6625,10.0874,0.4997,5.0409,9.9729,0.0000,40.0847,0.5000
6355,charging,13.2453,10.0875,0.4989,5.0330,13.7603,0.0000,43.8594,0.5000
6965,charging,13.6763,10.0854,0.5024,5.0670,16.8302,0.0000,46.7603,0.5000
8173,charging,14.4297,10.0886,0.4963,5.0070,22.9012,0.0000,52.0539,0.5000
8934,charging,14.8244,10.0869,0.4989,5.0324,26.7086,0.0000,54.9406,0.5000
10456,charging,15.5639,10.0908,0.4937,4.9816,34.3616,0.0000,60.5587,0.5000
11497,discharging,15.4128,10.1037,-0.4717,-4.7661,35.9783,0.5932,59.3888,-0.5000
12042,discharging,15.0710,10.1021,-0.4999,-5.0498,35.9783,3.3132,56.7839,-0.5000
12750,discharging,14.6526,10.1035,-0.4987,-5.0387,35.9783,6.8512,53.6746,-0.5000
13232,discharging,14.3320,10.1033,-0.4966,-5.0170,35.9783,9.2663,51.3517,-0.5000
13631,discharging,14.0459,10.1013,-0.4969,-5.0192,35.9783,11.2658,49.3216,-0.5000
13867,discharging,13.8719,10.1039,-0.4969,-5.0206,35.9783,12.4559,48.1071,-0.5000
14189,discharging,13.6402,10.1028,-0.4988,-5.0397,35.9783,14.0608,46.5138,-0.5000
14430,discharging,13.4440,10.1031,-0.4988,-5.0392,35.9783,15.2757,45.1852,-0.5000
14991,discharging,12.9902,10.1031,-0.4981,-5.0318,35.9783,18.0998,42.1861,-0.5000
16601,discharging,11.5099,10.1032,-0.5053,-5.1050,35.9783,26.2187,33.1194,-0.5000
17115,discharging,10.9570,10.1037,-0.5240,-5.2940,35.9783,28.8752,30.0138,-0.5000
17472,discharging,10.5889,10.0990,-0.4819,-4.8664,35.9783,30.7240,28.0311,-0.5000
17818,settle3,10.5481,10.0938,-0.0447,-0.4516,35.9783,31.2743,27.8158,0.0000
18094,done,10.5705,10.0931,-0.0087,-0.0879,35.9783,31.2743,27.9337,0.0000
