t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
5837,charging,11.2470,10.0899,0.4001,4.0365,2.2738,0.0000,31.6237,0.4000
1002,precharge,10.5064,10.1007,-0.3680,-3.7170,0.0000,0.0000,27.5961,-0.4000
1688,charging,10.7395,10.0886,0.3318,3.3472,0.2086,0.0000,28.8343,0.4000
2004,charging,11.0368,10.0892,0.3980,4.0153,1.4376,0.0000,30.4527,0.4000
2250,charging,11.2500,10.0901,0.4013,4.0489,2.4261,0.0000,31.6407,0.4000
2634,charging,11.5569,10.0876,0.3971,4.0060,3.9732,0.0000,33.3902,0.4000
2905,charging,11.7624,10.0897,0.3974,4.0099,5.0686,0.0000,34.5886,0.4000
3137,charging,11.9350,10.0904,0.3993,4.0287,5.9926,0.0000,35.6109,0.4000
3689,charging,12.3283,10.0905,0.4033,4.0697,8.2253,0.0000,37.9969,0.4000
3994,charging,12.5311,10.0893,0.3982,4.0173,9.4589,0.0000,39.2568,0.4000
4338,charging,12.7556,10.0916,0.4002,4.0387,10.8397,0.0000,40.6764,0.4000
4847,charging,13.0686,10.0924,0.3990,4.0273,12.8901,0.0000,42.6972,0.4000
5595,charging,13.4966,10.0919,0.3957,3.9934,15.9019,0.0000,45.5393,0.4000
6381,charging,13.9198,10.0902,0.3988,4.0238,19.0702,0.0000,48.4403,0.4000
6852,charging,14.1506,10.0925,0.3960,3.9970,20.9652,0.0000,50.0596,0.4000
7398,charging,14.4153,10.0904,0.3996,4.0319,23.1627,0.0000,51.9504,0.4000
7688,charging,14.5478,10.0910,0.3993,4.0294,24.3282,0.0000,52.9094,0.4000
7935,charging,14.6540,10.0895,0.3977,4.0129,25.3123,0.0000,53.6853,0.4000
8397,charging,14.8128,10.0920,0.3978,4.0142,27.1595,0.0000,54.8548,0.4000
8907,charging,15.0148,10.0930,0.3967,4.0034,29.2051,0.0000,56.3610,0.4000
9370,charging,15.1984,10.0912,0.3955,3.9912,31.0744,0.0000,57.7480,0.4000
9709,charging,15.3243,10.0917,0.3976,4.0129,32.4290,0.0000,58.7085,0.4000
10233,charging,15.5096,10.0917,0.4003,4.0400,34.5398,0.0000,60.1368,0.4000
10588,charging,15.6260,10.0923,0.3996,4.0326,35.9611,0.0000,61.0428,0.4000
10996,settle2,15.6721,10.0950,0.1408,1.4210,36.9025,0.0000,61.4038,0.0000
11336,discharging,15.6276,10.0983,0.0007,0.0071,36.9025,-0.0003,61.0553,-0.4000
11623,discharging,15.4411,10.1018,-0.3906,-3.9457,36.9025,0.6725,59.6066,-0.4000
11947,discharging,15.2861,10.1016,-0.3970,-4.0105,36.9025,1.9635,58.4160,-0.4000
12503,discharging,15.0090,10.1039,-0.3946,-3.9872,36.9025,4.1986,56.3179,-0.4000
12738,discharging,14.8971,10.1011,-0.3960,-4.0005,36.9025,5.1370,55.4808,-0.4000
13057,discharging,14.7413,10.1029,-0.3957,-3.9976,36.9025,6.4224,54.3266,-0.4000
13342,discharging,14.6231,10.1020,-0.3969,-4.0094,36.9025,7.5466,53.4585,-0.4000
13795,discharging,14.3837,10.1016,-0.4009,-4.0494,36.9025,9.3653,51.7228,-0.4000
14164,discharging,14.1896,10.1022,-0.3965,-4.0050,36.9025,10.8496,50.3364,-0.4000
14502,discharging,13.9927,10.1020,-0.3952,-3.9928,36.9025,12.2047,48.9488,-0.4000
15322,discharging,13.5134,10.1011,-0.4008,-4.0485,36.9025,15.5022,45.6528,-0.4000
15849,discharging,13.1862,10.1004,-0.3992,-4.0321,36.9025,17.6180,43.4691,-0.4000
16333,discharging,12.8732,10.1015,-0.3998,-4.0387,36.9025,19.5686,41.4300,-0.4000
16620,discharging,12.6826,10.1010,-0.3990,-4.0299,36.9025,20.7216,40.2120,-0.4000
16946,discharging,12.4702,10.1022,-0.3992,-4.0324,36.9025,22.0349,38.8768,-0.4000
17240,discharging,12.2530,10.1011,-0.3989,-4.0297,36.9025,23.2189,37.5338,-0.4000
17537,discharging,12.0349,10.1019,-0.4007,-4.0476,36.9025,24.4194,36.2099,-0.4000
17853,discharging,11.8128,10.1000,-0.4017,-4.0567,36.9025,25.6807,34.8856,-0.4000
18157,discharging,11.5655,10.1008,-0.4058,-4.0988,36.9025,26.9245,33.4399,-0.4000
18494,discharging,11.2969,10.0996,-0.4025,-4.0649,36.9025,28.3056,31.9050,-0.4000
19707,settle3,10.5471,10.0946,-0.0378,-0.3816,36.9025,32.3017,27.8104,0.0000
20031,done,10.5735,10.0954,-0.0063,-0.0634,36.9025,32.3017,27.9500,0.0000
