t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
752,precharge,10.5274,10.0947,-0.1882,-1.9002,0.0000,0.0000,27.7065,-0.2000
495,settle1,10.5048,10.0938,-0.0111,-0.1116,0.0000,0.0000,27.5876,0.0000
767,charging,10.5872,10.0923,0.1703,1.7187,0.1888,0.0000,28.0220,0.2000
1134,charging,10.7627,10.0915,0.2009,2.0279,0.9095,0.0000,28.9588,0.2000
1784,charging,11.0513,10.0915,0.1989,2.0068,2.2186,0.0000,30.5328,0.2000
2516,charging,11.3605,10.0917,0.2019,2.0379,3.6907,0.0000,32.2651,0.2000
3135,charging,11.6029,10.0926,0.1994,2.0125,4.9391,0.0000,33.6570,0.2000
3488,charging,11.7444,10.0908,0.2004,2.0218,5.6495,0.0000,34.4826,0.2000
3775,charging,11.8476,10.0919,0.1975,1.9931,6.2219,0.0000,35.0915,0.2000
4838,charging,12.2429,10.0924,0.1978,1.9967,8.3656,0.0000,37.4719,0.2000
5320,charging,12.4119,10.0896,0.2002,2.0197,9.3370,0.0000,38.5138,0.2000
5828,charging,12.5856,10.0932,0.1982,2.0008,10.3562,0.0000,39.5992,0.2000
6239,charging,12.7233,10.0915,0.2024,2.0420,11.1856,0.0000,40.4705,0.2000
6497,charging,12.8098,10.0945,0.1993,2.0117,11.7063,0.0000,41.0225,0.2000
6899,charging,12.9368,10.0956,0.2021,2.0403,12.5131,0.0000,41.8403,0.2000
7154,charging,13.0166,10.0933,0.1961,1.9794,13.0297,0.0000,42.3578,0.2000
7472,charging,13.1181,10.0930,0.2009,2.0278,13.6674,0.0000,43.0211,0.2000
7912,charging,13.2566,10.0940,0.1987,2.0059,14.5542,0.0000,43.9343,0.2000
8276,charging,13.3629,10.0953,0.1993,2.0121,15.2863,0.0000,44.6417,0.2000
8581,charging,13.4539,10.0924,0.1979,1.9977,15.9016,0.0000,45.2519,0.2000
8861,charging,13.5360,10.0938,0.2008,2.0271,16.4650,0.0000,45.8057,0.2000
9329,charging,13.6678,10.0936,0.1974,1.9929,17.4021,0.0000,46.7020,0.2000
9587,charging,13.7379,10.0928,0.1964,1.9825,17.9234,0.0000,47.1822,0.2000
9925,charging,13.8326,10.0932,0.1980,1.9981,18.6037,0.0000,47.8353,0.2000
10450,charging,13.9777,10.0928,0.2007,2.0260,19.6612,0.0000,48.8437,0.2000
10954,charging,14.1112,10.0951,0.2012,2.0307,20.6743,0.0000,49.7816,0.2000
11486,charging,14.2486,10.0957,0.2002,2.0208,21.7425,0.0000,50.7559,0.2000
12277,charging,14.4459,10.0932,0.1996,2.0150,23.3338,0.0000,52.1710,0.2000
12756,charging,14.5593,10.0931,0.1999,2.0181,24.2927,0.0000,52.9933,0.2000
13083,charging,14.6361,10.0920,0.1988,2.0064,24.9474,0.0000,53.5538,0.2000
13395,charging,14.7105,10.0944,0.1989,2.0082,25.5778,0.0000,54.0997,0.2000
13673,charging,14.7351,10.0937,0.1921,1.9386,26.1213,0.0000,54.2811,0.2000
14037,charging,14.8161,10.0939,0.1992,2.0109,26.8505,0.0000,54.8788,0.2000
14285,charging,14.8694,10.0944,0.2005,2.0240,27.3460,0.0000,55.2745,0.2000
14657,charging,14.9516,10.0956,0.2019,2.0387,28.0929,0.0000,55.8879,0.2000
14928,charging,15.0031,10.0925,0.1953,1.9706,28.6390,0.0000,56.2730,0.2000
15238,charging,15.0720,10.0943,0.1983,2.0014,29.2614,0.0000,56.7912,0.2000
15534,charging,15.1327,10.0932,0.1997,2.0157,29.8586,0.0000,57.2496,0.2000
15818,charging,15.1882,10.0939,0.2005,2.0234,30.4305,0.0000,57.6701,0.2000
16174,charging,15.2625,10.0943,0.1997,2.0163,31.1455,0.0000,58.2356,0.2000
16490,charging,15.3251,10.0932,0.2008,2.0269,31.7784,0.0000,58.7146,0.2000
17392,charging,15.4937,10.0943,0.1978,1.9969,33.5897,0.0000,60.0138,0.2000
18131,charging,15.6255,10.0936,0.1983,2.0015,35.0753,0.0000,61.0391,0.2000
18548,charging,15.6995,10.0942,0.1995,2.0134,35.9139,0.0000,61.6187,0.2000
18817,settle2,15.7072,10.0965,0.0725,0.7324,35.9260,0.0000,61.6788,0.0000
19123,hold,15.6862,10.0961,0.0007,0.0074,35.9260,0.0000,61.5144,0.0000
19479,hold,15.6712,10.0964,0.0003,0.0033,35.9260,0.0000,61.3967,0.0000
19753,hold,15.6649,10.0953,-0.0009,-0.0094,35.9260,0.0000,61.3473,0.0000
20168,hold,15.6556,10.0971,0.0005,0.0047,35.9260,0.0000,61.2743,0.0000
20583,hold,15.6400,10.0982,0.0005,0.0055,35.9260,0.0000,61.1525,0.0000
20979,hold,15.6332,10.0967,-0.0003,-0.0027,35.9260,0.0000,61.0991,0.0000
21383,hold,15.6202,10.0977,-0.0002,-0.0017,35.9260,0.0000,60.9980,0.0000
22004,hold,15.6056,10.0964,-0.0008,-0.0079,35.9260,0.0000,60.8838,0.0000
22251,hold,15.6005,10.0957,0.0004,0.0037,35.9260,0.0000,60.8441,0.0000
22558,hold,15.5940,10.0972,0.0004,0.0036,35.9260,0.0000,60.7934,0.0000
22844,hold,15.5878,10.0973,0.0013,0.0132,35.9260,0.0000,60.7445,0.0000
23249,hold,15.5794,10.0957,0.0001,0.0008,35.9260,0.0000,60.6794,0.0000
23670,hold,15.5689,10.0980,0.0012,0.0122,35.9260,0.0000,60.5979,0.0000
24287,hold,15.5581,10.0966,0.0009,0.0093,35.9260,0.0000,60.5135,0.0000
24693,hold,15.5501,10.0959,-0.0011,-0.0110,35.9260,0.0000,60.4515,0.0000
25037,hold,15.5442,10.0967,0.0005,0.0050,35.9260,0.0000,60.4055,0.0000
25387,hold,15.5363,10.0977,-0.0004,-0.0045,35.9260,0.0000,60.3445,0.0000
25838,hold,15.5307,10.0960,0.0014,0.0139,35.9260,0.0000,60.3003,0.0000
26360,hold,15.5188,10.0963,-0.0006,-0.0060,35.9260,0.0000,60.2087,0.0000
27360,hold,15.5037,10.0959,0.0016,0.0159,35.9260,0.0000,60.0915,0.0000
28142,hold,15.4899,10.0982,-0.0008,-0.0082,35.9260,0.0000,59.9841,0.0000
28393,hold,15.4861,10.0970,0.0001,0.0010,35.9260,0.0000,59.9545,0.0000
28896,hold,15.4791,10.0967,0.0012,0.0123,35.9260,0.0000,59.9007,0.0000
29255,hold,15.4718,10.0955,0.0006,0.0059,35.9260,0.0000,59.8444,0.0000
29608,hold,15.4698,10.0976,0.0001,0.0007,35.9260,0.0000,59.8289,0.0000
30165,hold,15.4628,10.0973,-0.0011,-0.0114,35.9260,0.0000,59.7746,0.0000
30516,hold,15.4553,10.0976,0.0013,0.0127,35.9260,0.0000,59.7168,0.0000
30803,hold,15.4526,10.0970,0.0004,0.0045,35.9260,0.0000,59.6954,0.0000
31102,hold,15.4486,10.0981,-0.0008,-0.0079,35.9260,0.0000,59.6648,0.0000
31405,hold,15.4436,10.0969,-0.0014,-0.0140,35.9260,0.0000,59.6259,0.0000
32245,hold,15.4335,10.0960,0.0007,0.0075,35.9260,0.0000,59.5483,0.0000
32547,hold,15.4308,10.0958,0.0017,0.0176,35.9260,0.0000,59.5276,0.0000
32993,hold,15.4221,10.0962,-0.0005,-0.0049,35.9260,0.0000,59.4604,0.0000
33348,hold,15.4171,10.0974,-0.0002,-0.0016,35.9260,0.0000,59.4219,0.0000
33669,hold,15.4138,10.0967,0.0007,0.0067,35.9260,0.0000,59.3960,0.0000
33990,hold,15.4114,10.0954,0.0002,0.0022,35.9260,0.0000,59.3775,0.0000
34517,hold,15.4019,10.0981,0.0008,0.0085,35.9260,0.0000,59.3048,0.0000
34827,hold,15.4002,10.0974,-0.0007,-0.0066,35.9260,0.0000,59.2915,0.0000
35138,hold,15.3943,10.0975,-0.0014,-0.0142,35.9260,0.0000,59.2460,0.0000
35556,hold,15.3910,10.0991,-0.0002,-0.0018,35.9260,0.0000,59.2211,0.0000
35826,hold,15.3874,10.0973,0.0002,0.0020,35.9260,0.0000,59.1929,0.0000
36193,hold,15.3824,10.0982,0.0009,0.0087,35.9260,0.0000,59.1544,0.0000
36607,hold,15.3766,10.0933,0.0000,0.0001,35.9260,0.0000,59.1099,0.0000
37111,hold,15.3729,10.0966,0.0014,0.0144,35.9260,0.0000,59.0815,0.0000
37422,hold,15.3697,10.0980,-0.0004,-0.0041,35.9260,0.0000,59.0568,0.0000
37704,hold,15.3686,10.0977,0.0002,0.0025,35.9260,0.0000,59.0485,0.0000
38124,hold,15.3611,10.0975,-0.0008,-0.0080,35.9260,0.0000,58.9905,0.0000
38366,hold,15.3615,10.0972,-0.0007,-0.0073,35.9260,0.0000,58.9936,0.0000
38877,hold,15.3545,10.0974,0.0009,0.0090,35.9260,0.0000,58.9402,0.0000
39173,hold,15.3530,10.0984,0.0015,0.0156,35.9260,0.0000,58.9283,0.0000
39486,hold,15.3491,10.0976,0.0001,0.0009,35.9260,0.0000,58.8990,0.0000
39764,hold,15.3452,10.0967,-0.0008,-0.0083,35.9260,0.0000,58.8690,0.0000
40233,hold,15.3400,10.0958,0.0003,0.0031,35.9260,0.0000,58.8291,0.0000
40535,hold,15.3369,10.0952,0.0003,0.0031,35.9260,0.0000,58.8048,0.0000
40881,hold,15.3330,10.0962,-0.0007,-0.0070,35.9260,0.0000,58.7750,0.0000
41352,hold,15.3279,10.0978,0.0009,0.0096,35.9260,0.0000,58.7361,0.0000
41975,hold,15.3233,10.0976,0.0000,0.0004,35.9260,0.0000,58.7006,0.0000
42222,hold,15.3204,10.0958,-0.0007,-0.0067,35.9260,0.0000,58.6784,0.0000
42648,hold,15.3160,10.0963,-0.0004,-0.0038,35.9260,0.0000,58.6447,0.0000
43218,hold,15.3107,10.0960,0.0008,0.0078,35.9260,0.0000,58.6042,0.0000
43734,hold,15.3054,10.0972,-0.0013,-0.0127,35.9260,0.0000,58.5638,0.0000
44236,hold,15.3005,10.0961,-0.0004,-0.0044,35.9260,0.0000,58.5267,0.0000
44647,hold,15.2948,10.0965,-0.0010,-0.0102,35.9260,0.0000,58.4829,0.0000
44923,hold,15.2934,10.0950,-0.0004,-0.0038,35.9260,0.0000,58.4718,0.0000
45221,hold,15.2915,10.0964,0.0005,0.0053,35.9260,0.0000,58.4576,0.0000
45535,hold,15.2882,10.0967,0.0010,0.0101,35.9260,0.0000,58.4324,0.0000
46040,hold,15.2838,10.0964,-0.0008,-0.0078,35.9260,0.0000,58.3986,0.0000
