t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
4444,charging,14.5215,10.0886,0.5965,6.0180,23.2325,0.0000,52.7182,0.6000
469,precharge,14.1428,10.1061,-0.5958,-6.0215,0.0000,0.0000,50.0045,-0.6000
764,precharge,13.8697,10.1028,-0.5940,-6.0011,0.0000,0.0000,48.0919,-0.6000
1258,precharge,13.3925,10.1018,-0.5940,-6.0008,0.0000,0.0000,44.8395,-0.6000
1551,precharge,13.0988,10.1049,-0.5975,-6.0373,0.0000,0.0000,42.8945,-0.6000
1784,precharge,12.8534,10.1034,-0.5989,-6.0506,0.0000,0.0000,41.3026,-0.6000
2092,precharge,12.5185,10.1055,-0.5974,-6.0368,0.0000,0.0000,39.1781,-0.6000
2372,precharge,12.2056,10.1055,-0.5977,-6.0399,0.0000,0.0000,37.2443,-0.6000
2639,precharge,11.9169,10.1047,-0.5970,-6.0325,0.0000,0.0000,35.5032,-0.6000
3125,precharge,11.2871,10.1034,-0.6074,-6.1363,0.0000,0.0000,31.8497,-0.6000
3411,precharge,10.8924,10.1041,-0.6364,-6.4304,0.0000,0.0000,29.6612,-0.6000
3664,precharge,10.5880,10.1033,-0.5779,-5.8391,0.0000,0.0000,28.0267,-0.6000
4056,settle1,10.5583,10.0941,-0.0260,-0.2625,0.0000,0.0000,27.8696,0.0000
4289,charging,10.5798,10.0937,-0.0023,-0.0228,-0.0015,0.0000,27.9832,0.6000
5054,charging,11.6762,10.0868,0.5967,6.0185,4.0508,0.0000,34.0832,0.6000
5354,charging,12.0178,10.0870,0.5993,6.0448,5.8709,0.0000,36.1068,0.6000
5623,charging,12.2875,10.0869,0.5958,6.0101,7.4737,0.0000,37.7458,0.6000
5981,charging,12.6782,10.0871,0.6019,6.0711,9.6558,0.0000,40.1840,0.6000
6322,charging,13.0053,10.0867,0.5963,6.0152,11.7107,0.0000,42.2847,0.6000
6708,charging,13.3545,10.0878,0.5977,6.0292,14.0532,0.0000,44.5859,0.6000
6994,charging,13.6082,10.0880,0.5985,6.0378,15.7750,0.0000,46.2955,0.6000
7281,charging,13.8467,10.0869,0.5984,6.0364,17.5069,0.0000,47.9325,0.6000
7714,charging,14.1815,10.0885,0.5987,6.0398,20.1268,0.0000,50.2786,0.6000
8220,charging,14.5530,10.0880,0.5956,6.0080,23.1791,0.0000,52.9471,0.6000
8558,charging,14.7521,10.0893,0.5906,5.9590,25.2068,0.0000,54.4064,0.6000
8882,charging,14.9555,10.0891,0.5973,6.0266,27.1508,0.0000,55.9169,0.6000
9389,charging,15.2714,10.0865,0.6019,6.0709,30.2130,0.0000,58.3039,0.6000
10039,charging,15.6332,10.0899,0.5971,6.0243,34.1317,0.0000,61.0990,0.6000
10281,settle2,15.6635,10.0953,0.2298,2.3199,34.9566,0.0000,61.3359,0.0000
10757,discharging,15.5315,10.1006,-0.2350,-2.3735,34.9566,0.0534,60.3071,-0.6000
11110,discharging,15.2188,10.1047,-0.5963,-6.0251,34.9566,1.9711,57.9026,-0.6000
11402,discharging,14.9979,10.1054,-0.5969,-6.0315,34.9566,3.7297,56.2343,-0.6000
11691,discharging,14.7908,10.1055,-0.5915,-5.9776,34.9566,5.4723,54.6917,-0.6000
12040,discharging,14.5363,10.1063,-0.5976,-6.0391,34.9566,7.5550,52.8263,-0.6000
12554,discharging,14.1029,10.1050,-0.5969,-6.0315,34.9566,10.6444,49.7229,-0.6000
13096,discharging,13.6167,10.1041,-0.5940,-6.0017,34.9566,13.9140,46.3537,-0.6000
13443,discharging,13.2844,10.1042,-0.5963,-6.0254,34.9566,16.0055,44.1185,-0.6000
13776,discharging,12.9559,10.1033,-0.5959,-6.0211,34.9566,18.0050,41.9636,-0.6000
14011,discharging,12.7071,10.1042,-0.5969,-6.0308,34.9566,19.4228,40.3678,-0.6000
14575,discharging,12.0858,10.1028,-0.5989,-6.0501,34.9566,22.8381,36.5168,-0.6000
15409,discharging,11.0568,10.1035,-0.6223,-6.2872,34.9566,27.9420,30.5630,-0.6000
16165,settle3,10.5864,10.0944,-0.0241,-0.2437,34.9566,30.6842,28.0179,0.0000
16662,done,10.6250,10.0947,-0.0018,-0.0180,34.9566,30.6842,28.2226,0.0000
