t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
1220,settle1,10.5035,10.0967,-0.0744,-0.7508,0.0000,0.0000,27.5807,0.0000
501,charging,10.5050,10.0956,-0.0116,-0.1171,0.0000,0.0000,27.5888,0.0000
743,charging,10.5792,10.0925,0.1748,1.7643,0.1655,0.0000,27.9800,0.2000
1265,charging,10.8254,10.0916,0.2007,2.0252,1.2017,0.0000,29.2975,0.2000
1568,charging,10.9622,10.0912,0.2010,2.0283,1.8116,0.0000,30.0424,0.2000
2048,charging,11.1658,10.0915,0.1992,2.0107,2.7762,0.0000,31.1688,0.2000
2788,charging,11.4733,10.0930,0.2020,2.0383,4.2662,0.0000,32.9094,0.2000
3529,charging,11.7584,10.0930,0.1973,1.9916,5.7592,0.0000,34.5648,0.2000
3882,charging,11.8949,10.0942,0.2009,2.0282,6.4711,0.0000,35.3719,0.2000
4294,charging,12.0458,10.0950,0.1972,1.9911,7.2994,0.0000,36.2756,0.2000
4655,charging,12.1782,10.0922,0.1985,2.0031,8.0250,0.0000,37.0772,0.2000
5020,charging,12.3075,10.0922,0.2005,2.0236,8.7614,0.0000,37.8684,0.2000
5292,charging,12.4017,10.0930,0.2010,2.0289,9.3092,0.0000,38.4503,0.2000
5657,charging,12.5301,10.0930,0.2012,2.0305,10.0418,0.0000,39.2509,0.2000
5957,charging,12.6298,10.0932,0.1984,2.0022,10.6462,0.0000,39.8779,0.2000
6244,charging,12.7235,10.0945,0.2011,2.0304,11.2261,0.0000,40.4718,0.2000
6615,charging,12.8475,10.0945,0.1975,1.9938,11.9733,0.0000,41.2646,0.2000
7151,charging,13.0186,10.0926,0.2016,2.0343,13.0501,0.0000,42.3713,0.2000
7888,charging,13.2479,10.0935,0.1996,2.0146,14.5362,0.0000,43.8764,0.2000
8390,charging,13.3934,10.0929,0.1979,1.9977,15.5427,0.0000,44.8456,0.2000
9089,charging,13.6030,10.0942,0.2012,2.0306,16.9498,0.0000,46.2604,0.2000
9713,charging,13.7777,10.0933,0.1996,2.0146,18.2049,0.0000,47.4566,0.2000
10436,charging,13.9750,10.0955,0.1982,2.0007,19.6601,0.0000,48.8253,0.2000
11250,charging,14.1869,10.0949,0.1977,1.9953,21.2965,0.0000,50.3168,0.2000
11992,charging,14.3792,10.0949,0.1995,2.0144,22.7919,0.0000,51.6906,0.2000
12739,charging,14.5613,10.0941,0.1990,2.0084,24.2911,0.0000,53.0077,0.2000
13359,charging,14.7022,10.0946,0.2007,2.0261,25.5340,0.0000,54.0389,0.2000
14063,charging,14.8260,10.0954,0.1983,2.0024,26.9370,0.0000,54.9529,0.2000
14311,charging,14.8813,10.0938,0.1995,2.0137,27.4333,0.0000,55.3636,0.2000
14814,charging,14.9899,10.0940,0.1969,1.9874,28.4450,0.0000,56.1739,0.2000
15082,charging,15.0444,10.0958,0.1979,1.9979,28.9833,0.0000,56.5834,0.2000
15568,charging,15.1468,10.0968,0.2005,2.0242,29.9585,0.0000,57.3562,0.2000
16104,charging,15.2549,10.0957,0.1993,2.0121,31.0379,0.0000,58.1784,0.2000
16481,charging,15.3288,10.0956,0.2010,2.0297,31.7929,0.0000,58.7430,0.2000
17616,charging,15.5397,10.0963,0.1978,1.9970,34.0741,0.0000,60.3703,0.2000
18408,charging,15.6787,10.0944,0.1957,1.9759,35.6642,0.0000,61.4555,0.2000
18933,settle2,15.6869,10.0978,0.0041,0.0414,35.9180,0.0000,61.5196,0.0000
21473,hold,15.6126,10.0975,-0.0011,-0.0109,35.9180,0.0000,60.9383,0.0000
21998,hold,15.5986,10.0982,-0.0003,-0.0027,35.9180,0.0000,60.8292,0.0000
22729,hold,15.5809,10.0986,-0.0000,-0.0002,35.9180,0.0000,60.6908,0.0000
23503,hold,15.5668,10.0970,0.0011,0.0114,35.9180,0.0000,60.5815,0.0000
24025,hold,15.5575,10.0971,0.0004,0.0035,35.9180,0.0000,60.5090,0.0000
24566,hold,15.5441,10.0960,0.0013,0.0132,35.9180,0.0000,60.4046,0.0000
25039,hold,15.5351,10.0981,-0.0016,-0.0166,35.9180,0.0000,60.3349,0.0000
25591,hold,15.5245,10.0952,-0.0002,-0.0017,35.9180,0.0000,60.2528,0.0000
26315,hold,15.5133,10.0975,0.0004,0.0036,35.9180,0.0000,60.1654,0.0000
26622,hold,15.5080,10.0989,0.0006,0.0060,35.9180,0.0000,60.1245,0.0000
26975,hold,15.5017,10.0981,-0.0015,-0.0154,35.9180,0.0000,60.0753,0.0000
27598,hold,15.4910,10.0970,-0.0004,-0.0036,35.9180,0.0000,59.9930,0.0000
27908,hold,15.4864,10.0987,-0.0000,-0.0003,35.9180,0.0000,59.9569,0.0000
28173,hold,15.4820,10.0967,-0.0008,-0.0082,35.9180,0.0000,59.9233,0.0000
28652,hold,15.4749,10.0979,-0.0002,-0.0024,35.9180,0.0000,59.8679,0.0000
29128,hold,15.4689,10.0974,-0.0001,-0.0012,35.9180,0.0000,59.8220,0.0000
29686,hold,15.4599,10.0973,0.0003,0.0034,35.9180,0.0000,59.7523,0.0000
30405,hold,15.4498,10.0998,-0.0005,-0.0047,35.9180,0.0000,59.6738,0.0000
30915,hold,15.4442,10.0985,-0.0005,-0.0050,35.9180,0.0000,59.6305,0.0000
31242,hold,15.4384,10.0978,0.0008,0.0081,35.9180,0.0000,59.5857,0.0000
31557,hold,15.4341,10.0977,0.0010,0.0098,35.9180,0.0000,59.5527,0.0000
31967,hold,15.4293,10.0970,-0.0003,-0.0030,35.9180,0.0000,59.5157,0.0000
32753,hold,15.4178,10.0977,-0.0006,-0.0056,35.9180,0.0000,59.4270,0.0000
33482,hold,15.4071,10.0984,-0.0002,-0.0023,35.9180,0.0000,59.3450,0.0000
33840,hold,15.4040,10.0981,0.0008,0.0076,35.9180,0.0000,59.3212,0.0000
34126,hold,15.4001,10.0968,-0.0010,-0.0097,35.9180,0.0000,59.2908,0.0000
34533,hold,15.3954,10.0972,-0.0009,-0.0086,35.9180,0.0000,59.2546,0.0000
34785,hold,15.3924,10.0965,0.0002,0.0020,35.9180,0.0000,59.2312,0.0000
35288,hold,15.3867,10.0978,0.0001,0.0008,35.9180,0.0000,59.1875,0.0000
35595,hold,15.3817,10.0964,0.0000,0.0003,35.9180,0.0000,59.1489,0.0000
36060,hold,15.3752,10.0955,-0.0011,-0.0111,35.9180,0.0000,59.0990,0.0000
36455,hold,15.3719,10.0987,0.0004,0.0038,35.9180,0.0000,59.0741,0.0000
36806,hold,15.3681,10.0977,-0.0003,-0.0028,35.9180,0.0000,59.0446,0.0000
37309,hold,15.3625,10.0997,-0.0008,-0.0081,35.9180,0.0000,59.0012,0.0000
38002,hold,15.3570,10.0958,0.0016,0.0161,35.9180,0.0000,58.9595,0.0000
38335,hold,15.3502,10.0959,0.0006,0.0058,35.9180,0.0000,58.9068,0.0000
38752,hold,15.3455,10.0956,-0.0006,-0.0065,35.9180,0.0000,58.8714,0.0000
39147,hold,15.3397,10.0976,-0.0006,-0.0059,35.9180,0.0000,58.8264,0.0000
39448,hold,15.3375,10.0963,-0.0022,-0.0217,35.9180,0.0000,58.8095,0.0000
39746,hold,15.3348,10.0964,-0.0003,-0.0026,35.9180,0.0000,58.7887,0.0000
40028,hold,15.3336,10.0978,-0.0003,-0.0029,35.9180,0.0000,58.7800,0.0000
40666,hold,15.3281,10.0975,0.0005,0.0055,35.9180,0.0000,58.7380,0.0000
41193,hold,15.3207,10.0958,0.0010,0.0105,35.9180,0.0000,58.6806,0.0000
41519,hold,15.3192,10.0981,0.0012,0.0125,35.9180,0.0000,58.6696,0.0000
42428,hold,15.3077,10.0957,-0.0002,-0.0022,35.9180,0.0000,58.5813,0.0000
43214,hold,15.3010,10.0972,-0.0016,-0.0162,35.9180,0.0000,58.5304,0.0000
43991,hold,15.2956,10.0959,0.0003,0.0032,35.9180,0.0000,58.4888,0.0000
46087,hold,15.2759,10.0963,0.0009,0.0086,35.9180,0.0000,58.3385,0.0000
46418,hold,15.2731,10.0979,-0.0002,-0.0018,35.9180,0.0000,58.3168,0.0000
46726,hold,15.2682,10.0988,-0.0005,-0.0055,35.9180,0.0000,58.2795,0.0000
47458,hold,15.2623,10.0962,-0.0007,-0.0069,35.9180,0.0000,58.2344,0.0000
47759,hold,15.2610,10.0984,0.0001,0.0010,35.9180,0.0000,58.2248,0.0000
48095,hold,15.2604,10.0965,0.0009,0.0092,35.9180,0.0000,58.2198,0.0000
48452,hold,15.2541,10.0995,-0.0013,-0.0135,35.9180,0.0000,58.1720,0.0000
48868,hold,15.2486,10.0976,-0.0008,-0.0080,35.9180,0.0000,58.1298,0.0000
49255,hold,15.2461,10.0972,-0.0007,-0.0068,35.9180,0.0000,58.1110,0.0000
49558,hold,15.2422,10.0974,-0.0008,-0.0076,35.9180,0.0000,58.0809,0.0000
49855,hold,15.2420,10.0986,-0.0007,-0.0069,35.9180,0.0000,58.0795,0.0000
50195,hold,15.2388,10.0996,0.0009,0.0088,35.9180,0.0000,58.0556,0.0000
50773,hold,15.2351,10.0982,0.0016,0.0161,35.9180,0.0000,58.0269,0.0000
51301,hold,15.2299,10.0971,-0.0006,-0.0058,35.9180,0.0000,57.9877,0.0000
51830,hold,15.2284,10.0971,-0.0002,-0.0017,35.9180,0.0000,57.9762,0.0000
52563,hold,15.2199,10.0968,0.0012,0.0120,35.9180,0.0000,57.9116,0.0000
53343,hold,15.2145,10.0981,0.0020,0.0200,35.9180,0.0000,57.8702,0.0000
