t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
5066,charging,12.1337,10.0921,0.1983,2.0013,7.7147,0.0000,36.8067,0.2000
234,precharge,12.1855,10.0959,-0.0671,-0.6774,0.0000,0.0000,37.1215,-0.2000
722,precharge,11.9565,10.0999,-0.2004,-2.0244,0.0000,0.0000,35.7392,-0.2000
1241,precharge,11.7438,10.0986,-0.1985,-2.0050,0.0000,0.0000,34.4790,-0.2000
1783,precharge,11.5151,10.0969,-0.2007,-2.0261,0.0000,0.0000,33.1491,-0.2000
2031,precharge,11.4131,10.0982,-0.1995,-2.0145,0.0000,0.0000,32.5645,-0.2000
2292,precharge,11.3034,10.0992,-0.2010,-2.0298,0.0000,0.0000,31.9417,-0.2000
2695,precharge,11.1191,10.0982,-0.2049,-2.0692,0.0000,0.0000,30.9087,-0.2000
3055,precharge,10.9589,10.0963,-0.2073,-2.0932,0.0000,0.0000,30.0244,-0.2000
3827,precharge,10.6077,10.0978,-0.1982,-2.0018,0.0000,0.0000,28.1307,-0.2000
4136,precharge,10.5090,10.0981,-0.1814,-1.8314,0.0000,0.0000,27.6095,-0.2000
4406,settle1,10.4976,10.0944,-0.0454,-0.4580,0.0000,0.0000,27.5498,0.0000
4710,charging,10.4994,10.0943,-0.0150,-0.1513,-0.0044,0.0000,27.5592,0.2000
5071,charging,10.6480,10.0929,0.1953,1.9716,0.4255,0.0000,28.3448,0.2000
5355,charging,10.7731,10.0923,0.1971,1.9895,0.9996,0.0000,29.0152,0.2000
5658,charging,10.9190,10.0929,0.1977,1.9953,1.6070,0.0000,29.8061,0.2000
5966,charging,11.0568,10.0910,0.2009,2.0277,2.2263,0.0000,30.5630,0.2000
6646,charging,11.3460,10.0931,0.1993,2.0114,3.5951,0.0000,32.1829,0.2000
6900,charging,11.4491,10.0927,0.1984,2.0028,4.1081,0.0000,32.7704,0.2000
7635,charging,11.7378,10.0927,0.2003,2.0216,5.5842,0.0000,34.4442,0.2000
7933,charging,11.8556,10.0925,0.2005,2.0237,6.1846,0.0000,35.1390,0.2000
8443,charging,12.0438,10.0943,0.1985,2.0035,7.2090,0.0000,36.2634,0.2000
10689,charging,12.8302,10.0938,0.1955,1.9737,11.7367,0.0000,41.1535,0.2000
11109,charging,12.9650,10.0929,0.2014,2.0330,12.5826,0.0000,42.0226,0.2000
11386,charging,13.0532,10.0936,0.1988,2.0071,13.1356,0.0000,42.5964,0.2000
11917,charging,13.2187,10.0933,0.2003,2.0216,14.2070,0.0000,43.6835,0.2000
12232,charging,13.3101,10.0931,0.1991,2.0095,14.8401,0.0000,44.2900,0.2000
12736,charging,13.4653,10.0927,0.1993,2.0113,15.8550,0.0000,45.3282,0.2000
13036,charging,13.5506,10.0943,0.1999,2.0179,16.4565,0.0000,45.9045,0.2000
13555,charging,13.6990,10.0930,0.1979,1.9978,17.5017,0.0000,46.9156,0.2000
13803,charging,13.7677,10.0930,0.1991,2.0098,18.0006,0.0000,47.3871,0.2000
14286,charging,13.9024,10.0943,0.2012,2.0307,18.9696,0.0000,48.3190,0.2000
14950,charging,14.0816,10.0940,0.1991,2.0094,20.3059,0.0000,49.5727,0.2000
15457,charging,14.2151,10.0951,0.2001,2.0197,21.3269,0.0000,50.5175,0.2000
15767,charging,14.2924,10.0943,0.1968,1.9863,21.9486,0.0000,51.0679,0.2000
16123,charging,14.3857,10.0942,0.2027,2.0459,22.6646,0.0000,51.7370,0.2000
16467,charging,14.4654,10.0940,0.1992,2.0104,23.3570,0.0000,52.3118,0.2000
16878,charging,14.5662,10.0945,0.1976,1.9946,24.1799,0.0000,53.0438,0.2000
17244,charging,14.6534,10.0939,0.1994,2.0125,24.9189,0.0000,53.6804,0.2000
17738,charging,14.7348,10.0969,0.1938,1.9567,25.8990,0.0000,54.2788,0.2000
18269,charging,14.8453,10.0919,0.1990,2.0079,26.9605,0.0000,55.0960,0.2000
19064,charging,15.0207,10.0963,0.1999,2.0182,28.5564,0.0000,56.4057,0.2000
19797,charging,15.1712,10.0982,0.1990,2.0096,30.0309,0.0000,57.5413,0.2000
20269,charging,15.2704,10.0939,0.2004,2.0228,30.9803,0.0000,58.2964,0.2000
20835,charging,15.3764,10.0931,0.1979,1.9971,32.1167,0.0000,59.1083,0.2000
21320,charging,15.4676,10.0958,0.1981,2.0000,33.0919,0.0000,59.8119,0.2000
21878,charging,15.5702,10.0960,0.1990,2.0088,34.2136,0.0000,60.6075,0.2000
22357,charging,15.6533,10.0931,0.1987,2.0050,35.1746,0.0000,61.2562,0.2000
22852,settle2,15.7058,10.0958,0.0880,0.8880,35.7116,0.0000,61.6682,0.0000
23263,hold,15.6821,10.0977,0.0021,0.0212,35.7116,0.0000,61.4821,0.0000
23879,hold,15.6601,10.0969,-0.0004,-0.0045,35.7116,0.0000,61.3100,0.0000
24362,hold,15.6471,10.0963,0.0006,0.0063,35.7116,0.0000,61.2080,0.0000
24908,hold,15.6340,10.0980,0.0003,0.0025,35.7116,0.0000,61.1051,0.0000
25394,hold,15.6211,10.0980,0.0005,0.0047,35.7116,0.0000,61.0043,0.0000
