t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2046,charging,12.0190,10.0878,0.5021,5.0653,6.4996,0.0000,36.1138,0.5000
344,precharge,11.7855,10.1000,-0.4964,-5.0134,0.0000,0.0000,34.7247,-0.5000
1010,precharge,11.0327,10.1003,-0.5195,-5.2470,0.0000,0.0000,30.4303,-0.5000
1691,settle1,10.5450,10.0933,-0.0634,-0.6399,0.0000,0.0000,27.7993,0.0000
3043,charging,11.7277,10.0877,0.5018,5.0621,4.6476,0.0000,34.3849,0.5000
3539,charging,12.1832,10.0866,0.5007,5.0506,7.1470,0.0000,37.1078,0.5000
4813,charging,13.2193,10.0890,0.4983,5.0278,13.5642,0.0000,43.6877,0.5000
6127,charging,14.1199,10.0886,0.5005,5.0492,20.1755,0.0000,49.8430,0.5000
6603,charging,14.3987,10.0884,0.4978,5.0220,22.5701,0.0000,51.8306,0.5000
7671,charging,14.9655,10.0895,0.5002,5.0465,27.9214,0.0000,55.9918,0.5000
8692,charging,15.4665,10.0906,0.4981,5.0256,33.0519,0.0000,59.8033,0.5000
9940,discharging,15.4465,10.1036,-0.4663,-4.7112,35.7274,0.4869,59.6486,-0.5000
10727,discharging,14.9513,10.1024,-0.4957,-5.0076,35.7274,4.4170,55.8850,-0.5000
12758,discharging,13.5700,10.1020,-0.4957,-5.0074,35.7274,14.5909,46.0359,-0.5000
14591,discharging,11.9915,10.1006,-0.5026,-5.0761,35.7274,23.8152,35.9490,-0.5000
17136,done,10.6215,10.0942,0.0004,0.0039,35.7274,31.2641,28.2043,0.0000
